a cuatro aguas	a dos aguas
a favor del aborto	en contra del aborto
a flote	encallado
a la carta	menú del día
a lo largo	de lado
a posteriori	a priori
a término	prematuro
abactinal	actinal
abajo	arriba
abaxial	adaxial
abducente	aducente
abierta	adjunto
abierta	cercado
abierta	incluido
abierto	cerrado
abierto	oculto
aboral	oral
abordable	inabordable
abotonado	desabotonado
abranquial	branquial
abreviado	no abreviado
abriendo	cerrando
absoluto	comparativo
absoluto	relativo
absorbente	no absorbente
absorbible	adsorbible
abstracto	concreto
abultado	cóncavo
abundante	escaso
aburrido	inspirador
abusado	no abusado
académico	no académico
acanalado	liso
acarpeloso	carpeloide
acataléctico	caléctico
acataléctico	hipercataléctico
acaudalado	sin dinero
acaulento	caulento
accesible	inabordable
accesible	inaccesible
accesivo	desapegado
aceitado	desaceitado
acentual	cuantitativo
acentual	silábico
aceptable	inaceptable
aceptable	inadmisible
aceptable	inconveniente
aceptante	rechazante
acertado	erróneo
acertado	inadecuado
acertado	incorrecto
acertado	inigual
aclamídeo	clámídeo
acogedor	poco acogedor
acomodador	poco dispuesto
acompañado	no acompañado
acondrítico	condrítico
aconsejable	desaconsejable
acontecido	intrascendente
acordante	discordante
acostumbrado	no acostumbrado
acrocárpico	pleurocárpico
acromático	cromático
acropetal	basipetal
acroscópico	basiscópico
actinomorfo	zigomorfo
activación	desactivación
activo	estático
activo	extinto
activo	inactivo
activo	pasivo
activo	tranquilo
actuable	inactuable
actual	futuro
actual	potencial
acuoso	ígneo
acusatorio	inquisitorial
acuático	anfibio
acuático	terrestre
acuñado	caudado
acíclico	cíclico
adaptable	no adaptable
adaptativo	maladaptativo
adecuada	inadecuado
adecuada	inigual
adecuado	inadecuado
adecuado	inigual
adelante	atras
adelante	atrás
adeudado	indebido
adherido	no adherido
adhesivo	no adhesivo
adiabático	diabático
adictivo	no adictivo
adicto	no adicto
aditivo	sustractivo
adjetivo	sustantivo
adjunto	desajuntado
adjunto	separado
admisible	inadmisible
adnato	connato
adoptable	no adoptable
adoptado	nativo
adoptivo	biológico
adorable	despreciable
adorable	odioso
adornado	desprovisto de adornos
adosado	independiente
adosado	separado
adosado	suelto
adsorbente	no adsorbente
adulterante	purificante
aeróbico	anaeróbico
afebril	febril
afectado	no afectado
afeitado	no afeitado
afeminado	varonil
aferente	eferente
afilado	natural
afilado	plano
afilado	romo
afirmativo	negativo
afligido	despreocupado
afortunado	desafortunado
afrodisiaco	anafrodisiaco
afrodisíaco	anafrodisíaco
agitado	calmado
agitado	relajado
agitado	tranquilo
agnóstico	gnóstico
agotable	inagotable
agotado	disponible
agotado	inagotable
agradable	desagradable
agradable	fastidioso
agradable	grosero
agradable	horrible
agradable	incompatible
agradable	molesto
agradable	ofensivo
agradado	disgustado
agradecido	desagradecido
agregado	independiente
agregado	separado
agregado	suelto
agresivo	manso
agresivo	no agresivo
agrio	no agrio
agudo	bajo
agudo	crónico
agudo	grave
agudo	obtuso
agudo	sordo
agujereado	no agujereado
ahistórico	histórico
ahorrador	derrochador
ahorrador	derrochar
ahorrativo	derrochador
ahorrativo	derrochar
ahumado	sin humo
aire-a-aire	aire-a-superficie
aire-a-aire	superficie-a-aire
aire-a-suelo	suelo-a-aire
ajustado	desajustado
ajustado	no ajustado
alado	desprovisto de alas
alarmante	no alarmante
alcalino	anfótero
alcalino	ácido
alcohólico	blando
alcohólico	no alcohólico
aleatorio	no aleatorio
alegre	deprimente
alegre	desdichado
alegre	sin alegría
alegre	triste
alejado	cercano
alejado	íntimo
alentador	desalentador
alerta	desatento
alfabetizado	analfabeto
alfabético	analfabético
alfombrado	desalfombrado
algo	ningún
algo	todo
algorítmico	heurístico
algunos	ninguno
algunos	todo
alimentado	desabastecido
alimentado	desnutrido
alimentado	no alimentado
alimentado al pecho	alimentado con biberón
alineado	no alineado
alogénico	xenogénico
alopático	homeopático
alopátrica	simpátrica
alta resolución	baja resolución
alta tecnología	baja tecnología
alterable	inalterable
alterado	inalterado
alternativo	directo
alternativo	opuesto
alto	bajo
alto	corto
alto	suave
alto espumante	bajo espumante
alto interés	bajo interés
alto-tensión	baja-tensión
altricial	precocial
altruista	egoísta
alóctono	autóctono
amable	cruel
amable	desconsiderado
amable	despreciable
amable	odioso
amado	no amado
amante de ácidos	amante de álcalis
amañado	desamañado
ambicioso	no ambicioso
ambidextro	diestro
ambidiestro	zurdo
ambiguo	inequívoco
ambiversivo	introversivo
ambiverso	extrovertido
ametabólico	metabólico
ametropía	emmetropía
amfitropo	anatropo
amigable	hostil
amigable	hostile
amigo	hostil
amistoso	hostil
amistoso	malo
amoroso	arisco
amoroso	desamoroso
amoroso	descariñado
amplio	escaso
amplio	estrecho
amueblado	desamueblado
anabático	catabático
anabólico	catabólico
anaclinal	cataclinal
anafrodisiaco	sexy
anal	oral
analizado	no analizado
analítico	sintético
analógico	digital
anastigmático	astigmático
ancho	estrecho
andrógeno	femenino
andrógeno	masculino
anejo	independiente
anejo	separado
anejo	suelto
anemófilo	entomófilo
anestro	estro
anexo	independiente
anexo	separado
anexo	suelto
anfibio	terrestre
anfotérico	ácido
angular	redondeado
anhidro	hidrado
animado	desanimado
animado	gris
animado	inanimado
animado	inánime
animado	lento
animado	sombrío
animado	soso
anisotrópico	isotrópico
aniónico	catiónico
anormal	común
anormal	corriente
anormal	normal
ansioso	desinteresado
antagónico	conciliador
antagónico	sinérgico
ante meridiano	post meridiano
antecedente	subsiguiente
antemortem	postmortem
anterior	posterior
anterógrado	retrógrado
anti	pro
antiamericano	proamericano
anticlimático	climático
anticlinal	sinclinal
anticolinérgico	colinérgico
antidemocrático	democrático
antideslizante	resbaladizo
antiguo	moderno
antihorario	horario
antimagnético	magnético
antipatriótico	patriótico
antipirético	pirético
antiprimosco	primosco
antipático	comprensivo
antipático	simpático
antirítmico	rítmico
antisocial	social
antiséptico	séptico
antrorso	retrorso
antónimo	sinónimo
anual	bienal
anual	perenne
anádromo	catádromo
anádromo	diádromo
análogo	heterólogo
análogo	homólogo
anódico	catódico
anónimo	conocido
anónimo	miembro
apagado	encendido
apareado	no apareado
aparejado	desaparejado
aparejado	desequipado
apasionado	apático
apelable	inapelable
apenado	desenfadado
apendado	desapendado
aperiódico	periódico
apetitoso	poco apetitoso
aplacable	implacable
aplacental	placentario
aplicado	no aplicado
aplicado	teórico
apocrina	ecrina
apocárpico	sincárpico
