axis	diff_a_b	p
('tasteful', 'tasteless')	-0.06017305326164579	0.0
('beautiful', 'ugly')	-0.05484459392743331	0.0
('elegant', 'inelegant')	-0.053186888013734085	0.0
('pleasant', 'unpleasant')	-0.05287347449587093	0.0
('comfortable', 'uncomfortable')	-0.04796284669713855	0.0
('attractive', 'unattractive')	-0.04210614690903407	0.0
('ample', 'meager')	-0.041769640861655855	0.0
('styleless', 'stylish')	0.04138003786393002	0.0
('fashionable', 'unfashionable')	-0.04083923930001823	0.0
('debilitating', 'invigorating')	0.040813303863048045	0.0
('sour', 'sweet')	0.04040524086763951	0.0
('gracious', 'ungracious')	-0.03960251400089587	0.0
('inferior', 'superior')	0.039509062239914745	0.0
('naive', 'sophisticated')	0.0385579769998896	0.0
('energetic', 'lethargic')	-0.0382815191944172	0.0
('attentive', 'inattentive')	-0.0378966164322502	0.0
('attractive', 'repulsive')	-0.03769518562336277	0.0
('displeasing', 'pleasing')	0.03740965216668568	0.0
('forgettable', 'unforgettable')	0.0373025207851381	0.0
('active', 'quiet')	0.037214818917052236	0.0
('smart', 'stupid')	-0.03707761771086013	0.0
('obstructed', 'unobstructed')	0.03659694948066759	0.0
('relaxed', 'tense')	-0.036015803981163455	0.0
('downmarket', 'upmarket')	0.03588058852433518	0.0
('nasty', 'nice')	0.035537925076929	0.0
('cosmopolitan', 'endemic')	-0.03521026737276277	0.0
('shaded', 'unshaded')	-0.03494829922737536	0.0
('sociable', 'unsociable')	-0.034847118390920556	0.0
('cheerful', 'depressing')	-0.03461205315164292	0.0
('friendly', 'hostile')	-0.034249085748513916	0.0
('pretentious', 'unpretentious')	0.03419108114176344	0.0
('least', 'most')	0.034132565032589046	0.0
('equipped', 'unequipped')	-0.03391098529990652	0.0
('convenient', 'inconvenient')	-0.03389609546435551	0.0
('quiet', 'unquiet')	-0.033658262416195794	0.0
('colourful', 'colourless')	-0.033554923141242615	0.0
('discreet', 'indiscreet')	-0.033373021407445275	0.0
('seedless', 'seedy')	0.033341295291359416	0.0
('impressive', 'unimpressive')	-0.03333901993866625	0.0
('dull', 'lively')	0.03327425506403367	0.0
('imperfect', 'perfect')	0.03324420368849784	0.0
('feminine', 'neuter')	-0.03300937854380859	0.0
('dignified', 'undignified')	-0.03291584152211842	0.0
('disrespectful', 'respectful')	0.03282599676205422	0.0
('peaceful', 'unpeaceful')	-0.03274636193693231	0.0
('colorful', 'colorless')	-0.032671803158024204	0.0
('patriotic', 'unpatriotic')	-0.032565976328325905	0.0
('desirable', 'undesirable')	-0.03224269158099529	0.0
('illiterate', 'literate')	0.032099555224465254	0.0
('bad', 'good')	0.03205812942638511	0.0
('friendly', 'unfriendly')	-0.03204965518149824	0.0
('popular', 'unpopular')	-0.031950001527089586	0.0
('strong', 'weak')	-0.03192119295407001	0.0
('restful', 'restless')	-0.03167068387348799	0.0
('better', 'worse')	-0.03132012217211101	0.0
('monolingual', 'multilingual')	0.03126903324638633	0.0
('livable', 'unlivable')	-0.031139621033282106	0.0
('unwoven', 'woven')	0.031085884307740008	0.0
('induced', 'spontaneous')	0.0310237844176081	0.0
('agreeable', 'disagreeable')	-0.030996478057689833	0.0
('thoughtful', 'thoughtless')	-0.030981204958039688	0.0
('refined', 'unrefined')	-0.030815888080357248	0.0
('best', 'worst')	-0.03068322442544115	0.0
('harmonious', 'inharmonious')	-0.030618409107543015	0.0
('center', 'left')	-0.030454633003741807	0.0
('obtrusive', 'unobtrusive')	0.030404352345164073	0.0
('cosmopolitan', 'provincial')	-0.030181042762750587	0.0
('right', 'wrong')	-0.030167079358611928	0.0
('counterfeit', 'genuine')	0.030152528049591412	0.0
('abundant', 'scarce')	-0.03009263035933165	0.0
('inhibited', 'uninhibited')	0.03009247557660261	0.0
('functional', 'nonfunctional')	-0.030061088158013644	0.0
('open', 'shut')	-0.02999186505958066	0.0
('disenchanted', 'enchanted')	0.029692848940236813	0.0
('realistic', 'unrealistic')	-0.029147398407512654	0.0
('hospitable', 'inhospitable')	-0.028983798956038004	0.0
('commodious', 'incommodious')	-0.028934373257127832	0.0
('successful', 'unsuccessful')	-0.028838921743528437	0.0
('leaded', 'unleaded')	-0.028719510672446984	0.0
('encumbered', 'unencumbered')	0.028636503165128096	0.0
('valuable', 'worthless')	-0.028633215864309426	0.0
('generous', 'stingy')	-0.028587209145658835	0.0
('unwearable', 'wearable')	0.028466613595419535	0.0
('fewer', 'more')	0.02836720239626188	0.0
('coldhearted', 'warmhearted')	0.02826853864797598	0.0
('intolerant', 'tolerant')	0.028048001308592828	0.0
('masculine', 'neuter')	-0.02776562711448509	0.0
('clean', 'unclean')	-0.027648887820045265	0.0
('blessed', 'cursed')	-0.027541761873228626	0.0
('flexible', 'inflexible')	-0.02750053311181906	0.0
('moonless', 'moonlit')	0.0273218351921862	0.0
('out', 'safe')	0.027315321789714	0.0
('discerning', 'undiscerning')	-0.027238241631363097	0.0
('negative', 'positive')	0.027189658556937286	0.0
('poor', 'rich')	0.02705658553594416	0.0
('efficient', 'inefficient')	-0.02703676146063619	0.0
('unwooded', 'wooded')	0.026989186649622354	0.0
('central', 'peripheral')	-0.026817768572728176	0.0
('coastal', 'inland')	-0.02674941097785561	0.0
('effective', 'ineffective')	-0.026581641814532417	0.0
('melodious', 'unmelodious')	-0.02657755952875293	0.0
('joyful', 'sorrowful')	-0.026537004249679835	0.0
('humorless', 'humorous')	0.02652729483856482	0.0
('useful', 'useless')	-0.02619368178392204	0.0
('noisy', 'quiet')	0.02611788811269483	0.0
('intelligent', 'unintelligent')	-0.025898030032479896	0.0
('appealing', 'unappealing')	-0.02584303254112913	0.0
('lean', 'rich')	0.02577549933805018	0.0
('fit', 'unfit')	-0.02570107309584195	0.0
('tuneful', 'tuneless')	-0.02565873550903512	0.0
('meaningful', 'meaningless')	-0.02562460884935905	0.0
('musical', 'unmusical')	-0.02559880404286738	0.0
('immature', 'mature')	0.025551225181055084	0.0
('flattering', 'unflattering')	-0.02545761906087457	0.0
('irreversible', 'reversible')	0.025257863067036656	0.0
('courteous', 'discourteous')	-0.025244595609369258	0.0
('creative', 'uncreative')	-0.025234018368327754	0.0
