axis	diff_a_b	p
('sparkling', 'still')	0.07324531834331674	0.0
('bad', 'good')	-0.06517552403926412	0.0
('best', 'worst')	0.06184690994081318	0.0
('hard', 'soft')	-0.05738268386278008	0.0
('complaining', 'uncomplaining')	-0.05682210189528486	0.0
('smart', 'stupid')	0.05534357919324588	0.0
('ashamed', 'unashamed')	-0.05492227419894041	0.0
('pretentious', 'unpretentious')	-0.05419067531291476	0.0
('destroyed', 'preserved')	-0.05298200940404801	0.0
('cheerful', 'depressing')	0.052846250139365156	0.0
('poor', 'rich')	-0.052092899732927286	0.0
('hurried', 'unhurried')	-0.05069643205492484	0.0
('debilitating', 'invigorating')	-0.05066984500381299	0.0
('selfish', 'unselfish')	-0.0498896400653451	0.0
('disingenuous', 'ingenuous')	-0.04967094114086695	0.0
('curved', 'straight')	0.049622254784476044	0.0
('abused', 'unabused')	-0.049557088471752164	0.0
('awkward', 'graceful')	-0.049468895028045995	0.0
('crowded', 'uncrowded')	-0.047585000328567495	0.0
('hateful', 'lovable')	-0.04721439345448139	0.0
('rough', 'smooth')	-0.04674588054788802	0.0
('afraid', 'unafraid')	-0.04657798202639199	0.0
('comfortable', 'uncomfortable')	0.04636444779421182	0.0
('loud', 'soft')	-0.046250749553488436	0.0
('clearheaded', 'confused')	0.04603770374334343	0.0
('naive', 'sophisticated')	-0.04603128455029571	0.0
('silenced', 'unsilenced')	-0.04575542840134034	0.0
('ceilinged', 'floored')	0.044720847337994	0.0
('useful', 'useless')	0.044623459486883704	0.0
('difficult', 'easy')	-0.044567824439500525	0.0
('intrusive', 'unintrusive')	-0.04445176908416676	0.0
('tender', 'tough')	0.04442809520655844	0.0
('injured', 'uninjured')	-0.044152737438092365	0.0
('thinkable', 'unthinkable')	0.044079943491945967	0.0
('obvious', 'unobvious')	-0.04338466544677372	0.0
('curly', 'straight')	0.043175953310702064	0.0
('past', 'present')	-0.04313043250793838	0.0
('handled', 'handleless')	-0.04294139630145863	0.0
('demanding', 'undemanding')	-0.04288309072773677	0.0
('evitable', 'inevitable')	0.04262509465825409	0.0
('broad-minded', 'narrow-minded')	0.042379416101827425	0.0
('nontoxic', 'toxic')	0.04222457707422542	0.0
('comparable', 'incomparable')	-0.041698431911243464	0.0
('offending', 'unoffending')	-0.041688671058539406	0.0
('judgmental', 'nonjudgmental')	-0.041651670925443265	0.0
('insurmountable', 'surmountable')	-0.04070354553311667	0.0
('affected', 'unaffected')	-0.04064112193627993	0.0
('inoffensive', 'offensive')	0.040614572606851015	0.0
('clear', 'opaque')	-0.04037912846131558	0.0
('dull', 'lively')	-0.0402301543877641	0.0
('damaged', 'undamaged')	-0.039974695281753334	0.0
('stressed', 'unstressed')	-0.039783022821106795	0.0
('painful', 'painless')	-0.03950958645743262	0.0
('nonpolitical', 'political')	0.03930177842957375	0.0
('irreversible', 'reversible')	-0.03862878677243086	0.0
('antagonistic', 'synergistic')	-0.03856383177931103	0.0
('negative', 'neutral')	-0.03855738113961132	0.0
('nonpregnant', 'pregnant')	0.038478531474656574	0.0
('corrupt', 'incorrupt')	-0.038452023991545486	0.0
('saddled', 'unsaddled')	-0.038372510570877844	0.0
('alcoholic', 'nonalcoholic')	-0.03815343560332521	0.0
('thrifty', 'wasteful')	0.037828371493303856	0.0
('stemless', 'stemmed')	0.037809431992755535	0.0
('questionable', 'unquestionable')	-0.03765274965949811	0.0
('broken', 'unbroken')	-0.03745072985534885	0.0
('extrusive', 'intrusive')	0.03724041378616813	0.0
('found', 'lost')	0.03722365886821946	0.0
('amicable', 'hostile')	0.03694488431511918	0.0
('agitated', 'unagitated')	-0.03690680770978588	0.0
('compact', 'loose')	0.03678508385923131	0.0
('nonspeaking', 'speaking')	0.03675667030794444	0.0
('troubled', 'untroubled')	-0.03662136517211732	0.0
('precocious', 'retarded')	0.036466035374199526	0.0
('back', 'front')	-0.03615893558649322	0.0
('prejudiced', 'unprejudiced')	-0.03601421944790087	0.0
('sworn', 'unsworn')	-0.035976366218677086	0.0
('arbitrary', 'nonarbitrary')	-0.03584508186357829	0.0
('middle-class', 'upper-class')	-0.03573497434431616	0.0
('suspected', 'unsuspected')	-0.035730224694120086	0.0
('handed', 'handless')	-0.03560134111322072	0.0
('cleared', 'uncleared')	-0.03548506170064186	0.0
('exhausted', 'unexhausted')	-0.03540246149200005	0.0
('cosmopolitan', 'provincial')	0.035330555019281104	0.0
('restrictive', 'unrestrictive')	-0.035277154452476256	0.0
('nonsectarian', 'sectarian')	0.03515807767468873	0.0
('disproportionate', 'proportionate')	-0.03504261962823692	0.0
('financial', 'nonfinancial')	-0.03495650489376012	0.0
('disenfranchised', 'enfranchised')	-0.03475896951077595	0.0
('horizontal', 'inclined')	0.03474392790121465	0.0
('tasteful', 'tasteless')	0.03432121679125995	0.0
('even', 'uneven')	-0.03431730681277528	0.0
('inclined', 'vertical')	-0.034246086656029934	0.0
('institutionalized', 'noninstitutionalized')	-0.03423010814217223	0.0
('nonracial', 'racial')	0.03417771192373262	0.0
('nonrepetitive', 'repetitive')	0.03414909043592079	0.0
('posed', 'unposed')	-0.03404329273177531	0.0
('preventable', 'unpreventable')	-0.033834676269834135	0.0
('center', 'left')	0.033831409411825795	0.0
('distrustful', 'trustful')	-0.03373162464905689	0.0
('illiterate', 'literate')	-0.03347376395114708	0.0
('nonrepresentative', 'representative')	0.03337070640469553	0.0
('punitive', 'rehabilitative')	-0.033328520775231935	0.0
('rigged', 'unrigged')	-0.03322781198008384	0.0
('nonsignificant', 'significant')	0.03300588249883546	0.0
('private', 'public')	0.03293792926270773	0.0
('intractable', 'tractable')	-0.0328962646410609	0.0
('center', 'right')	0.03280259455104527	0.0
('away', 'home')	-0.03277131178842065	0.0
('swept', 'unswept')	-0.032747868991931356	0.0
('moving', 'nonmoving')	-0.03274290846233943	0.0
('contaminated', 'uncontaminated')	-0.03269178604179447	0.0
('dying', 'nascent')	-0.032584073769816674	0.0
('future', 'present')	-0.03249162807166672	0.0
('exempt', 'nonexempt')	-0.032465485968312974	0.0
('anonymous', 'onymous')	-0.03244179508003073	0.0
('unwieldy', 'wieldy')	-0.03232363693139986	0.0
('avirulent', 'virulent')	0.03225316380638846	0.0
('drained', 'undrained')	-0.032218033149361225	0.0
('aggressive', 'unaggressive')	-0.032206172226887875	0.0
('right', 'wrong')	0.03208540233131985	0.0
('current', 'noncurrent')	-0.03196162017723608	0.0
('critical', 'noncritical')	-0.03177407624652531	0.0
('traveled', 'untraveled')	-0.03169446637214532	0.0
('comprehensible', 'incomprehensible')	0.0316133067994286	0.0
('censored', 'uncensored')	-0.0315750895346003	0.0
('antecedent', 'subsequent')	0.03153946330803317	0.0
('consolable', 'inconsolable')	0.03152875598335961	0.0
('bright', 'dull')	0.03150182359870315	0.0
('intellectual', 'nonintellectual')	-0.031421464568323954	0.0
('presidential', 'unpresidential')	-0.031416300296626676	0.0
('fictional', 'nonfictional')	-0.03138463052466062	0.0
('seated', 'standing')	0.03087844939049289	0.0
