axis	diff_a_b	p
('exciting', 'unexciting')	-0.03977216786186891	0.0
('clear', 'opaque')	-0.038490963038376125	0.0
('hard', 'soft')	-0.03776545348227494	0.0
('excited', 'unexcited')	-0.03713724721520506	0.0
('inspiring', 'uninspiring')	-0.03699714603284779	0.0
('interested', 'uninterested')	-0.036660827352700626	0.0
('go', 'no-go')	-0.03485082098927236	0.0
('sparkling', 'still')	0.03436061590431967	0.0
('back', 'front')	-0.03394601511730961	0.0
('curved', 'straight')	0.03382133486065107	0.0
('interesting', 'uninteresting')	-0.03328693370060523	0.0
('curious', 'incurious')	-0.03305094018274429	0.0
('sour', 'sweet')	0.0322519770967461	0.0
('convinced', 'unconvinced')	-0.0317593454036158	0.0
('coarse', 'fine')	0.031640121499689755	0.0
('confident', 'diffident')	-0.030714585396544397	0.0
('fewer', 'more')	0.03068372694198549	0.0
('direct', 'indirect')	-0.030316186835579004	0.0
('convincing', 'unconvincing')	-0.02979109665700233	0.0
('nonpregnant', 'pregnant')	0.029572578474425654	0.0
('changed', 'unchanged')	-0.029347794373955377	0.0
('nominal', 'real')	0.029320098667897282	0.0
('backward', 'forward')	0.029255549792995453	0.0
('adventurous', 'unadventurous')	-0.028853385642517437	0.0
('even', 'uneven')	-0.02883355701407808	0.0
('moved', 'unmoved')	-0.028618755994035183	0.0
('grateful', 'ungrateful')	-0.028436246843458468	0.0
('nonrepresentative', 'representative')	0.0280451300725158	0.0
('unwanted', 'wanted')	0.027812302354971397	0.0
('forward', 'reverse')	-0.02780743726238971	0.0
('ceilinged', 'floored')	0.027399434925275412	0.0
('influential', 'uninfluential')	-0.02735282028751579	0.0
('impressive', 'unimpressive')	-0.027270060448459837	0.0
('insincere', 'sincere')	0.02724482772485251	0.0
('passionate', 'passionless')	-0.02720992234945785	0.0
('moving', 'unmoving')	-0.026939599986771895	0.0
('talented', 'untalented')	-0.026844867684269497	0.0
('unwilling', 'willing')	0.026669147218991995	0.0
('provocative', 'unprovocative')	-0.026556975806277416	0.0
('musical', 'unmusical')	-0.026401452604704112	0.0
('sworn', 'unsworn')	-0.026362444996698847	0.0
('loved', 'unloved')	-0.02628603969326873	0.0
('gathered', 'ungathered')	-0.026148276967164097	0.0
('tender', 'tough')	0.02608282678794059	0.0
('enlightening', 'unenlightening')	-0.026011173412402333	0.0
('exact', 'inexact')	-0.02597309096010464	0.0
('injured', 'uninjured')	-0.025964331037578114	0.0
('curly', 'straight')	0.025945343421231712	0.0
('unwelcome', 'welcome')	0.02593707159127895	0.0
('married', 'unmarried')	-0.025934210488605627	0.0
('emotional', 'unemotional')	-0.025779220111272955	0.0
('loving', 'unloving')	-0.025737637148718934	0.0
('like', 'unlike')	-0.025682487727482536	0.0
('happy', 'unhappy')	-0.025320513071702466	0.0
('nonspeaking', 'speaking')	0.02511049252380232	0.0
('identifiable', 'unidentifiable')	-0.025023147769372214	0.0
('forgettable', 'unforgettable')	0.02499649901412035	0.0
('high', 'low')	-0.024936933756929142	0.0
('concerned', 'unconcerned')	-0.024720720733232948	0.0
('current', 'noncurrent')	-0.024657512663694287	0.0
('informative', 'uninformative')	-0.024402276116549104	0.0
('swept', 'unswept')	-0.024378104016492624	0.0
('moving', 'nonmoving')	-0.02434086713629155	0.0
('important', 'unimportant')	-0.024255260118711874	0.0
('helpful', 'unhelpful')	-0.024142541061594497	0.0
('dishonest', 'honest')	0.024080565371894375	0.0
('surprised', 'unsurprised')	-0.024033065065380166	0.0
('headed', 'headless')	-0.0239554096774499	0.0
('lucky', 'unlucky')	-0.02378918527221202	0.0
('presidential', 'unpresidential')	-0.023703845601684065	0.0
('informed', 'uninformed')	-0.023670754450125397	0.0
('headed', 'unheaded')	-0.023605902517334687	0.0
('traveled', 'untraveled')	-0.023569374811314492	0.0
('full', 'thin')	-0.023479465755125568	0.0
('displeased', 'pleased')	0.023460547383232222	0.0
('trained', 'untrained')	-0.023348644403322016	0.0
('disliked', 'liked')	0.023159157537460034	0.0
