axis	diff_a_b	p
('comparable', 'incomparable')	-0.056932007633386204	0.0
('less', 'more')	-0.051950249364716615	0.0
('cheerful', 'depressing')	0.03882220232279268	0.0
('dull', 'lively')	-0.03481351197579485	0.0
('malnourished', 'nourished')	-0.03473020740062717	0.0
('diluted', 'undiluted')	-0.03444397956966055	0.0
('pointed', 'pointless')	0.033621205569351574	0.0
('conventional', 'unconventional')	-0.03351032948465452	0.0
('cheap', 'expensive')	0.03341131327569029	0.0
('thrifty', 'wasteful')	0.031690420787919095	0.0
('expected', 'unexpected')	-0.03155385680302877	0.0
('saddled', 'unsaddled')	-0.03133211166796182	0.0
('punitive', 'rehabilitative')	-0.03071177644375086	0.0
('pretentious', 'unpretentious')	-0.029993242361084405	0.0
('questionable', 'unquestionable')	-0.02938466584923885	0.0
('normal', 'paranormal')	-0.029357523241828637	0.0
('fraternal', 'identical')	0.029160138240649197	0.0
('disingenuous', 'ingenuous')	-0.028980248369889258	0.0
('tasteful', 'tasteless')	0.028101299780449996	0.0
('compromising', 'uncompromising')	-0.028000594916125728	0.0
('high', 'low')	0.027565207691282838	0.0
('useful', 'useless')	0.027428354891642887	0.0
('judgmental', 'nonjudgmental')	-0.026992587147132624	0.0
('extraordinary', 'ordinary')	0.026633639908301084	0.0
('burdened', 'unburdened')	-0.026444733773757473	0.0
('foreign', 'native')	-0.026096149871832564	0.0
('nontaxable', 'taxable')	0.02586666870201862	0.0
('debilitating', 'invigorating')	-0.02564747973443788	0.0
('preventable', 'unpreventable')	-0.02535497758513136	0.0
('attributable', 'unattributable')	-0.025191751198261808	0.0
('majuscule', 'minuscule')	0.025085045453131005	0.0
('divided', 'united')	-0.025063302745571774	0.0
('maternal', 'paternal')	-0.025018101105046223	0.0
('least', 'most')	-0.024944961734186026	0.0
('dependent', 'independent')	-0.024553844243480668	0.0
('flat', 'sharp')	-0.02451131445402757	0.0
('disposable', 'nondisposable')	-0.024124547798308832	0.0
('breakable', 'unbreakable')	-0.023964955504109996	0.0
('annual', 'perennial')	-0.02389618083730573	0.0
('alive', 'dead')	0.023827909652769715	0.0
('awkward', 'graceful')	-0.023703166903636316	0.0
('maximum', 'minimum')	0.023395714185458272	0.0
('middle-class', 'upper-class')	-0.023230036149024566	0.0
('inshore', 'offshore')	0.02313113226194788	0.0
('invariable', 'variable')	0.02300310763466621	0.0
('likely', 'unlikely')	-0.02296989348725144	0.0
