axis	diff_a_b	p
('reasonable', 'unreasonable')	-0.048587970930918434	0.0
('comfortable', 'uncomfortable')	-0.03989610512571691	0.0
('best', 'worst')	-0.03973188100601441	0.0
('reliable', 'unreliable')	-0.03924615541871687	0.0
('easy', 'uneasy')	-0.038427288067873516	0.0
('evil', 'good')	0.03838711209820116	0.0
('bad', 'good')	0.038096312449371283	0.0
('convenient', 'inconvenient')	-0.03782593162981335	0.0
('dependable', 'undependable')	-0.036877470099628384	0.0
('insecure', 'secure')	0.03629740693847053	0.0
('responsive', 'unresponsive')	-0.03508373002519338	0.0
('smart', 'stupid')	-0.03461041358123757	0.0
('agreeable', 'disagreeable')	-0.03406254853989589	0.0
('trustworthy', 'untrustworthy')	-0.034061176488759726	0.0
('frail', 'robust')	0.03386595731860083	0.0
('antagonistic', 'synergistic')	0.033502819529537035	0.0
('attractive', 'repulsive')	-0.03277088911156473	0.0
('stable', 'unstable')	-0.03273474296816156	0.0
('better', 'worse')	-0.03264904732368147	0.0
('adequate', 'inadequate')	-0.032535041620081515	0.0
('conscious', 'unconscious')	-0.0323798582429404	0.0
('competent', 'incompetent')	-0.031840074991702445	0.0
('friendly', 'hostile')	-0.0317707289672188	0.0
('attractive', 'unattractive')	-0.031517414923287204	0.0
('fast', 'slow')	-0.031081336205296177	0.0
('intelligible', 'unintelligible')	-0.030981189261565293	0.0
('favorable', 'unfavorable')	-0.030743995336808744	0.0
('disreputable', 'reputable')	0.030429022211800424	0.0
('balanced', 'unbalanced')	-0.030399101247408356	0.0
('distrustful', 'trustful')	0.030152094177964595	0.0
('useful', 'useless')	-0.02994910559617307	0.0
('naive', 'sophisticated')	0.029933725559484786	0.0
('flexible', 'inflexible')	-0.029770619297286277	0.0
('clean', 'dirty')	-0.029611672171927686	0.0
('impassable', 'passable')	0.02956059208980258	0.0
('inopportune', 'opportune')	0.02940201656028263	0.0
('profitable', 'unprofitable')	-0.029295499927485286	0.0
('available', 'unavailable')	-0.02927184029171405	0.0
('seasonable', 'unseasonable')	-0.029108505913958495	0.0
('acceptable', 'unacceptable')	-0.0289980069927587	0.0
('nasty', 'nice')	0.028728734634269268	0.0
('accessible', 'inaccessible')	-0.028631398389561358	0.0
('irrational', 'rational')	0.028461936849929766	0.0
('accurate', 'inaccurate')	-0.02830717461890063	0.0
('intolerable', 'tolerable')	0.02828207212034694	0.0
('discreet', 'indiscreet')	-0.028228389527649778	0.0
('insensible', 'sensible')	0.028071699559817892	0.0
