axis	diff_a_b	p
('best', 'worst')	0.05933515121484776	0.0
('poor', 'rich')	-0.05195422866362847	0.0
('comfortable', 'uncomfortable')	0.05047777448132007	0.0
('hurried', 'unhurried')	-0.04860039222123495	0.0
('debilitating', 'invigorating')	-0.045490752884082095	0.0
('obstructed', 'unobstructed')	-0.042746244799049884	0.0
('cosmopolitan', 'provincial')	0.04117062850995443	0.0
('useful', 'useless')	0.04054180839344282	0.0
('difficult', 'easy')	-0.03978367935922828	0.0
('pretentious', 'unpretentious')	-0.039577638468497336	0.0
('least', 'most')	-0.039163065456905385	0.0
('dull', 'lively')	-0.03908109335167295	0.0
('hateful', 'lovable')	-0.0387347801232265	0.0
('smart', 'stupid')	0.03835780784868098	0.0
('awkward', 'graceful')	-0.03822376127751213	0.0
('sparkling', 'still')	0.038139631556714085	0.0
('destroyed', 'preserved')	-0.037614354956696794	0.0
('naive', 'sophisticated')	-0.03736842493546867	0.0
('agitated', 'unagitated')	-0.03676289647897846	0.0
('antagonistic', 'synergistic')	-0.03580037496549362	0.0
('comparable', 'incomparable')	-0.03551764827435651	0.0
('tasteful', 'tasteless')	0.03472022254202495	0.0
('abused', 'unabused')	-0.03436728743358694	0.0
('demanding', 'undemanding')	-0.03395681706338949	0.0
('crowded', 'uncrowded')	-0.03391795270530765	0.0
('fortunate', 'unfortunate')	0.03345056217596437	0.0
('ashamed', 'unashamed')	-0.03326462652747164	0.0
('disingenuous', 'ingenuous')	-0.03186727138311947	0.0
('comprehensible', 'incomprehensible')	0.03103250838771862	0.0
('restful', 'restless')	0.03064861257613033	0.0
('amicable', 'hostile')	0.03043272925242828	0.0
('judgmental', 'nonjudgmental')	-0.03024895197857999	0.0
('thrifty', 'wasteful')	0.030094303624801054	0.0
('prejudiced', 'unprejudiced')	-0.029697339638531974	0.0
('bettering', 'worsening')	0.029691846597626425	0.0
('inhibited', 'uninhibited')	-0.029420048573440626	0.0
('selfish', 'unselfish')	-0.029413459427237026	0.0
('corrected', 'uncorrected')	-0.029205083411117577	0.0
('suspected', 'unsuspected')	-0.02919250986606582	0.0
('illiterate', 'literate')	-0.029075959317957645	0.0
('defeated', 'undefeated')	-0.028364645868284022	0.0
('different', 'same')	0.028158660793272387	0.0
('censored', 'uncensored')	-0.028088576378057062	0.0
('complaining', 'uncomplaining')	-0.028006830857181725	0.0
('distrustful', 'trustful')	-0.02794558531631388	0.0
('cold', 'hot')	-0.027940182275275803	0.0
('loud', 'soft')	-0.02785404680850964	0.0
('tapped', 'untapped')	-0.02779378188983415	0.0
('painful', 'painless')	-0.027791135450537796	0.0
('right', 'wrong')	0.027766381629089905	0.0
('exploited', 'unexploited')	-0.027762255322165308	0.0
('empty', 'full')	-0.027555270426643314	0.0
('contaminated', 'uncontaminated')	-0.02755080360752757	0.0
('nontoxic', 'toxic')	0.02747857956443106	0.0
('existent', 'nonexistent')	0.027457691171826365	0.0
('rough', 'smooth')	-0.0274301048306897	0.0
('intrusive', 'unintrusive')	-0.027335081210487222	0.0
('alive', 'dead')	0.027244853575654	0.0
('silenced', 'unsilenced')	-0.027030843804807636	0.0
('away', 'home')	-0.026900176614376145	0.0
('exhausted', 'unexhausted')	-0.02683248332536245	0.0
('dead', 'live')	-0.026713646842920144	0.0
('clearheaded', 'confused')	0.026496886794261043	0.0
('questionable', 'unquestionable')	-0.026439045786444806	0.0
