axis	diff_a_b	p
('courteous', 'discourteous')	-0.06226741454265006	0.0
('hospitable', 'inhospitable')	-0.062222865007727654	0.0
('attentive', 'inattentive')	-0.05689404096122316	0.0
('cheerful', 'depressing')	-0.05374492755839583	0.0
('friendly', 'hostile')	-0.05157327727855192	0.0
('disrespectful', 'respectful')	0.050628551816348184	0.0
('inferior', 'superior')	0.04960491971642711	0.0
('punctual', 'unpunctual')	-0.049369842494350946	0.0
('efficient', 'inefficient')	-0.0490152325781963	0.0
('considerate', 'inconsiderate')	-0.048859587363998466	0.0
('approachable', 'unapproachable')	-0.046918938470931704	0.0
('smart', 'stupid')	-0.046594081648104045	0.0
('bad', 'good')	0.04571917676041554	0.0
('reliable', 'unreliable')	-0.04504350899978013	0.0
('valuable', 'worthless')	-0.04481267236098305	0.0
('proactive', 'retroactive')	-0.04464451951060694	0.0
('gracious', 'ungracious')	-0.043832279590927836	0.0
('useful', 'useless')	-0.04295685816290067	0.0
('pleasant', 'unpleasant')	-0.0427503861260326	0.0
('impolite', 'polite')	0.0423014310979222	0.0
('energetic', 'lethargic')	-0.04212977907455986	0.0
('trustworthy', 'untrustworthy')	-0.04160916023972375	0.0
('negative', 'positive')	0.04159246476998474	0.0
('informative', 'uninformative')	-0.04132355067601928	0.0
('sociable', 'unsociable')	-0.041129762983304646	0.0
('impractical', 'practical')	0.0408666427655439	0.0
('thoughtful', 'thoughtless')	-0.04056155537907502	0.0
('friendly', 'unfriendly')	-0.04044824529063726	0.0
('compassionate', 'uncompassionate')	-0.04034249871736326	0.0
('meaningful', 'meaningless')	-0.04024872780719783	0.0
('talented', 'untalented')	-0.040064946860293965	0.0
('supportive', 'unsupportive')	-0.039594039988220364	0.0
('illiterate', 'literate')	0.039210831345193306	0.0
('comfortable', 'uncomfortable')	-0.039200860457782614	0.0
('discouraging', 'encouraging')	0.03919960204185327	0.0
('clean', 'dirty')	-0.03903093557462677	0.0
('successful', 'unsuccessful')	-0.03890511453348253	0.0
('attractive', 'unattractive')	-0.03882788113996333	0.0
('pretentious', 'unpretentious')	0.03854759176262851	0.0
('calm', 'stormy')	-0.03851941963546415	0.0
('irrelevant', 'relevant')	0.03845389843417939	0.0
('responsive', 'unresponsive')	-0.03838546393319777	0.0
('out', 'safe')	0.038241530184827045	0.0
('intelligent', 'unintelligent')	-0.038129607622811756	0.0
('purposeful', 'purposeless')	-0.03803253673545404	0.0
('dependable', 'undependable')	-0.03795587124809888	0.0
('obtrusive', 'unobtrusive')	0.03784778242211681	0.0
('monolingual', 'multilingual')	0.0378215712484609	0.0
('beautiful', 'ugly')	-0.03741684897545225	0.0
('productive', 'unproductive')	-0.037353691890945784	0.0
('coldhearted', 'warmhearted')	0.03724912678794762	0.0
('competent', 'incompetent')	-0.0372208594506519	0.0
('tasteful', 'tasteless')	-0.03719419289951955	0.0
('rewarding', 'unrewarding')	-0.037137201617379045	0.0
('functional', 'nonfunctional')	-0.037107823047873606	0.0
('dignified', 'undignified')	-0.03705021066629617	0.0
('dull', 'lively')	0.03696102120334515	0.0
('enthusiastic', 'unenthusiastic')	-0.03691188672657353	0.0
('insincere', 'sincere')	0.036793532599364354	0.0
('best', 'worst')	-0.03593106826891567	0.0
('strong', 'weak')	-0.03562877433816518	0.0
('adaptable', 'unadaptable')	-0.03553530445391606	0.0
('better', 'worse')	-0.035177125862358063	0.0
('effective', 'ineffective')	-0.034861174992164234	0.0
('disloyal', 'loyal')	0.0346509915094011	0.0
('convenient', 'inconvenient')	-0.034607906448183276	0.0
('skilled', 'unskilled')	-0.03435245707856047	0.0
('off-site', 'on-site')	0.03414313616395284	0.0
('counterfeit', 'genuine')	0.03409928173575168	0.0
('humane', 'inhumane')	-0.03389748389115009	0.0
('generous', 'stingy')	-0.03378574157392433	0.0
('dangerous', 'safe')	0.03321681615994469	0.0
('disorderly', 'orderly')	0.032992641899997455	0.0
('accurate', 'inaccurate')	-0.03281377141289349	0.0
('blessed', 'cursed')	-0.03269014552573543	0.0
('congenial', 'uncongenial')	-0.032546965051715476	0.0
('accessible', 'inaccessible')	-0.032469699183346704	0.0
('conscientious', 'unconscientious')	-0.03245856138679329	0.0
('disobedient', 'obedient')	0.032454706386294	0.0
