axis	diff_a_b	p
('abstract', 'concrete')	0.016161950274408296	0.0
('acceptive', 'rejective')	-0.00650047359358953	0.0
('accordant', 'discordant')	0.023533145441185913	0.0
('acidic', 'alkaline')	-0.013871430352146587	0.0
('active', 'quiet')	0.023266028649920653	0.0
('affirmative', 'negative')	0.01233742130912982	0.0
('agitated', 'unagitated')	-0.028824350111181646	0.0
('alcoholic', 'nonalcoholic')	-0.016880042254331623	0.0
('algorithmic', 'heuristic')	-0.014627235050582207	0.0
('alive', 'dead')	0.021832780534730103	0.0
('alternate', 'opposite')	0.024110618418482797	0.0
('ambiguous', 'unambiguous')	-0.02135992699205863	0.0
('amicable', 'hostile')	0.03121070785287732	0.0
('anisotropic', 'isotropic')	0.009772824620929125	0.0
('antagonistic', 'conciliatory')	-0.01604763965936965	0.0
('antagonistic', 'synergistic')	-0.03147672058361295	0.0
('anterograde', 'retrograde')	0.0128704510377331	0.0
('anti-American', 'pro-American')	-0.013480173745460941	0.0
('anticlinal', 'synclinal')	-0.007837090545250879	0.0
('antimagnetic', 'magnetic')	0.017371414433244386	0.0
('antiseptic', 'septic')	0.013284134518431526	0.0
('ascending', 'descending')	0.01608899218137709	0.0
('asleep', 'awake')	-0.011543594834959748	0.0
('asynchronous', 'synchronous')	0.010532264195119777	0.0
('authorized', 'unauthorized')	0.019040762127227013	0.0
('autologous', 'homologous')	0.01153518486988413	0.0
('automatic', 'manual')	-0.012866681345608812	0.0
('autumnal', 'wintry')	0.022633207852832113	0.0
('away', 'home')	-0.015293587327968912	0.0
('awkward', 'graceful')	-0.01938835702042943	0.0
('back', 'front')	0.03966845422430801	0.0
('bettering', 'worsening')	0.021676122186089223	0.0
('boneless', 'bony')	0.04446013651430108	0.0
('bottom', 'top')	-0.02680678641343385	0.0
('bottom-up', 'top-down')	0.015258261026146094	0.0
('bowed', 'plucked')	-0.020154255411410575	0.0
('brachycephalic', 'dolichocephalic')	-0.008206689059731494	0.0
('breakable', 'unbreakable')	-0.014399912576824832	0.0
('broad-minded', 'narrow-minded')	0.01930848447510361	0.0
('cacophonous', 'euphonious')	-0.04015940418532832	0.0
('carpeted', 'uncarpeted')	-0.019057821686690013	0.0
('changeable', 'unchangeable')	-0.016267614188149225	0.0
('clement', 'inclement')	0.026506626232812552	0.0
('cold', 'hot')	-0.013099287254801658	0.0
('collective', 'distributive')	-0.018842750620168408	0.0
('complaining', 'uncomplaining')	-0.020137424635384704	0.0
('comprehensible', 'incomprehensible')	0.02319437200255227	0.0
('concealed', 'unconcealed')	-0.023821613087755794	0.0
('confined', 'invasive')	-0.02190702476913045	0.0
('confined', 'unconfined')	-0.024102463930210843	0.0
('conformist', 'nonconformist')	-0.011858082338511024	0.0
('congruous', 'incongruous')	0.0260815877228521	0.0
('conservative', 'liberal')	-0.01039636711004551	0.0
('consolable', 'inconsolable')	0.015137463285012698	0.0
('constricted', 'unconstricted')	-0.025299018645056126	0.0
('constructive', 'destructive')	0.021168405820914747	0.0
('contemptible', 'estimable')	-0.02107786295587623	0.0
('corrupt', 'incorrupt')	-0.0151573149251934	0.0
('credulous', 'incredulous')	0.011776165095283633	0.0
('crosswise', 'lengthwise')	0.008950040705908505	0.0
('crowded', 'uncrowded')	-0.03893552353298774	0.0
('curtained', 'curtainless')	-0.03820355046152901	0.0
('damaged', 'undamaged')	-0.02196560898815149	0.0
('deductive', 'inductive')	0.01727077541478065	0.0
('defeated', 'undefeated')	-0.012855372068943187	0.0
('defensive', 'offensive')	0.008769300481210923	0.0
('demanding', 'undemanding')	-0.019801692412456967	0.0
('destroyed', 'preserved')	-0.031238745913534306	0.0
('determinate', 'indeterminate')	0.023922062710495746	0.0
('difficult', 'easy')	-0.02430192565825777	0.0
('dimmed', 'undimmed')	-0.03296269647456232	0.0
('disenfranchised', 'enfranchised')	-0.019156492948029624	0.0
('disorienting', 'orienting')	-0.01805885448239989	0.0
('disproportionate', 'proportionate')	-0.023823861350767195	0.0
('diurnal', 'nocturnal')	0.011675223927955156	0.0
('down', 'up')	-0.025128141868617587	0.0
('downstream', 'upstream')	-0.012169553051092144	0.0
('dry', 'wet')	0.02627664821114585	0.0
('dull', 'lively')	-0.020952382515598666	0.0
('dull', 'sharp')	-0.020585898629341102	0.0
('early', 'middle')	0.02105433877887801	0.0
('elastic', 'inelastic')	-0.012852519309330651	0.0
('empirical', 'theoretical')	0.014598077272302855	0.0
('empty', 'full')	-0.03150681615884775	0.0
('erect', 'unerect')	-0.01818230909949492	0.0
('excitable', 'unexcitable')	-0.01796620231023416	0.0
('excusable', 'inexcusable')	0.01405975633859393	0.0
('exhausted', 'unexhausted')	-0.02041170958408986	0.0
('existent', 'nonexistent')	0.01296654676771454	0.0
('explicable', 'inexplicable')	0.01898469569918776	0.0
('extramural', 'intramural')	0.017494752249174114	0.0
('extraordinary', 'ordinary')	0.0228743697272732	0.0
('falling', 'rising')	-0.016214037306664292	0.0
('familiar', 'strange')	0.017089208278426443	0.0
('farsighted', 'nearsighted')	0.014971103400780464	0.0
('fast', 'slow')	0.0163625081209203	0.0
('fastened', 'unfastened')	-0.014391092137874775	0.0
('flat', 'sharp')	-0.012432529936592284	0.0
('following', 'leading')	0.014271908353711268	0.0
('foreign', 'native')	-0.011100949433827088	0.0
('forte', 'piano')	0.01476245371209127	0.0
('fortunate', 'unfortunate')	0.02461317973036035	0.0
('framed', 'unframed')	-0.01780562181310824	0.0
('future', 'past')	0.013010454845998037	0.0
('geographic', 'magnetic')	0.011176091224466405	0.0
('glad', 'sad')	0.035383595949002776	0.0
('gradual', 'sudden')	0.016550430433518074	0.0
('guilty', 'innocent')	0.012557090654411032	0.0
('hateful', 'lovable')	-0.021768844969201437	0.0
('heedful', 'heedless')	0.016029393336353413	0.0
('high-tech', 'low-tech')	-0.016010359263004842	0.0
('high-tension', 'low-tension')	-0.026192715548614534	0.0
('hurried', 'unhurried')	-0.025262713798002184	0.0
('hydrophilic', 'hydrophobic')	0.008529451930713833	0.0
('ill-advised', 'well-advised')	-0.014481543052975047	0.0
('illegal', 'legal')	-0.01356469831701738	0.0
('illicit', 'licit')	-0.015664893526387502	0.0
('immortal', 'mortal')	0.009308247093593021	0.0
('impaired', 'unimpaired')	-0.017737214032559318	0.0
('impervious', 'pervious')	-0.01920322291445136	0.0
('implacable', 'placable')	-0.014498164481946366	0.0
('impossible', 'possible')	-0.016393137945114426	0.0
('infernal', 'supernal')	-0.019501668497500818	0.0
('instrumental', 'vocal')	0.017524895862319763	0.0
('intelligible', 'unintelligible')	0.02025061640642374	0.0
('intense', 'mild')	-0.016517354679096968	0.0
('intermediate', 'terminal')	0.01885358767460938	0.0
('intractable', 'tractable')	-0.014617965209664505	0.0
('intrusive', 'unintrusive')	-0.026768879855156164	0.0
('inward', 'outward')	0.009154473263200479	0.0
('isometric', 'isotonic')	-0.017160780155925225	0.0
('joint', 'separate')	0.015208830265137141	0.0
('judgmental', 'nonjudgmental')	-0.016147737939851095	0.0
('knowable', 'unknowable')	0.015812318385738412	0.0
('late', 'middle')	0.022455576030628206	0.0
('lax', 'tense')	0.01772178916342943	0.0
('leaded', 'unleaded')	-0.018786863227398524	0.0
('leavened', 'unleavened')	-0.01083510187809057	0.0
('legato', 'staccato')	0.03253529386163295	0.0
('limited', 'unlimited')	-0.01616572414241501	0.0
('lined', 'unlined')	-0.017585792292130614	0.0
('little', 'much')	-0.02118494714062165	0.0
('lost', 'saved')	-0.018243158819288376	0.0
('lost', 'won')	-0.019739723193250555	0.0
('loud', 'soft')	-0.0352112341473542	0.0
('majuscule', 'minuscule')	0.013280931162285847	0.0
('masochistic', 'sadistic')	0.015634782197216965	0.0
('matriarchal', 'patriarchal')	0.015341491635361762	0.0
('meatless', 'meaty')	0.02572416489153586	0.0
('metallic', 'nonmetallic')	-0.014889755172308228	0.0
('multilateral', 'unilateral')	0.011273795136257859	0.0
('narrow', 'wide')	-0.03101543221902786	0.0
('neurotic', 'unneurotic')	-0.0160249389972687	0.0
('new', 'old')	0.015174933969248558	0.0
('new', 'worn')	0.021961982432553186	0.0
('nonpartisan', 'partisan')	0.020170138098471443	0.0
('nonporous', 'porous')	0.015841340872709636	0.0
('nonsectarian', 'sectarian')	0.015325502428010632	0.0
('nontoxic', 'toxic')	0.017932925293726143	0.0
('nonviolent', 'violent')	0.025500467438894725	0.0
('oblique', 'perpendicular')	0.01179786963802016	0.0
('offside', 'onside')	-0.01455370341482793	0.0
('ostentatious', 'unostentatious')	-0.021630422216843095	0.0
('overhead', 'subsurface')	-0.02490773628602741	0.0
('painful', 'painless')	-0.023285459190171123	0.0
('poor', 'rich')	-0.02297120852810656	0.0
('prejudiced', 'unprejudiced')	-0.01296601716438913	0.0
('pretentious', 'unpretentious')	-0.023086657061802126	0.0
('publicized', 'suppressed')	0.015447459711596716	0.0
('radiolucent', 'radiopaque')	-0.01375938880359985	0.0
('restful', 'restless')	0.018161433779028215	0.0
('restricted', 'unrestricted')	-0.013285654919620957	0.0
('rough', 'smooth')	-0.0188356084165309	0.0
('running', 'standing')	0.015254471281206387	0.0
('rural', 'urban')	0.010582729854600207	0.0
('rusted', 'rustless')	-0.028469701176234707	0.0
('saturated', 'unsaturated')	-0.012293622110668201	0.0
('seasonable', 'unseasonable')	0.020804322378946215	0.0
('seedless', 'seedy')	0.03686371729493089	0.0
('selfish', 'unselfish')	-0.026949173082703337	0.0
('sheathed', 'unsheathed')	-0.01621534662183749	0.0
('side', 'top')	-0.022931292967095035	0.0
('skinless', 'skinned')	0.033313925976458325	0.0
