axis	diff_a_b	p
('abaxial', 'adaxial')	0.010524430515336042	0.0
('able', 'unable')	-0.016235506804283678	0.0
('absent', 'present')	0.01948461146706218	0.0
('absolute', 'relative')	-0.009766726318634587	0.0
('abundant', 'scarce')	-0.03009263035933165	0.0
('acceptable', 'unacceptable')	-0.011580947240390063	0.0
('accessible', 'inaccessible')	-0.025057403828360372	0.0
('accommodating', 'unaccommodating')	-0.021014851808247553	0.0
('accurate', 'inaccurate')	-0.02474861460511342	0.0
('achromatic', 'chromatic')	0.007540667111829713	0.0
('active', 'extinct')	-0.011955247070871144	0.0
('active', 'inactive')	-0.023104530739414236	0.0
('active', 'quiet')	0.037214818917052236	0.0
('adaptable', 'unadaptable')	-0.021657397707165404	0.0
('adaptive', 'maladaptive')	-0.016196557845209528	0.0
('adequate', 'inadequate')	-0.019329417738149668	0.0
('admissible', 'inadmissible')	-0.01251472063930445	0.0
('adoptable', 'unadoptable')	-0.012468317506174997	0.0
('adopted', 'native')	0.00895136169361637	0.0
('adorned', 'unadorned')	-0.013804230740600026	0.0
('adroit', 'maladroit')	-0.014031396382739564	0.0
('adulterating', 'purifying')	0.01305449772221165	0.0
('advantageous', 'disadvantageous')	-0.01443010143342699	0.0
('adventurous', 'unadventurous')	-0.019153122284703977	0.0
('aerobic', 'anaerobic')	-0.013977397531436925	0.0
('aesthetic', 'inaesthetic')	-0.021797291026858984	0.0
('agreeable', 'disagreeable')	-0.030996478057689833	0.0
('ahistorical', 'historical')	0.018582557141896605	0.0
('air-to-air', 'surface-to-air')	-0.009059506426326074	0.0
('algorithmic', 'heuristic')	-0.008648700955156017	0.0
('alive', 'dead')	-0.017494022220585624	0.0
('all', 'no')	-0.014262718024959374	0.0
('alternate', 'opposite')	0.013757655027925947	0.0
('amphibious', 'aquatic')	0.016405974238107232	0.0
('ample', 'meager')	-0.041769640861655855	0.0
('anal', 'oral')	-0.009277843195750434	0.0
('analogous', 'homologous')	-0.007943044621694761	0.0
('anisotropic', 'isotropic')	0.007903996581249982	0.0
('anticlimactic', 'climactic')	0.015914736605746736	0.0
('anticlinal', 'synclinal')	0.005314174105208006	0.0
('antonymous', 'synonymous')	0.013419559313465501	0.0
('appealing', 'unappealing')	-0.02584303254112913	0.0
('appetizing', 'unappetizing')	-0.01851150952439322	0.0
('approachable', 'unapproachable')	-0.019283590652044325	0.0
('aquatic', 'terrestrial')	-0.013685294938402245	0.0
('artful', 'artless')	-0.02271511946161142	0.0
('articulate', 'inarticulate')	-0.013936915538556138	0.0
('articulated', 'unarticulated')	-0.0092898755940454	0.0
('artificial', 'natural')	0.014710636301763502	0.0
('assisted', 'unassisted')	-0.01244636860155042	0.0
('asynchronous', 'synchronous')	0.010250296139786562	0.0
('atonal', 'tonal')	0.016252148056150245	0.0
('attachable', 'detachable')	0.0064413877375475714	0.0
('attentive', 'inattentive')	-0.0378966164322502	0.0
('attractive', 'repulsive')	-0.03769518562336277	0.0
('attractive', 'unattractive')	-0.04210614690903407	0.0
('attributive', 'predicative')	-0.00711691691582147	0.0
('audible', 'inaudible')	-0.016108174987007534	0.0
('auspicious', 'inauspicious')	-0.011280103452831036	0.0
('autologous', 'homologous')	0.006341211988099622	0.0
('automatic', 'manual')	-0.007038709180761148	0.0
('available', 'unavailable')	-0.01840933834070624	0.0
('avascular', 'vascular')	0.01036535259957913	0.0
('avenged', 'unavenged')	-0.0070015018117266375	0.0
('away', 'home')	0.017286787903438166	0.0
('backhand', 'forehand')	-0.007165230445076289	0.0
('bad', 'good')	0.03205812942638511	0.0
('balanced', 'unbalanced')	-0.020864107810699306	0.0
('banded', 'unbanded')	-0.010004601581057065	0.0
('beautiful', 'ugly')	-0.05484459392743331	0.0
('belted', 'unbelted')	-0.015260912223908837	0.0
('benign', 'malignant')	-0.017398879083683677	0.0
('best', 'worst')	-0.03068322442544115	0.0
('better', 'worse')	-0.03132012217211101	0.0
('bicameral', 'unicameral')	-0.01015327064354487	0.0
('bisexual', 'heterosexual')	-0.007587606127950945	0.0
('bisexual', 'homosexual')	-0.011672204329603765	0.0
('bivalent', 'multivalent')	0.011799624819722423	0.0
('black', 'white')	0.010159090761306274	0.0
('blemished', 'unblemished')	0.01613205012844065	0.0
('blended', 'unblended')	-0.012808110474163747	0.0
('blessed', 'cursed')	-0.027541761873228626	0.0
('blue-collar', 'white-collar')	-0.010646716728984137	0.0
('bodied', 'unbodied')	-0.00807174524704568	0.0
('bold', 'timid')	-0.019122072556297325	0.0
('born', 'unborn')	-0.012777129973079927	0.0
('bottom', 'side')	0.008092843148906147	0.0
('bottom', 'top')	0.010491394663301385	0.0
('bottom-up', 'top-down')	0.010310813351409924	0.0
('bound', 'free')	0.00967995820363958	0.0
('brave', 'cowardly')	-0.017820392370825486	0.0
