axis	diff_a_b	p
('abridged', 'unabridged')	-0.012079815299267799	0.0
('abstemious', 'gluttonous')	0.013619064803404607	0.0
('abstract', 'concrete')	0.009630871405988894	0.0
('abused', 'unabused')	-0.049557088471752164	0.0
('accentual', 'quantitative')	0.013363863015083965	0.0
('accentual', 'syllabic')	0.00729916542866809	0.0
('accordant', 'discordant')	0.016482486463553603	0.0
('accusatorial', 'inquisitorial')	0.009944573495346706	0.0
('accustomed', 'unaccustomed')	-0.019629815130030398	0.0
('achromatic', 'chromatic')	0.007209241283522738	0.0
('acknowledged', 'unacknowledged')	-0.013150101487338361	0.0
('active', 'stative')	-0.02262244416880005	0.0
('actual', 'potential')	0.007330106219131348	0.0
('acute', 'chronic')	0.02193570807170634	0.0
('acyclic', 'cyclic')	0.010266386040937006	0.0
('addressed', 'unaddressed')	-0.01697546349587406	0.0
('adjective', 'substantive')	0.018979019540145255	0.0
('adjusted', 'unadjusted')	-0.014403007681286384	0.0
('afebrile', 'febrile')	0.012896760749476197	0.0
('affected', 'unaffected')	-0.04064112193627993	0.0
('affirmative', 'negative')	0.022574083472374648	0.0
('afraid', 'unafraid')	-0.04657798202639199	0.0
('aggressive', 'unaggressive')	-0.032206172226887875	0.0
('agitated', 'unagitated')	-0.03690680770978588	0.0
('agnostic', 'gnostic')	-0.019557359270101632	0.0
('air-to-air', 'air-to-surface')	-0.011539304932987382	0.0
('air-to-surface', 'surface-to-air')	0.018546730126940948	0.0
('alcoholic', 'nonalcoholic')	-0.03815343560332521	0.0
('alienable', 'inalienable')	0.014516146967854096	0.0
('aligned', 'nonaligned')	-0.02352133384875857	0.0
('alike', 'unalike')	-0.026202513530390936	0.0
('alive', 'dead')	0.015387621838400239	0.0
('all', 'no')	0.016365358463630908	0.0
('allogeneic', 'xenogeneic')	-0.010580883345993303	0.0
('alterable', 'unalterable')	0.009657826066243179	0.0
('altered', 'unaltered')	-0.02243303001252682	0.0
('alternate', 'opposite')	0.018384359139889755	0.0
('alternating', 'direct')	0.027442588329602932	0.0
('ambidextrous', 'left-handed')	0.016856972291471484	0.0
('ambidextrous', 'right-handed')	0.013555008470553687	0.0
('ambiguous', 'unambiguous')	-0.018867635363823826	0.0
('amended', 'unamended')	-0.01901632973357653	0.0
('amicable', 'hostile')	0.03694488431511918	0.0
('anadromous', 'diadromous')	-0.015154649431308675	0.0
('analogous', 'heterologous')	-0.021630211012296452	0.0
('analogous', 'homologous')	-0.016644774431856593	0.0
('analyzed', 'unanalyzed')	-0.018187712873432627	0.0
('androgynous', 'female')	0.017686233930457623	0.0
('androgynous', 'male')	0.017357703514099487	0.0
('anestrous', 'estrous')	0.012255340274593185	0.0
('anhydrous', 'hydrous')	-0.009872819509378516	0.0
('animated', 'unanimated')	-0.011324056049725278	0.0
('annual', 'biennial')	-0.022188001487475795	0.0
('annual', 'perennial')	-0.01394820196927271	0.0
('anonymous', 'onymous')	-0.03244179508003073	0.0
('antagonistic', 'conciliatory')	-0.008282103761957212	0.0
('antagonistic', 'synergistic')	-0.03856383177931103	0.0
('antecedent', 'subsequent')	0.03153946330803317	0.0
('antemeridian', 'postmeridian')	-0.005595748173704708	0.0
('antemortem', 'postmortem')	0.02002107106074015	0.0
('anterograde', 'retrograde')	0.0206213104704753	0.0
('anti-American', 'pro-American')	-0.02977760876504791	0.0
('antimagnetic', 'magnetic')	0.014112324754285616	0.0
('antiseptic', 'septic')	0.019350648167887254	0.0
('antonymous', 'synonymous')	0.017428937224568758	0.0
('aperiodic', 'periodic')	0.02252594366607219	0.0
('apologetic', 'unapologetic')	-0.019095107168530343	0.0
('appealable', 'unappealable')	-0.01257103266288638	0.0
('appointive', 'elective')	0.023823485811120815	0.0
('apropos', 'malapropos')	-0.01789167326700311	0.0
('arbitrary', 'nonarbitrary')	-0.03584508186357829	0.0
('armed', 'armless')	-0.02917061905945839	0.0
('armored', 'unarmored')	-0.016745108981947615	0.0
('ascending', 'descending')	0.017949375514603863	0.0
('asexual', 'sexual')	0.014613242246309582	0.0
('ashamed', 'unashamed')	-0.05492227419894041	0.0
('asleep', 'awake')	-0.014745247637958616	0.0
('assigned', 'unassigned')	-0.019079423882046004	0.0
('atrophied', 'hypertrophied')	-0.01788738375054727	0.0
('attached', 'detached')	-0.015234150017440856	0.0
('attributable', 'unattributable')	-0.026000284574686394	0.0
('autumnal', 'wintry')	0.025299161847873793	0.0
('avenged', 'unavenged')	-0.010283051864296983	0.0
('avirulent', 'virulent')	0.03225316380638846	0.0
('awakened', 'unawakened')	-0.024872818106034367	0.0
('away', 'home')	-0.03277131178842065	0.0
('awed', 'unawed')	-0.018657151054848914	0.0
('awkward', 'graceful')	-0.049468895028045995	0.0
('back', 'front')	-0.03615893558649322	0.0
('backed', 'backless')	-0.026784590117590032	0.0
('bad', 'good')	-0.06517552403926412	0.0
('banded', 'unbanded')	-0.011976754779189913	0.0
('baptized', 'unbaptized')	-0.017041490813005086	0.0
('bearing', 'nonbearing')	-0.023636763000739386	0.0
('beseeching', 'imperative')	0.013761617214653188	0.0
('best', 'worst')	0.06184690994081318	0.0
('bettering', 'worsening')	0.01730757054869456	0.0
('bidirectional', 'unidirectional')	-0.009482293898778334	0.0
('binaural', 'monaural')	-0.012351819394012704	0.0
('biped', 'quadruped')	-0.013998075914809423	0.0
('bipolar', 'unipolar')	-0.017295526754992907	0.0
('bisexual', 'homosexual')	0.02775894104281926	0.0
('blond', 'brunet')	-0.015438913658841452	0.0
('bloodless', 'bloody')	0.028100561971663163	0.0
('boneless', 'bony')	0.023973601550879655	0.0
('bottle-fed', 'breast-fed')	0.006407053743296108	0.0
('bottom', 'top')	-0.014957041562669304	0.0
('bottom-up', 'top-down')	0.012251776690168657	0.0
