axis	diff_a_b	p
('able', 'unable')	-0.020105051621478076	0.0
('abnormal', 'normal')	0.008788835174044385	0.0
('aboral', 'oral')	0.012549301744065933	0.0
('absent', 'present')	0.012839170035746209	0.0
('absolute', 'relative')	-0.008770863015033908	0.0
('absorbable', 'adsorbable')	-0.005258003444946618	0.0
('abstemious', 'gluttonous')	0.006371458574730621	0.0
('abused', 'unabused')	-0.019845587980402063	0.0
('accurate', 'inaccurate')	-0.010845471472545082	0.0
('accusatorial', 'inquisitorial')	0.003738881701280075	0.0
('accustomed', 'unaccustomed')	-0.01080970888636576	0.0
('achromatic', 'chromatic')	0.006532684711487435	0.0
('acknowledged', 'unacknowledged')	-0.011764267767849668	0.0
('active', 'inactive')	-0.011791602212360586	0.0
('active', 'passive')	-0.020728790845579118	0.0
('active', 'stative')	-0.017553989312741075	0.0
('actual', 'potential')	0.0071426525450259196	0.0
('acute', 'chronic')	0.007442645440752058	0.0
('addictive', 'nonaddictive')	-0.009985472633902231	0.0
('addressed', 'unaddressed')	-0.01603467950049714	0.0
('adiabatic', 'diabatic')	-0.00494162755500023	0.0
('adjective', 'substantive')	0.007571178517859885	0.0
('adoptable', 'unadoptable')	-0.006519420619590696	0.0
('adorned', 'unadorned')	-0.007660166407481683	0.0
('adventurous', 'unadventurous')	-0.028853385642517437	0.0
('aerobic', 'anaerobic')	-0.009357595083284542	0.0
('afebrile', 'febrile')	0.004500215740655039	0.0
('affected', 'unaffected')	-0.015311921594797079	0.0
('affirmative', 'negative')	0.004962050291583392	0.0
('afraid', 'unafraid')	-0.019555935594413015	0.0
('aft', 'fore')	0.00833671282297439	0.0
('aggressive', 'unaggressive')	-0.014137725910640497	0.0
('agitated', 'unagitated')	-0.007431874785000403	0.0
('ahistorical', 'historical')	0.02014390361723495	0.0
('air-to-air', 'air-to-surface')	-0.007655183814211236	0.0
('air-to-surface', 'surface-to-air')	0.009674699949062456	0.0
('airworthy', 'unairworthy')	-0.008509623760034127	0.0
('alcoholic', 'nonalcoholic')	-0.014428655889154318	0.0
('algorithmic', 'heuristic')	0.0055383069827861404	0.0
('alienable', 'inalienable')	0.016208844737853723	0.0
('aligned', 'nonaligned')	-0.00883656343825348	0.0
('alike', 'unalike')	-0.019884113845879875	0.0
('alive', 'dead')	-0.011154116006568847	0.0
('all', 'no')	-0.0063278313915811875	0.0
('allochthonous', 'autochthonous')	0.010269904853890233	0.0
('allogeneic', 'xenogeneic')	-0.005021963195302334	0.0
('alterable', 'unalterable')	0.006542614738370346	0.0
('altered', 'unaltered')	-0.00703165155860086	0.0
('alternate', 'opposite')	0.008910281416483992	0.0
('alternating', 'direct')	0.017073312620456242	0.0
('altruistic', 'egoistic')	-0.006934671569343007	0.0
('ambitious', 'unambitious')	-0.018495086415531353	0.0
('amended', 'unamended')	-0.00798083322616397	0.0
('anabolic', 'catabolic')	-0.005910926370392325	0.0
('anadromous', 'catadromous')	-0.00889215509374787	0.0
('anadromous', 'diadromous')	-0.00913167450399388	0.0
('anal', 'oral')	-0.009896079680679386	0.0
('analogous', 'heterologous')	-0.012079240210861764	0.0
('analogous', 'homologous')	-0.007470547408842967	0.0
('analogue', 'digital')	0.012319902221017337	0.0
('analyzed', 'unanalyzed')	-0.010079911492987675	0.0
('androgynous', 'female')	0.016457718715649522	0.0
('androgynous', 'male')	0.013736221583868946	0.0
