axis	diff_a_b	p
('abridged', 'unabridged')	-0.010335876458621253	0.0
('accentual', 'syllabic')	0.006278963862070129	0.0
('accordant', 'discordant')	0.007060986697219121	0.0
('acidic', 'alkaline')	-0.016564554581801963	0.0
('acidic', 'amphoteric')	-0.0115211448205145	0.0
('actinomorphic', 'zygomorphic')	0.00869635017465472	0.0
('actual', 'potential')	-0.01890895974942211	0.0
('adoptive', 'biological')	0.011595774988948274	0.0
('afferent', 'efferent')	-0.007872197502308727	0.0
('alive', 'dead')	0.024328557915774263	0.0
('all', 'no')	0.01576666140909464	0.0
('all', 'some')	0.018679407944914073	0.0
('ambiguous', 'unambiguous')	-0.015204409404093247	0.0
('amicable', 'hostile')	0.013640620712755937	0.0
('analytic', 'synthetic')	0.014697932601413562	0.0
('animate', 'inanimate')	0.01600627568696737	0.0
('annual', 'perennial')	0.02204844776503654	0.0
('anti-American', 'pro-American')	-0.009040877401648467	0.0
('anticlinal', 'synclinal')	-0.011027115964129745	0.0
('apocrine', 'eccrine')	-0.00740366654239361	0.0
('applied', 'theoretical')	-0.011060833252518415	0.0
('aqueous', 'igneous')	-0.008585477772014682	0.0
('arenaceous', 'argillaceous')	0.007599912597172985	0.0
('authorized', 'unauthorized')	0.019777296859285087	0.0
('autotrophic', 'heterotrophic')	0.0065128831432623956	0.0
('away', 'home')	-0.011688241565078993	0.0
('awkward', 'graceful')	-0.023314510944704478	0.0
('backhand', 'forehand')	0.005009150247804701	0.0
('best', 'worst')	0.046914045250442536	0.0
('bettering', 'worsening')	0.020560434950412484	0.0
('bidirectional', 'unidirectional')	0.006569721221636597	0.0
('big', 'little')	0.013323093779224013	0.0
('bisexual', 'homosexual')	0.014659390560927075	0.0
('boneless', 'bony')	-0.024717967246993898	0.0
('bottom', 'top')	-0.02974923067766122	0.0
('bowed', 'plucked')	0.014574685226199636	0.0
('breakable', 'unbreakable')	-0.01462638663430505	0.0
('bridgeable', 'unbridgeable')	0.008153609701758387	0.0
('bright', 'dull')	0.036029591223341005	0.0
('broad-minded', 'narrow-minded')	0.01587167307786508	0.0
('burdened', 'unburdened')	-0.009764435550612016	0.0
('buttoned', 'unbuttoned')	0.007428043778581609	0.0
('cacophonous', 'euphonious')	-0.010674077238248363	0.0
('catadromous', 'diadromous')	-0.008702441853154332	0.0
('censored', 'uncensored')	-0.015857704343190143	0.0
('center', 'left')	0.017055805087144108	0.0
('cheap', 'expensive')	0.020039429336007684	0.0
('cheerful', 'depressing')	0.030974752015082513	0.0
('cold', 'hot')	-0.014051297270226729	0.0
('comfortable', 'uncomfortable')	0.0498431930148105	0.0
('common', 'individual')	-0.013752388891380838	0.0
('comparable', 'incomparable')	-0.021204076942359512	0.0
('compatible', 'incompatible')	0.02613361043063693	0.0
('comprehensible', 'incomprehensible')	0.02296541064185375	0.0
('concentrated', 'distributed')	-0.014962660002795766	0.0
('conformist', 'nonconformist')	-0.01757079816678566	0.0
('congruous', 'incongruous')	0.013225983874006253	0.0
('conjunct', 'disjunct')	0.008066522016776042	0.0
('conservative', 'liberal')	0.00812964219087531	0.0
('constructive', 'destructive')	0.029464112156565195	0.0
('consumptive', 'generative')	-0.012238922932315556	0.0
('contaminated', 'uncontaminated')	-0.022492937221351234	0.0
('contemptible', 'estimable')	-0.03164919836874551	0.0
('conventional', 'nuclear')	-0.012182975368899627	0.0
('conventional', 'unconventional')	-0.019429155416753364	0.0
('cooked', 'raw')	-0.021665528794128412	0.0
('covert', 'overt')	0.016955832154469323	0.0
('crosswise', 'lengthwise')	0.009277660347194253	0.0
('custom-made', 'ready-made')	0.025713493782331013	0.0
('dark', 'light')	-0.014830042178314226	0.0
('dead', 'live')	-0.029262311024022408	0.0
('debilitating', 'invigorating')	-0.01887236116982621	0.0
('defensive', 'offensive')	0.018034937739235084	0.0
('dehiscent', 'indehiscent')	0.005422008598995693	0.0
