axis	diff_a_b	p
('able', 'unable')	-0.013952967502330715	0.0
('absent', 'present')	0.005985497530820727	0.0
('absolute', 'relative')	-0.01775159374856742	0.0
('absorbent', 'nonabsorbent')	-0.0065225655922726	0.0
('abundant', 'scarce')	-0.0202614436885354	0.0
('acceptable', 'unacceptable')	-0.01394977582560375	0.0
('accessible', 'inaccessible')	-0.006796917139597819	0.0
('accompanied', 'unaccompanied')	-0.014194556085804041	0.0
('accurate', 'inaccurate')	-0.01408676147475292	0.0
('acidic', 'amphoteric')	-0.007162769020619547	0.0
('active', 'inactive')	-0.006838176375120478	0.0
('actual', 'potential')	-0.004225669617912444	0.0
('adequate', 'inadequate')	-0.016491655182368184	0.0
('admissible', 'inadmissible')	-0.004720506054781887	0.0
('adnate', 'connate')	0.0033528454611887262	0.0
('adopted', 'native')	0.01648959522830997	0.0
('adoptive', 'biological')	0.008397147317917832	0.0
('adroit', 'maladroit')	-0.009040936957228754	0.0
('advantageous', 'disadvantageous')	-0.005436141951127377	0.0
('afferent', 'efferent')	-0.0031711757516505387	0.0
('aft', 'fore')	0.006231817971027613	0.0
('agreeable', 'disagreeable')	-0.009730258022162264	0.0
('air-to-air', 'surface-to-air')	-0.009190296889743398	0.0
('alive', 'dead')	-0.013530978850590843	0.0
('alkaline', 'amphoteric')	-0.004743359971258465	0.0
('all', 'no')	-0.010516034180142544	0.0
('all', 'some')	0.00560337002983001	0.0
('allopathic', 'homeopathic')	0.00770450343190221	0.0
('allopatric', 'sympatric')	0.0032406294988346213	0.0
('altricial', 'precocial')	0.0023173081584063164	0.0
('ample', 'meager')	-0.010323862894089986	0.0
('anabolic', 'catabolic')	-0.003965110062675539	0.0
('anal', 'oral')	-0.004992833985106301	0.0
('analytic', 'synthetic')	0.004955471860530372	0.0
('anaphrodisiac', 'aphrodisiac')	0.014518772089099546	0.0
('anisotropic', 'isotropic')	-0.002819073322617152	0.0
('annual', 'perennial')	0.018984994251925905	0.0
('antagonistic', 'synergistic')	0.03006569610890023	0.0
('anticlimactic', 'climactic')	0.006008442283656365	0.0
('antipyretic', 'pyretic')	-0.003232543669512769	0.0
('antiseptic', 'septic')	-0.016313164282074223	0.0
('apocrine', 'eccrine')	-0.0032502292864707407	0.0
('appetizing', 'unappetizing')	-0.028486555299475858	0.0
('approachable', 'unapproachable')	-0.013611056268435923	0.0
('appropriate', 'inappropriate')	-0.010491127819836604	0.0
('aquatic', 'terrestrial')	-0.00660397122802437	0.0
('artful', 'artless')	-0.009867240850347916	0.0
('artificial', 'natural')	0.0043169126401111785	0.0
('atonal', 'tonal')	0.011076421820365764	0.0
('atonic', 'tonic')	0.011398926943215426	0.0
('attentive', 'inattentive')	-0.01113202199541663	0.0
('attractive', 'repulsive')	-0.0062840254006835405	0.0
('attractive', 'unattractive')	-0.01450459530944212	0.0
('audible', 'inaudible')	-0.009250226405449785	0.0
('auspicious', 'inauspicious')	-0.012896176583131982	0.0
('autologous', 'heterologous')	-0.004194920635367375	0.0
('autumnal', 'summery')	0.008262078024010217	0.0
('available', 'unavailable')	-0.010798697861020293	0.0
('away', 'home')	0.015584834662824298	0.0
('bad', 'good')	0.03803175365276613	0.0
('balanced', 'unbalanced')	-0.027177182562454688	0.0
('bare', 'covered')	0.005180453570033041	0.0
('basic', 'incidental')	-0.007232541233593459	0.0
('beautiful', 'ugly')	-0.02386012767589843	0.0
('belted', 'unbelted')	-0.007960874362329035	0.0
('best', 'worst')	-0.0340353734337251	0.0
('better', 'worse')	-0.03198234584995226	0.0
('bidirectional', 'unidirectional')	0.007664017961997933	0.0
('biennial', 'perennial')	0.006731710795042367	0.0
('biped', 'quadruped')	0.011035670618226804	0.0
('bisexual', 'heterosexual')	-0.008924826398413348	0.0
('bisexual', 'homosexual')	-0.012282137691181904	0.0
('bivalent', 'multivalent')	0.004942359854599704	0.0
('bivalent', 'univalent')	-0.003123453229543549	0.0
('bivalve', 'univalve')	-0.0062875756959131085	0.0
('blemished', 'unblemished')	0.008188961009146963	0.0
('blessed', 'cursed')	-0.012157837240551125	0.0
('blue-collar', 'white-collar')	-0.0061398118706480695	0.0
('bodied', 'unbodied')	-0.005571424183241885	0.0
('bold', 'timid')	-0.019036907700090623	0.0
('boneless', 'bony')	-0.03671736547848806	0.0
('bottom', 'top')	0.009211210984467037	0.0
('bottomed', 'bottomless')	0.007111443090398142	0.0
('bound', 'free')	0.008741740525800498	0.0
('bowed', 'plucked')	0.02101651723833161	0.0
('breakable', 'unbreakable')	0.004604011435301938	0.0
('bright', 'dull')	-0.012396105770439515	0.0
('buttoned', 'unbuttoned')	-0.0032607046793376995	0.0
('capable', 'incapable')	-0.00858282015416685	0.0
('capitalistic', 'socialistic')	-0.0059049724962700265	0.0
('cared-for', 'uncared-for')	-0.005421286054132016	0.0
('careful', 'careless')	-0.013115650452416444	0.0
('carnivorous', 'insectivorous')	-0.004364077786898374	0.0
('cenobitic', 'eremitic')	-0.008426184030269438	0.0
('censored', 'uncensored')	0.01827013574698491	0.0
('center', 'left')	-0.012061337326306737	0.0
('centrifugal', 'centripetal')	-0.006436413491003948	0.0
('certain', 'uncertain')	-0.004967677150972294	0.0
('characteristic', 'uncharacteristic')	-0.013050419771696228	0.0
('cheerful', 'depressing')	-0.019289735333702117	0.0
('clean', 'dirty')	-0.009545652800448723	0.0
('clear', 'unclear')	-0.014915076513164302	0.0
('clockwise', 'counterclockwise')	-0.003958635484835202	0.0
('closed', 'open')	0.014827955305992263	0.0
('closing', 'opening')	0.012353145791954373	0.0
('coastal', 'inland')	-0.009777470417117018	0.0
('coated', 'uncoated')	-0.011310466413068238	0.0
('coherent', 'incoherent')	-0.00650118677744662	0.0
('cold', 'hot')	0.01391990735613695	0.0
('coldhearted', 'warmhearted')	0.011048145857565278	0.0
('colorful', 'colorless')	-0.007751712048912229	0.0
('colourful', 'colourless')	-0.004845817528948498	0.0
('comfortable', 'uncomfortable')	-0.01970455263191949	0.0
('communicative', 'uncommunicative')	-0.0050273166562715965	0.0
('compatible', 'incompatible')	-0.009046756653365014	0.0
('competent', 'incompetent')	-0.014635067562519137	0.0
('complete', 'incomplete')	-0.008905467803713957	0.0
('complex', 'simple')	0.010953667676645087	0.0
('complimentary', 'uncomplimentary')	-0.007358413806877101	0.0
('compound', 'simple')	0.008186717333627705	0.0
('compressible', 'incompressible')	-0.007393010657156987	0.0
('concave', 'convex')	-0.008000854535077345	0.0
('concentrated', 'distributed')	-0.012792270775042164	0.0
('conditional', 'unconditional')	0.008141481695168602	0.0
('conjunct', 'disjunct')	0.011414746891357599	0.0
('connotative', 'denotative')	-0.01148455805645432	0.0
('conscious', 'unconscious')	-0.015212214241028796	0.0
('consecrated', 'desecrated')	-0.013632904612417993	0.0
('conservative', 'liberal')	0.01445835393524201	0.0
('considerate', 'inconsiderate')	-0.01696083333593637	0.0
('consistent', 'inconsistent')	-0.01012677858605908	0.0
('consumptive', 'generative')	0.00417998616568104	0.0
('contented', 'discontented')	-0.005946651015220378	0.0
('contestable', 'incontestable')	0.004373598226043465	0.0
('continental', 'intercontinental')	-0.011413000994881795	0.0
('contracted', 'expanded')	0.014077813715861011	0.0
