axis	diff_a_b	p
('accentual', 'quantitative')	0.01392484542111258	0.0
('acute', 'chronic')	0.010093356553009095	0.0
('additive', 'subtractive')	-0.010569313467596472	0.0
('adjusted', 'maladjusted')	-0.015697380355615714	0.0
('adnate', 'connate')	0.01003922385749156	0.0
('adoptive', 'biological')	0.017395706112242088	0.0
('afferent', 'efferent')	-0.008578336672903496	0.0
('affirmative', 'negative')	0.021811420158799874	0.0
('afloat', 'aground')	-0.009958090648080897	0.0
('alive', 'dead')	0.023827909652769715	0.0
('all', 'no')	0.017735736815125233	0.0
('all', 'some')	0.016500450456507165	0.0
('allogeneic', 'xenogeneic')	-0.010829336379163348	0.0
('ambidextrous', 'left-handed')	0.007672891571108564	0.0
('amicable', 'hostile')	0.01434880575604764	0.0
('amphibious', 'terrestrial')	0.011787598729871576	0.0
('analytic', 'synthetic')	0.012300987211191952	0.0
('anhydrous', 'hydrous')	-0.01382013024324262	0.0
('animate', 'inanimate')	0.010970481084927968	0.0
('annual', 'biennial')	-0.018455757233813097	0.0
('annual', 'perennial')	-0.02389618083730573	0.0
('anticlinal', 'synclinal')	-0.008288314511327851	0.0
('appointive', 'elective')	0.013919715511232736	0.0
('aqueous', 'igneous')	-0.014215873052538446	0.0
('arbitrary', 'nonarbitrary')	-0.02040783157540091	0.0
('attributable', 'unattributable')	-0.025191751198261808	0.0
('atypical', 'typical')	0.01253019128757396	0.0
('awkward', 'graceful')	-0.023703166903636316	0.0
('benign', 'malign')	-0.011342601492964219	0.0
('beseeching', 'imperative')	0.014550639279944266	0.0
('bisexual', 'homosexual')	0.011749174822625184	0.0
('breakable', 'unbreakable')	-0.023964955504109996	0.0
('broad-minded', 'narrow-minded')	0.015102723557332928	0.0
('burdened', 'unburdened')	-0.026444733773757473	0.0
('buttoned', 'unbuttoned')	-0.013336096638750402	0.0
('censored', 'uncensored')	-0.013738375184553637	0.0
('centralizing', 'decentralizing')	-0.011576905743529528	0.0
('centrifugal', 'centripetal')	-0.011015592707618663	0.0
('changeable', 'unchangeable')	-0.010877401350454556	0.0
('cheap', 'expensive')	0.03341131327569029	0.0
('cheerful', 'depressing')	0.03882220232279268	0.0
('collateral', 'lineal')	-0.016566158709324222	0.0
('comparable', 'incomparable')	-0.056932007633386204	0.0
('compliant', 'defiant')	-0.0195456774181089	0.0
('compromising', 'uncompromising')	-0.028000594916125728	0.0
('conductive', 'nonconductive')	-0.014953215756370486	0.0
('conformist', 'nonconformist')	-0.02010611482884741	0.0
('conservative', 'liberal')	-0.013495733392120962	0.0
