axis	diff_a_b	p
('able', 'unable')	-0.02369547896230742	0.0
('absent', 'present')	0.014740774245154672	0.0
('absorbent', 'nonabsorbent')	-0.013754057821843968	0.0
('accentual', 'quantitative')	0.01606138622594641	0.0
('acceptable', 'unacceptable')	-0.0289980069927587	0.0
('acceptive', 'rejective')	-0.0048537294407862315	0.0
('accessible', 'inaccessible')	-0.028631398389561358	0.0
('accommodating', 'unaccommodating')	-0.02190383123805084	0.0
('accurate', 'inaccurate')	-0.02830717461890063	0.0
('active', 'dormant')	-0.01733266753864282	0.0
('active', 'inactive')	-0.015506245272142241	0.0
('acute', 'obtuse')	-0.010709478134259542	0.0
('adaptable', 'unadaptable')	-0.022580786072705028	0.0
('adaptive', 'maladaptive')	-0.015564261495527976	0.0
('additive', 'subtractive')	-0.021085006616734056	0.0
('adequate', 'inadequate')	-0.032535041620081515	0.0
('adjusted', 'maladjusted')	-0.01937484416552876	0.0
('admissible', 'inadmissible')	-0.022726292445324786	0.0
('adoptive', 'biological')	0.023277133587161887	0.0
('adroit', 'maladroit')	-0.019679622847313102	0.0
('advantageous', 'disadvantageous')	-0.02210832727039161	0.0
('advisable', 'inadvisable')	-0.01870004393580782	0.0
('afferent', 'efferent')	-0.008347381891854556	0.0
('afloat', 'aground')	-0.014346214327632875	0.0
('agreeable', 'disagreeable')	-0.03406254853989589	0.0
('alkaline', 'amphoteric')	-0.01663124211299946	0.0
('allopathic', 'homeopathic')	0.011859477728386025	0.0
('alternating', 'direct')	0.019395983454759264	0.0
('altruistic', 'egoistic')	-0.010712004813364748	0.0
('amphibious', 'aquatic')	0.008882335059047411	0.0
('amphibious', 'terrestrial')	0.006502911484590895	0.0
('anabolic', 'catabolic')	-0.016440239330812262	0.0
('analogue', 'digital')	0.010386825998135035	0.0
('analytic', 'synthetic')	0.008893738311580544	0.0
('anaphrodisiac', 'aphrodisiac')	0.013793256946334681	0.0
('annual', 'biennial')	-0.015379041897026546	0.0
('antagonistic', 'synergistic')	0.033502819529537035	0.0
