axis	diff_a_b	p
('abridged', 'unabridged')	-0.016243617861888514	0.0
('abused', 'unabused')	-0.03436728743358694	0.0
('accentual', 'syllabic')	0.008125655654931736	0.0
('accordant', 'discordant')	0.01594005170335433	0.0
('actinomorphic', 'zygomorphic')	0.008821669365282827	0.0
('acute', 'chronic')	0.008888127495140973	0.0
('acyclic', 'cyclic')	0.008381644002349267	0.0
('addressed', 'unaddressed')	-0.016114264746168144	0.0
('adjective', 'substantive')	0.014060802705834576	0.0
('adjusted', 'unadjusted')	-0.015158265050332131	0.0
('affected', 'unaffected')	-0.024937666497453242	0.0
('afferent', 'efferent')	-0.005890800927878727	0.0
('afraid', 'unafraid')	-0.02502764425043716	0.0
('aggressive', 'unaggressive')	-0.01871751097324062	0.0
('agitated', 'unagitated')	-0.03676289647897846	0.0
('agnostic', 'gnostic')	-0.01697854792255306	0.0
('air-to-surface', 'surface-to-air')	0.008291134042045012	0.0
('alcoholic', 'nonalcoholic')	-0.026050331053750236	0.0
('aligned', 'nonaligned')	-0.011112644201081656	0.0
('alive', 'dead')	0.027244853575654	0.0
('all', 'no')	0.018326293633204496	0.0
('altered', 'unaltered')	-0.023647619818640137	0.0
('ambidextrous', 'left-handed')	0.013821445899081353	0.0
('ambidextrous', 'right-handed')	0.014432852366795701	0.0
('ambiguous', 'unambiguous')	-0.010573267115043125	0.0
('amended', 'unamended')	-0.017307257585235755	0.0
('amicable', 'hostile')	0.03043272925242828	0.0
('amphibious', 'terrestrial')	0.00657099157138339	0.0
('analogous', 'homologous')	-0.0070872349019807795	0.0
('analyzed', 'unanalyzed')	-0.013441452106959823	0.0
('anhydrous', 'hydrous')	-0.008291774903692053	0.0
('animate', 'inanimate')	0.011285116801849121	0.0
('antagonistic', 'synergistic')	-0.03580037496549362	0.0
('antecedent', 'subsequent')	0.02182209589421094	0.0
('antemortem', 'postmortem')	0.01458121844306727	0.0
('anterograde', 'retrograde')	0.010928628896193532	0.0
('anti-American', 'pro-American')	-0.019781584852971712	0.0
('antiseptic', 'septic')	0.010537084773352417	0.0
('aperiodic', 'periodic')	0.010473105536901034	0.0
('apologetic', 'unapologetic')	-0.025715611572115646	0.0
('appealable', 'unappealable')	-0.0067349845262867775	0.0
('applied', 'theoretical')	-0.00797665950059221	0.0
('appointive', 'elective')	0.010939195450149083	0.0
('aqueous', 'igneous')	-0.01117215017820819	0.0
('arbitrary', 'nonarbitrary')	-0.02091874257442114	0.0
('arenaceous', 'argillaceous')	0.012496510754478437	0.0
('armed', 'armless')	-0.015532468457596732	0.0
('armored', 'unarmored')	-0.009468071299166825	0.0
('ashamed', 'unashamed')	-0.03326462652747164	0.0
('asleep', 'awake')	-0.011527651904802389	0.0
('assigned', 'unassigned')	-0.016063890151706478	0.0
('atrophied', 'hypertrophied')	-0.009610870864285567	0.0
('attached', 'detached')	-0.012932746912276888	0.0
('attributable', 'unattributable')	-0.013318339816457858	0.0
('autotrophic', 'heterotrophic')	0.004691502119312463	0.0
('autumnal', 'wintry')	0.017873000890432783	0.0
('avirulent', 'virulent')	0.018909793181826617	0.0
('awakened', 'unawakened')	-0.022304798150867444	0.0
('away', 'home')	-0.026900176614376145	0.0
('awkward', 'graceful')	-0.03822376127751213	0.0
('backed', 'backless')	-0.019729891561341764	0.0
('best', 'worst')	0.05933515121484776	0.0
('bettering', 'worsening')	0.029691846597626425	0.0
('big', 'little')	0.011745412225864602	0.0
('biped', 'quadruped')	-0.013221931663869072	0.0
