axis	diff_a_b	p
('able', 'unable')	-0.016746209923478556	0.0
('absent', 'present')	0.0165359468135267	0.0
('abundant', 'scarce')	-0.018774290798217824	0.0
('acceptable', 'unacceptable')	-0.011418638168014708	0.0
('acceptive', 'rejective')	-0.010376854001273703	0.0
('accessible', 'inaccessible')	-0.032469699183346704	0.0
('accommodating', 'unaccommodating')	-0.03146120197429739	0.0
('accompanied', 'unaccompanied')	-0.012017223546347058	0.0
('accurate', 'inaccurate')	-0.03281377141289349	0.0
('accusatorial', 'inquisitorial')	0.00777802071197356	0.0
('achromatic', 'chromatic')	0.008343053614876889	0.0
('acknowledged', 'unacknowledged')	-0.017974877131720607	0.0
('active', 'dormant')	-0.030906673649605296	0.0
('active', 'extinct')	-0.03157589973678235	0.0
('active', 'inactive')	-0.029050097718327866	0.0
('active', 'passive')	-0.012692694843194796	0.0
('active', 'stative')	-0.015502082940687056	0.0
('actual', 'potential')	0.01805596312621682	0.0
('acute', 'obtuse')	-0.015282465779932912	0.0
('adaptable', 'unadaptable')	-0.03553530445391606	0.0
('adaptive', 'maladaptive')	-0.018484917997523484	0.0
('additive', 'subtractive')	-0.008988190356444908	0.0
('addressed', 'unaddressed')	-0.02129493560146639	0.0
('adequate', 'inadequate')	-0.025833837798357448	0.0
('adjusted', 'unadjusted')	-0.01647535834831143	0.0
('admissible', 'inadmissible')	-0.013872861329641203	0.0
('adoptable', 'unadoptable')	-0.01899492203353184	0.0
('adopted', 'native')	0.007121953438264279	0.0
('adroit', 'maladroit')	-0.031052896700042423	0.0
('advantageous', 'disadvantageous')	-0.025900821671293567	0.0
('adventurous', 'unadventurous')	-0.013494806155713024	0.0
('advisable', 'inadvisable')	-0.01841070771527012	0.0
('aesthetic', 'inaesthetic')	-0.010538697413566361	0.0
('afloat', 'aground')	-0.014257970813102525	0.0
('agnostic', 'gnostic')	-0.013790247416181858	0.0
('agreeable', 'disagreeable')	-0.031138671997797185	0.0
('air-to-air', 'surface-to-air')	-0.011361928651500347	0.0
('airworthy', 'unairworthy')	-0.012597221590286908	0.0
('alike', 'unalike')	-0.01544603189396418	0.0
('alive', 'dead')	-0.021261629217745805	0.0
('all', 'no')	-0.012580411954465767	0.0
('allopathic', 'homeopathic')	0.007625835261120206	0.0
('allopatric', 'sympatric')	0.007895418487919817	0.0
('alternating', 'direct')	0.018613438822710895	0.0
('altruistic', 'egoistic')	-0.015200478651451813	0.0
('ambitious', 'unambitious')	-0.012861043534658667	0.0
('amphibious', 'aquatic')	0.012951834776255985	0.0
('ample', 'meager')	-0.031310250379010404	0.0
('analogue', 'digital')	0.01074714274574183	0.0
('angular', 'rounded')	0.007743566971828819	0.0
('anodic', 'cathodic')	0.004171756094597395	0.0
('antemeridian', 'postmeridian')	-0.004666483581870601	0.0
('anterior', 'posterior')	0.006803356079921684	0.0
('anticlimactic', 'climactic')	0.007356211672110237	0.0
('anticlinal', 'synclinal')	0.01024503474471015	0.0
('aperiodic', 'periodic')	0.009106645831715166	0.0
('apologetic', 'unapologetic')	-0.012325089644637237	0.0
('appealing', 'unappealing')	-0.027299873136936437	0.0
('appetizing', 'unappetizing')	-0.01906447254347908	0.0
('approachable', 'unapproachable')	-0.046918938470931704	0.0
('appropriate', 'inappropriate')	-0.01694089186620265	0.0
('aquatic', 'terrestrial')	-0.015186148219496168	0.0
('aqueous', 'igneous')	-0.008702800147891977	0.0
('arenaceous', 'argillaceous')	0.0054010402785053	0.0
('armed', 'unarmed')	-0.0063784667089390595	0.0
('arranged', 'disarranged')	-0.019498760308988117	0.0
('artful', 'artless')	-0.014149994117588188	0.0
('articulate', 'inarticulate')	-0.030771003385501677	0.0
('articulated', 'unarticulated')	-0.013798833965279853	0.0
('artificial', 'natural')	0.017787454529400767	0.0
('assertive', 'unassertive')	-0.017580338790713024	0.0
('assigned', 'unassigned')	-0.01355638132778339	0.0
('assisted', 'unassisted')	-0.028071890747419503	0.0
('asymmetrical', 'symmetrical')	0.005808345167945463	0.0
('atomistic', 'holistic')	0.02216226954567041	0.0
('atonal', 'tonal')	0.016027703198136192	0.0
('attentive', 'inattentive')	-0.05689404096122316	0.0
('attractive', 'repulsive')	-0.029616668276635755	0.0
('attractive', 'unattractive')	-0.03882788113996333	0.0
('attributive', 'predicative')	-0.008000550403023884	0.0
('audible', 'inaudible')	-0.012027016973428131	0.0
('auspicious', 'inauspicious')	-0.016158821407799173	0.0
('authorized', 'unauthorized')	-0.010253988458961638	0.0
('autogenous', 'heterogenous')	0.009388177782183618	0.0
('autumnal', 'summery')	0.006681276900392226	0.0
('available', 'unavailable')	-0.011721945162533262	0.0
('avascular', 'vascular')	0.012740936047150861	0.0
('aware', 'unaware')	-0.018090707941030376	0.0
('away', 'home')	0.014517777075395614	0.0
('awed', 'unawed')	-0.00912636924884469	0.0
('backed', 'backless')	-0.014723168048735996	0.0
('backhand', 'forehand')	-0.005936037014917497	0.0
('backward', 'forward')	0.018462671178633344	0.0
('bad', 'good')	0.04571917676041554	0.0
('balanced', 'unbalanced')	-0.032331632689077905	0.0
