axis	diff_a_b	p
('loud', 'soft')	0.007406650117075794	0.0
('back', 'front')	0.006639577013890081	0.0
('curved', 'straight')	0.004539365861556885	0.0
('noisy', 'quiet')	0.004410457847465323	0.0
('sanitary', 'unsanitary')	0.00402868343541062	0.0
('prepared', 'unprepared')	0.0038023856182098515	0.0
('insecure', 'secure')	0.003801999509753967	0.001
('necessary', 'unnecessary')	0.003435564541244069	0.003
('matched', 'mismatched')	0.003417449313554281	0.0
('natural', 'unnatural')	0.0033934453797852017	0.003
('even', 'uneven')	0.0033129997168401537	0.001
('comfortable', 'uncomfortable')	0.0031523043981517493	0.006
('little', 'much')	0.0030785059090462676	0.002
('active', 'quiet')	0.002820815981464343	0.002
('attractive', 'unattractive')	0.0028051007817744486	0.022
('disorienting', 'orienting')	0.002796189175128521	0.0
('horizontal', 'inclined')	0.0027852733535725597	0.0
('new', 'worn')	0.0027684854889031083	0.0
('cacophonous', 'euphonious')	0.0027446241199155464	0.0
('disorganized', 'organized')	0.0027152484602571674	0.009
('legato', 'staccato')	0.0027065023385791924	0.0
('inclined', 'vertical')	0.002692300278068379	0.0
('dangerous', 'safe')	0.0026865761066412978	0.0
('cooperative', 'uncooperative')	0.0025674722770881384	0.003
('fresh', 'stale')	0.002559774898638357	0.013
('equal', 'unequal')	0.002510838929925343	0.002
('appropriate', 'inappropriate')	0.002460365810140551	0.011
('glad', 'sad')	0.00243317447127008	0.001
('dull', 'sharp')	0.0023306908311433224	0.0
('right', 'wrong')	0.0023154303724566994	0.012
('irreversible', 'reversible')	0.002261792938008568	0.0
('forgiving', 'unforgiving')	0.0022616051698534792	0.0
('irresponsible', 'responsible')	0.0022359385365846446	0.006
('profane', 'sacred')	0.002227783969130144	0.004
('original', 'unoriginal')	0.0022114612604244525	0.048
('focused', 'unfocused')	0.0021633326280875373	0.049
('dark', 'light')	0.00214622563523213	0.0
('impossible', 'possible')	0.0021361564851091093	0.004
('healthy', 'unhealthy')	0.0021351051103527165	0.01
('short', 'tall')	0.0021326562529641784	0.0
('impersonal', 'personal')	0.0021244570749597274	0.01
('unwelcome', 'welcome')	0.002106080082399816	0.016
('narrow', 'wide')	0.0020829244921485874	0.0
('finished', 'unfinished')	0.002038547969479611	0.002
('convenient', 'inconvenient')	0.002020106371773668	0.044
('empty', 'full')	0.002014607965496606	0.003
('clean', 'dirty')	0.0020044606536420585	0.012
('early', 'middle')	0.0020026869119669447	0.001
('pointed', 'pointless')	0.0019915639692734428	0.013
('involuntary', 'voluntary')	0.0019908955720054876	0.0
('aft', 'fore')	0.001981190055900959	0.0
('disordered', 'ordered')	0.001961244276990029	0.008
('patterned', 'plain')	0.0019568170001480895	0.0
('instrumental', 'vocal')	0.0019038158319464988	0.0
('dejected', 'elated')	0.0018994348574908164	0.0
('edible', 'inedible')	0.0018904386107289279	0.007
('obligatory', 'optional')	0.0018892008240970915	0.001
('disreputable', 'reputable')	0.0018858503517178906	0.03
('bright', 'dull')	0.0018847600238094085	0.011
('cold', 'hot')	0.0018770385707794508	0.035
('close', 'distant')	0.0018584186596218785	0.001
('sheathed', 'unsheathed')	0.0018577545274672102	0.0
('tasteful', 'tasteless')	0.0018460993932354116	0.042
('adequate', 'inadequate')	0.0018194915032378137	0.026
('large', 'small')	0.0018066884595594928	0.0
('leaded', 'unleaded')	0.001777658538249024	0.0
('angular', 'rounded')	0.001764441012441307	0.0
('irregular', 'regular')	0.001732501348309299	0.002
('numerical', 'verbal')	0.0016773111408139021	0.0
('awkward', 'graceful')	0.001666717481398964	0.025
('disproportionate', 'proportionate')	0.0016638837622428206	0.0
('restful', 'restless')	0.0016510422255933193	0.004
('illogical', 'logical')	0.001644353678600951	0.028
('naive', 'sophisticated')	0.0016440068283542757	0.041
('congruent', 'incongruent')	0.0016284325517539116	0.006
('geographic', 'magnetic')	0.0016269634398953614	0.0
('fair', 'unfair')	0.0016147391473056525	0.024
('tidy', 'untidy')	0.001613786101478866	0.024
('late', 'middle')	0.0016136272728920738	0.023
('dull', 'lively')	0.0016082662634392016	0.035
('heavy', 'light')	0.0016067998028479386	0.0
('coherent', 'incoherent')	0.0015985787260130394	0.022
('overhead', 'surface')	0.0015827637210730737	0.001
('agreeable', 'disagreeable')	0.0015682870029928731	0.02
('stable', 'unstable')	0.001549302183106678	0.028
('considerate', 'inconsiderate')	0.0015211187569785407	0.05
('abstract', 'concrete')	0.0015159870921918409	0.0
('immature', 'mature')	0.001508841213253979	0.028
('busy', 'idle')	0.001503894724718428	0.012
('open', 'shut')	0.0014895106027320078	0.019
('contemptible', 'estimable')	0.0014791450819228351	0.017
('private', 'public')	0.0014429737348295515	0.001
('fair', 'foul')	0.001425561489498411	0.001
('shaven', 'unshaven')	0.0014165172020772139	0.0
('big', 'little')	0.0014060928599788376	0.041
('formal', 'informal')	0.001402276495026042	0.0
('inopportune', 'opportune')	0.0013939363651446473	0.011
('malnourished', 'nourished')	0.00139278375850519	0.001
('backward', 'forward')	0.0013889083075740369	0.018
('running', 'standing')	0.0013821555520783868	0.011
('flat', 'sharp')	0.0013805282391650252	0.0
('inside', 'outside')	0.0013783371727446453	0.009
('round', 'square')	0.001375064386659795	0.006
('confined', 'invasive')	0.0013710263920314507	0.0
('frail', 'robust')	0.001368350293134396	0.033
('spineless', 'spinous')	0.0013643072775190845	0.0
('unwanted', 'wanted')	0.0013556104143751576	0.031
('first', 'second')	0.0013390748918253583	0.004
('rested', 'tired')	0.0012965337735326623	0.044
('spoken', 'written')	0.0012896639120500708	0.011
('joint', 'separate')	0.0012883090803055865	0.047
('unveiled', 'veiled')	0.0012876984567890756	0.009
('invalid', 'valid')	0.0012754445727854577	0.006
('integrated', 'segregated')	0.0012735886423195482	0.006
('translatable', 'untranslatable')	0.0012716930102250916	0.0
('humane', 'inhumane')	0.0012705334515618876	0.047
('supervised', 'unsupervised')	0.0012702606890860127	0.008
('gabled', 'hipped')	0.0012684657327936139	0.0
('obtrusive', 'unobtrusive')	0.0012681693954047155	0.035
('antagonistic', 'synergistic')	0.0012594785702561822	0.038
('oblique', 'perpendicular')	0.0012494819876664415	0.0
('moving', 'still')	0.0012477796048822893	0.037
('intemperate', 'temperate')	0.0012149609486580568	0.031
('lax', 'tense')	0.0011824313833176583	0.005
('dead', 'live')	0.0011651313199027378	0.05
('bottom', 'top')	0.0011646984384198955	0.032
('buttoned', 'unbuttoned')	0.0011635540710606988	0.001
('fallible', 'infallible')	0.0011500627037991516	0.0
('compliant', 'defiant')	0.0011462808401904757	0.021
('irreplaceable', 'replaceable')	0.0011456338619546865	0.006
('toothed', 'toothless')	0.0011152572625589396	0.001
('bare', 'covered')	0.0011119254687116074	0.003
('one-piece', 'three-piece')	0.0010964795262182734	0.001
('neutral', 'positive')	0.0010897928456435717	0.003
('fastened', 'unfastened')	0.0010812569615419937	0.024
('familiar', 'unfamiliar')	0.0010651827682819671	0.03
('lossless', 'lossy')	0.0010447039958010203	0.001
('midi', 'mini')	0.0010433349733279685	0.014
('alive', 'dead')	0.001023601235279059	0.014
('flat', 'natural')	0.0010154366588698074	0.007
('active', 'passive')	0.0010105268361015772	0.018
('defensive', 'offensive')	0.0010101643017999917	0.004
('objective', 'subjective')	0.001008652362259995	0.014
('cosmopolitan', 'endemic')	0.0010067332095885688	0.033
('publicized', 'suppressed')	0.0010057445654692771	0.001
('down', 'up')	0.0009805838279019477	0.008
('moonless', 'moonlit')	0.0009470195822847086	0.008
('wired', 'wireless')	0.0009468928974611691	0.01
('accordant', 'discordant')	0.0009466328369046413	0.003
('deductive', 'inductive')	0.0009442678740885493	0.0
('natural', 'sharp')	0.00093779297277232	0.007
('applied', 'theoretical')	0.0009211095721716545	0.004
('atonal', 'tonal')	0.0009118188235262507	0.048
('inoperable', 'operable')	0.0008807058070758062	0.021
('consecrated', 'desecrated')	0.0008786898253966644	0.016
('binucleate', 'mononuclear')	0.000873613623534102	0.007
('innocuous', 'noxious')	0.0008660658654098333	0.006
('fat', 'thin')	0.0008658827121770926	0.028
('fingered', 'fingerless')	0.0008626117780685294	0.01
('marked', 'unmarked')	0.0008444454796480436	0.028
('keyed', 'keyless')	0.0008365836928597142	0.0
('merciful', 'merciless')	0.0008295469759863885	0.015
('distal', 'mesial')	0.0008277239862029004	0.04
('published', 'unpublished')	0.0008256355537985599	0.034
('authorized', 'unauthorized')	0.00081726201985263	0.021
('asynchronous', 'synchronous')	0.0008140472947560824	0.0
('radiolucent', 'radiopaque')	0.000809306070503087	0.0
('insured', 'uninsured')	0.000762541492034649	0.002
('gradual', 'steep')	0.0007590783200823485	0.015
('loose', 'tight')	0.0007573421037796106	0.031
('major', 'minor')	0.0007469221577891261	0.033
('intensifying', 'moderating')	0.0007077714192596689	0.004
('taciturn', 'voluble')	0.0007026057636456331	0.003
('negative', 'neutral')	0.0006948507193608377	0.046
('irreverent', 'reverent')	0.0006845682970667935	0.025
('maxi', 'midi')	0.00067407178328921	0.014
('improvident', 'provident')	0.0006725593845240611	0.025
('divisible', 'indivisible')	0.0006670489701841417	0.014
('black', 'white')	0.0006649059619655224	0.016
('lentic', 'lotic')	0.0006390234529772543	0.0
('vernal', 'wintry')	0.0006322499941816503	0.019
('centrifugal', 'centripetal')	0.0006125918415882852	0.047
('adnate', 'connate')	0.0006098890301590833	0.0
('multilateral', 'unilateral')	0.0006004111112773861	0.001
('crosswise', 'lengthwise')	0.0005932993584140877	0.036
('intransitive', 'transitive')	0.0005847010124203976	0.015
