axis	diff_a_b	p
('active', 'quiet')	0.005480286457414902	0.0
('tasteful', 'tasteless')	0.005319700787192931	0.0
('beautiful', 'ugly')	0.0042465774403541556	0.0
('restful', 'restless')	0.003963848559619445	0.0
('pleasant', 'unpleasant')	0.0037543443040281843	0.0
('feminine', 'neuter')	0.0033299693650383246	0.0
('irreversible', 'reversible')	0.0031741909594111663	0.0
('comfortable', 'uncomfortable')	0.0030571546963094037	0.0
('debilitating', 'invigorating')	0.0030344475121205066	0.0
('hurried', 'unhurried')	0.0030036004353884167	0.0
('relaxed', 'tense')	0.0029141844086822064	0.0
('attached', 'detached')	0.002710334786078042	0.0
('cosmopolitan', 'endemic')	0.0026854702114596472	0.0
('incoming', 'outgoing')	0.0025626196067032826	0.0
('rural', 'urban')	0.0025043570600190085	0.0
('masculine', 'neuter')	0.002494736969973041	0.0
('cool', 'warm')	0.0024502106162894114	0.0
('awkward', 'graceful')	0.0024190460717076617	0.0
('private', 'public')	0.0023797025101060763	0.0
('elegant', 'inelegant')	0.0022898576745413787	0.001
('summery', 'vernal')	0.002239782536044097	0.0
('naive', 'sophisticated')	0.0022245877917031545	0.0
('nasty', 'nice')	0.0022090051882999763	0.006
('patterned', 'plain')	0.00218429009890386	0.0
('curved', 'straight')	0.002157062853082054	0.0
('cosmopolitan', 'provincial')	0.002111319307089155	0.0
('sparkling', 'still')	0.002050017353717702	0.006
('negative', 'neutral')	0.001991555764553541	0.0
('leaded', 'unleaded')	0.001964390349262055	0.0
('noisy', 'quiet')	0.0019572788844664443	0.0
('pretentious', 'unpretentious')	0.0019088515962617514	0.0
('contaminated', 'uncontaminated')	0.001891888132284976	0.0
('obstructed', 'unobstructed')	0.0018537659951957915	0.0
('clean', 'dirty')	0.0018078624964336446	0.0
('gabled', 'hipped')	0.0018051301536497694	0.0
('figurative', 'literal')	0.0017895588842024223	0.0
('round', 'square')	0.001763858855243836	0.0
('dry', 'sweet')	0.0017568681130919767	0.002
('cheerful', 'depressing')	0.001735210818503332	0.002
('moonless', 'moonlit')	0.001725272690569356	0.0
('hateful', 'lovable')	0.0017156798576927592	0.0
('flattering', 'unflattering')	0.0016915853807821356	0.0
('out', 'safe')	0.0016656181480270722	0.001
('disenchanted', 'enchanted')	0.001639453193219115	0.0
('induced', 'spontaneous')	0.0015886523410427126	0.0
('hardened', 'soft')	0.0015649538961842596	0.0
('gaseous', 'liquid')	0.0015551056050151068	0.0
('maxi', 'midi')	0.001508201690842247	0.0
('hospitable', 'inhospitable')	0.0015062169166512145	0.012
('armed', 'armless')	0.0014912552056645847	0.002
('lax', 'tense')	0.0014856653228126331	0.0
('friendly', 'hostile')	0.001484732889055089	0.012
('center', 'right')	0.0014764249944658903	0.003
('sour', 'sweet')	0.0014518119937413018	0.013
('colorful', 'colorless')	0.0014285653937094345	0.001
('inhibited', 'uninhibited')	0.0014214752911362576	0.0
('short', 'tall')	0.0014211147376800605	0.0
('comparable', 'incomparable')	0.0014198774419216017	0.032
('black', 'white')	0.0014171853366201402	0.0
('gaseous', 'solid')	0.0014125594974880081	0.004
('off-street', 'on-street')	0.0014106141044759276	0.0
('credible', 'incredible')	0.0013993127615768725	0.038
('malnourished', 'nourished')	0.0013962324710134755	0.0
('abundant', 'scarce')	0.0013826704234460568	0.0
('abstract', 'concrete')	0.001368076313352048	0.0
('autumnal', 'summery')	0.0013599278084392551	0.0
('coastal', 'inland')	0.0013586679813846246	0.0
('ample', 'meager')	0.001356291698641078	0.001
('monolingual', 'multilingual')	0.001350364760792931	0.0
('complex', 'simple')	0.001344839351675205	0.0
('imperishable', 'perishable')	0.001322258464593975	0.0
('permissive', 'preventive')	0.0012975441127903832	0.0
('imperfect', 'perfect')	0.0012817217781344523	0.026
('irreverent', 'reverent')	0.0012336505496738453	0.0
('midi', 'mini')	0.0012213952839831956	0.0
('counterfeit', 'genuine')	0.0012036792946110882	0.001
('indoor', 'outdoor')	0.0012036057485371558	0.0
('smokeless', 'smoky')	0.001185693504940237	0.0
('inferior', 'superior')	0.0011840544614187092	0.04
('conventional', 'unconventional')	0.0011802067601938276	0.002
('heavy', 'light')	0.0011742430614852138	0.0
('dangerous', 'safe')	0.001156411022301131	0.008
('back', 'front')	0.001156088314643585	0.008
('judgmental', 'nonjudgmental')	0.0011477324025706897	0.0
('center', 'left')	0.001145896181845166	0.004
('fashionable', 'unfashionable')	0.0011417434222176313	0.035
('cold', 'hot')	0.001123289547074872	0.034
('one-piece', 'three-piece')	0.001123067056814977	0.0
('evil', 'good')	0.0011201564330611813	0.034
('calm', 'stormy')	0.0011145177822596327	0.003
('touched', 'untouched')	0.0010870845181047998	0.0
('maxi', 'mini')	0.001074224429151548	0.001
('hungry', 'thirsty')	0.0010598411903920031	0.006
('wired', 'wireless')	0.0010416343099903247	0.0
('easy', 'uneasy')	0.0010394988957016394	0.035
('fat', 'thin')	0.0010369824317372186	0.0
('dark', 'light')	0.0010357079888799617	0.0
('leaky', 'tight')	0.0010227180126202023	0.002
('compound', 'simple')	0.0010175523903685046	0.001
('guilty', 'innocent')	0.0010168681526211351	0.0
('coldhearted', 'warmhearted')	0.0010167100718561787	0.0
('away', 'home')	0.0010141742269180031	0.012
('neutral', 'positive')	0.0010106122400073388	0.0
('sheathed', 'unsheathed')	0.0010088924849971474	0.0
('concentrated', 'distributed')	0.0010050496065795072	0.0
('three-piece', 'two-piece')	0.001004281806560411	0.0
('high-rise', 'low-rise')	0.0010006421627879085	0.0
('immobile', 'mobile')	0.0009904146968070411	0.028
('bold', 'timid')	0.0009878427243640428	0.007
('colourful', 'colourless')	0.0009852491583973548	0.013
('compact', 'loose')	0.0009756995348817153	0.007
('aerobic', 'anaerobic')	0.0009755716972437299	0.0
('alive', 'dead')	0.0009662551945062445	0.0
('formal', 'informal')	0.0009511523925923079	0.0
('virtuous', 'wicked')	0.0009382857104796123	0.007
('fingered', 'fingerless')	0.0008928264729477719	0.0
('destructible', 'indestructible')	0.0008870279904420676	0.0
('desirable', 'undesirable')	0.0008703142916213803	0.031
('normal', 'paranormal')	0.0008565252985595299	0.0
('illiterate', 'literate')	0.0008542498867271575	0.01
('large', 'small')	0.0008540853263718602	0.001
('backed', 'backless')	0.0008487769912411732	0.021
('conditional', 'unconditional')	0.0008350265801434246	0.008
('amphibious', 'aquatic')	0.0008257652036221291	0.0
('inside', 'outside')	0.0008160151851319885	0.003
('intolerant', 'tolerant')	0.0008096050991802913	0.0
('aquatic', 'terrestrial')	0.0008090169338727899	0.0
('aft', 'fore')	0.0007985999078558093	0.0
('forgiving', 'unforgiving')	0.0007935852056153376	0.0
('likely', 'unlikely')	0.0007864645617399347	0.037
('prospective', 'retrospective')	0.0007692804990504579	0.003
('vernal', 'wintry')	0.0007581619285665473	0.0
('feminine', 'masculine')	0.0007573661723717993	0.0
('geographic', 'magnetic')	0.0007435987765326045	0.0
('improbable', 'probable')	0.0007385371390225791	0.04
('leavened', 'unleavened')	0.0007203379133309184	0.0
('maximum', 'minimum')	0.00071650115799429	0.0
('flat', 'sharp')	0.000716013495559855	0.0
('conspicuous', 'inconspicuous')	0.0006780415490538205	0.004
('angular', 'rounded')	0.0006694943559758882	0.002
('east', 'west')	0.0006660206948045006	0.002
('innocuous', 'noxious')	0.0006498029725565046	0.0
('dysgenic', 'eugenic')	0.0006445501865311783	0.0
('immutable', 'mutable')	0.0006387788066986428	0.0
('artful', 'artless')	0.0006374246721998385	0.032
('heavy-footed', 'light-footed')	0.0006310733442390949	0.0
('amphibious', 'terrestrial')	0.0006151483223625302	0.0
('natural', 'supernatural')	0.0006140999432309984	0.015
('absorbable', 'adsorbable')	0.0006086799117061238	0.007
('fertile', 'sterile')	0.0006043558454795666	0.002
('custom-made', 'ready-made')	0.0005841613165775469	0.005
('invisible', 'visible')	0.0005832965440138414	0.012
('hardhearted', 'softhearted')	0.0005814765217427046	0.0
('changeable', 'unchangeable')	0.0005769821650514076	0.002
('lower-class', 'upper-class')	0.0005620854404305539	0.003
('compliant', 'defiant')	0.0005619283266129543	0.029
('asynchronous', 'synchronous')	0.0005533078122293639	0.0
('acute', 'chronic')	0.0005528518828793183	0.001
('domineering', 'submissive')	0.0005475441665220675	0.013
('intermediate', 'terminal')	0.0005474605011418863	0.003
('seasonal', 'year-round')	0.0005423667768437827	0.007
('forte', 'piano')	0.0005400975961279619	0.036
('eastern', 'western')	0.0005326264508678626	0.001
('double', 'single')	0.0005296242316160191	0.005
('alternate', 'opposite')	0.0005276538247292297	0.016
('asymmetrical', 'symmetrical')	0.0005258941594778583	0.0
('abaxial', 'adaxial')	0.0004974604611238309	0.0
('illegible', 'legible')	0.0004912255553912587	0.042
('anodic', 'cathodic')	0.0004795144942264561	0.0
('amicable', 'hostile')	0.0004779406147667267	0.023
('harmful', 'harmless')	0.00047629816608601994	0.014
('merciful', 'merciless')	0.0004387726581928583	0.019
('qualitative', 'quantitative')	0.0004374454915585025	0.009
('applied', 'theoretical')	0.00043664327723521093	0.01
('subscript', 'superscript')	0.00043028573902080276	0.0
('domestic', 'foreign')	0.00041280550105882814	0.004
('expressible', 'inexpressible')	0.00040449533373789013	0.049
('postwar', 'prewar')	0.00039877741051711456	0.006
('connotative', 'denotative')	0.0003978740709701255	0.001
('bidirectional', 'unidirectional')	0.00039707612180828276	0.0
('attributive', 'predicative')	0.0003887839888552184	0.0
('concave', 'convex')	0.0003741759493358647	0.007
('covert', 'overt')	0.00037027274548601455	0.029
('analytic', 'synthetic')	0.00036923130464095073	0.02
('algorithmic', 'heuristic')	0.0003682909183324026	0.0
('endergonic', 'exergonic')	0.00036822281991069454	0.0
('backhand', 'forehand')	0.00036784693370969595	0.0
('monovalent', 'polyvalent')	0.0003645939814943297	0.006
('herbivorous', 'omnivorous')	0.0003502991738224986	0.001
('gradual', 'steep')	0.00034991817960835104	0.041
('divisible', 'indivisible')	0.00034232231684838037	0.033
('inward', 'outward')	0.0003396081595713153	0.003
('hypertensive', 'hypotensive')	0.0003346290559264899	0.015
('interspecies', 'intraspecies')	0.0003302522397636686	0.047
('benign', 'malignant')	0.0003277123655247116	0.037
('pronounceable', 'unpronounceable')	0.0003223042193584032	0.031
('taciturn', 'voluble')	0.0003213478737406198	0.006
('one-piece', 'two-piece')	0.00029639123208478717	0.009
('monogamous', 'polygamous')	0.00029187122459940805	0.019
('sleeved', 'sleeveless')	0.0002816427735607514	0.011
('multinucleate', 'uninucleate')	0.00027359097377383694	0.004
('conjunctive', 'disjunctive')	0.0002727732714303331	0.005
('myelinated', 'unmyelinated')	0.0002568765359637075	0.007
('dystopian', 'utopian')	0.00024428885694424435	0.028
('horizontal', 'vertical')	0.00024074443095911755	0.045
('contralateral', 'ipsilateral')	0.00024049087263039795	0.018
('afferent', 'efferent')	0.00023894678736230543	0.02
('international', 'national')	0.00023841719323756299	0.049
('left-handed', 'right-handed')	0.00023310929526620646	0.021
('mesic', 'xeric')	0.0002320714759603622	0.005
('extinguishable', 'inextinguishable')	0.0002194273165002634	0.025
('monotheistic', 'polytheistic')	0.00021485420338908465	0.046
('bicameral', 'unicameral')	0.00020385630636878633	0.023
('nonsuppurative', 'suppurative')	0.00019701458000871567	0.047
('shockable', 'unshockable')	0.00019037284724832278	0.013
('perinatal', 'postnatal')	0.00017941318306084622	0.022
('anionic', 'cationic')	0.00017662037100305136	0.016
('hydric', 'mesic')	0.0001737573325319413	0.032
('lentic', 'lotic')	0.0001681405895254701	0.014
('dicotyledonous', 'monocotyledonous')	0.00014252592269717486	0.029
('endogenic', 'exogenic')	0.00013905324050477287	0.036
('ectomorphic', 'endomorphic')	0.00013865216995803393	0.018
