axis	diff_a_b	p
('go', 'no-go')	0.005542574207074682	0.0
('excited', 'unexcited')	0.0039213479094674306	0.0
('surprised', 'unsurprised')	0.003912950791181546	0.0
('evitable', 'inevitable')	0.0036511911072138886	0.0
('ready', 'unready')	0.003389959474931259	0.0
('moved', 'unmoved')	0.0033869793126588	0.0
('sensational', 'unsensational')	0.0033676924678520646	0.0
('obvious', 'unobvious')	0.003300864402902358	0.001
('convinced', 'unconvinced')	0.0031624607358255105	0.0
('handed', 'handless')	0.003096701454229949	0.0
('surprising', 'unsurprising')	0.003082790476597916	0.0
('irresistible', 'resistible')	0.0030463802388810118	0.0
('nonsignificant', 'significant')	0.0029943401243550417	0.0
('dry', 'phlegmy')	0.002958872169560905	0.0
('headed', 'unheaded')	0.0029404320384031728	0.0
('ironed', 'unironed')	0.0028347047513544773	0.0
('exact', 'inexact')	0.002824563615681286	0.0
('nonrandom', 'random')	0.0027417253109004343	0.0
('cleared', 'uncleared')	0.0026661133997148596	0.0
('disposable', 'nondisposable')	0.002610266924639809	0.0
('addictive', 'nonaddictive')	0.0025780063263894457	0.0
('explosive', 'nonexplosive')	0.0025385616109657866	0.0
('assigned', 'unassigned')	0.0024984275869075704	0.0
('tipped', 'untipped')	0.00244843048233654	0.0
('unwieldy', 'wieldy')	0.0024173793704392894	0.0
('curious', 'incurious')	0.002408404215867164	0.0
('adventurous', 'unadventurous')	0.002393063240212259	0.0
('glorious', 'inglorious')	0.0023836173396094684	0.0
('loved', 'unloved')	0.0023689627583161517	0.0
('anonymous', 'onymous')	0.0023343022346514718	0.003
('provocative', 'unprovocative')	0.0022712547092382934	0.001
('packaged', 'unpackaged')	0.002258593186364753	0.0
('melted', 'unmelted')	0.0022271407193404247	0.0
('like', 'unlike')	0.002227046802781676	0.0
('confident', 'diffident')	0.0022228966790610455	0.0
('erect', 'unerect')	0.0021844404402619807	0.0
('fictional', 'nonfictional')	0.002166204074359003	0.0
('influential', 'uninfluential')	0.002123356203882199	0.002
('shared', 'unshared')	0.002122549408267841	0.0
('nonpregnant', 'pregnant')	0.0021019159300812995	0.0
('insurmountable', 'surmountable')	0.0021004278842363285	0.0
('cut', 'uncut')	0.002083866084085303	0.0
('thinkable', 'unthinkable')	0.002075195602289316	0.0
('stuck', 'unstuck')	0.0020631434616253334	0.001
('back', 'front')	0.0020233280916424207	0.0
('planted', 'unplanted')	0.0020034045042789835	0.0
('arranged', 'disarranged')	0.002001064992379755	0.001
('potted', 'unpotted')	0.0019961801069073703	0.0
('clearheaded', 'confused')	0.001986654636687707	0.002
('indulgent', 'nonindulgent')	0.001983065564632699	0.0
('landed', 'landless')	0.0019595844058753285	0.0
('gathered', 'ungathered')	0.0019588593620445925	0.008
('geared', 'ungeared')	0.0019570979470138264	0.006
('current', 'noncurrent')	0.0019162877921348083	0.009
('filled', 'unfilled')	0.0019084596789557193	0.0
('antecedent', 'subsequent')	0.0018988351395788413	0.0
('nonspeaking', 'speaking')	0.001897156074319336	0.007
('sent', 'unsent')	0.001883313687061683	0.001
('dramatic', 'undramatic')	0.001880543359132382	0.012
('aggressive', 'unaggressive')	0.001880439243976819	0.005
('exhausted', 'unexhausted')	0.0018616762210728298	0.0
