axis	diff_a_b	p
('appealing', 'unappealing')	0.010728424984323321	0.0
('interesting', 'uninteresting')	0.009920667276219375	0.0
('attractive', 'unattractive')	0.008777673748564174	0.0
('impressive', 'unimpressive')	0.008635860667685426	0.0
('exciting', 'unexciting')	0.008560737210200262	0.0
('original', 'unoriginal')	0.008432842859808951	0.0
('inspiring', 'uninspiring')	0.008266161616604152	0.0
('best', 'worst')	0.007979238025387256	0.0
('savory', 'unsavory')	0.007919215524656496	0.0
('professional', 'unprofessional')	0.007859854033021045	0.0
('fresh', 'stale')	0.007760396883634481	0.0
('disorganized', 'organized')	0.007749051061393463	0.0
('focused', 'unfocused')	0.007705718302750729	0.0
('creative', 'uncreative')	0.007619305003031596	0.0
('convincing', 'unconvincing')	0.007475054922154261	0.0
('informed', 'uninformed')	0.0072403702730457625	0.0
('inviting', 'uninviting')	0.0071139659096479905	0.0
('forgettable', 'unforgettable')	0.006955028865662485	0.0
('identifiable', 'unidentifiable')	0.006901680219686556	0.0
('coarse', 'fine')	0.006783542492688683	0.0
('fresh', 'salty')	0.00662440609882778	0.0
('full', 'thin')	0.0065628891354223146	0.0
('natural', 'unnatural')	0.006487361853483045	0.0
('consistent', 'inconsistent')	0.006412655611587152	0.0
('interested', 'uninterested')	0.006391620030274232	0.0
('clear', 'opaque')	0.006368195922437991	0.0
('qualified', 'unqualified')	0.006226799907693068	0.0
('effective', 'ineffective')	0.006225484998284665	0.0
('boneless', 'bony')	0.006214340205825125	0.0
('tasteful', 'tasteless')	0.0061822408348142024	0.0
('lucky', 'unlucky')	0.006028847604353323	0.0
('organized', 'unorganized')	0.005897781486225025	0.0
('valuable', 'worthless')	0.005835977034173783	0.0
('efficient', 'inefficient')	0.005806168197426482	0.0
('bright', 'dull')	0.005765495380631031	0.0
('friendly', 'unfriendly')	0.005743579614758973	0.0
('cooked', 'raw')	0.005736574385613013	0.0
('tasteless', 'tasty')	0.0057267056832759	0.0
('skinless', 'skinned')	0.005683991724697902	0.0
('irrelevant', 'relevant')	0.005671896693328985	0.0
('important', 'unimportant')	0.005633261239125546	0.0
('necessary', 'unnecessary')	0.005554071925345606	0.0
('motivated', 'unmotivated')	0.005552733133552925	0.0
('dull', 'lively')	0.00549633009298056	0.0
('educated', 'uneducated')	0.005465986054564321	0.0
('reliable', 'unreliable')	0.0054293035459423745	0.0
('attractive', 'repulsive')	0.005343778320649525	0.0
('unwelcome', 'welcome')	0.005272062313677306	0.0
('even', 'uneven')	0.00522881901054526	0.0
('discouraging', 'encouraging')	0.005154290833061686	0.0
('trained', 'untrained')	0.0051066410074091136	0.0
('talented', 'untalented')	0.005070777345756831	0.0
('playable', 'unplayable')	0.0050579785898849094	0.0
('tender', 'tough')	0.005054632314890398	0.0
('better', 'worse')	0.00502398241798141	0.0
('strong', 'weak')	0.005010045021536458	0.0
('passionate', 'passionless')	0.004925781121755396	0.0
('healthy', 'unhealthy')	0.004897820570298403	0.0
('informative', 'uninformative')	0.004844447467795419	0.0
('musical', 'unmusical')	0.004823101456700136	0.0
('eligible', 'ineligible')	0.004795183965563717	0.0
('pointed', 'pointless')	0.004765155217333604	0.0
('polished', 'unpolished')	0.004719032555876404	0.0
('insincere', 'sincere')	0.00469455424728445	0.0
('connected', 'unconnected')	0.004684246715665705	0.0
('insecure', 'secure')	0.0046683980586331286	0.0
('adequate', 'inadequate')	0.004644130009778062	0.0
('productive', 'unproductive')	0.004606448903036683	0.0
('liquid', 'solid')	0.004592071709811903	0.0
('dull', 'sharp')	0.004564383068605914	0.0
('democratic', 'undemocratic')	0.004471166871258647	0.0
('available', 'unavailable')	0.004463982863793991	0.0
('insignificant', 'significant')	0.00445846167673784	0.0
('meaningful', 'meaningless')	0.004455592899856748	0.0
('poor', 'rich')	0.004452476589950542	0.0
('impersonal', 'personal')	0.004407185409178357	0.0
('enthusiastic', 'unenthusiastic')	0.004378365597667494	0.0
('fortunate', 'unfortunate')	0.004376162486028331	0.0
('intelligent', 'unintelligent')	0.004369054733488387	0.0
('imprecise', 'precise')	0.004332086370148879	0.0
('dedicated', 'undedicated')	0.004238844787451866	0.001
('satisfactory', 'unsatisfactory')	0.004232156420109697	0.0
('insubstantial', 'substantial')	0.004226418666716181	0.0
('gross', 'net')	0.0042261340680062225	0.0
('irresponsible', 'responsible')	0.004210785766024369	0.0
('glad', 'sad')	0.004208318111120307	0.0
('elegant', 'inelegant')	0.004203461983094688	0.0
('illogical', 'logical')	0.004190615083690336	0.0
('formed', 'unformed')	0.004160344358917101	0.0
('rewarding', 'unrewarding')	0.0041552725675064114	0.0
('enlightened', 'unenlightened')	0.004122420270957246	0.0
('unwearable', 'wearable')	0.004113913841559996	0.0
('nonspecific', 'specific')	0.004096192666085609	0.0
('trustworthy', 'untrustworthy')	0.004095719065014327	0.0
('flexible', 'inflexible')	0.004095061583310935	0.0
('grateful', 'ungrateful')	0.004068047000694363	0.0
('immature', 'mature')	0.004038351480437465	0.0
('sympathetic', 'unsympathetic')	0.004015564270110161	0.0
('adventurous', 'unadventurous')	0.0039987649509770195	0.0
('gathered', 'ungathered')	0.003996339523784673	0.002
('beautiful', 'ugly')	0.003934188241093739	0.001
('unwilling', 'willing')	0.003907071301622839	0.0
('energetic', 'lethargic')	0.003905470530734449	0.0
('supported', 'unsupported')	0.0038949255009189873	0.0
('sanitary', 'unsanitary')	0.0038944421807443393	0.0
('sexy', 'unsexy')	0.0038780678153472	0.0
('scholarly', 'unscholarly')	0.0038484630936133843	0.001
('complete', 'incomplete')	0.003828782928241613	0.0
('sour', 'sweet')	0.003804699584937005	0.0
('insufficient', 'sufficient')	0.0038025204017639452	0.0
('useful', 'useless')	0.00379386392242932	0.0
('ahistorical', 'historical')	0.0037854324992836162	0.0
('related', 'unrelated')	0.0037812513933488615	0.0
('prepared', 'unprepared')	0.003777873792678991	0.0
('articulate', 'inarticulate')	0.0037724924695132656	0.0
('moving', 'unmoving')	0.0037570751036515755	0.001
('disreputable', 'reputable')	0.0037495707931893257	0.0
('deep', 'shallow')	0.0037439904412994466	0.0
('clear', 'cloudy')	0.0037430916741086895	0.0
('nonrepresentative', 'representative')	0.0037211011327252692	0.002
('helpful', 'unhelpful')	0.003689125735340604	0.0
('accurate', 'inaccurate')	0.0036879371917830986	0.0
('immobile', 'mobile')	0.0036571134060807663	0.0
('supportive', 'unsupportive')	0.003654889086721347	0.001
('current', 'noncurrent')	0.00365247634046929	0.003
('dynamic', 'undynamic')	0.003621952620159706	0.002
('coherent', 'incoherent')	0.003619155957061689	0.0
('cooperative', 'uncooperative')	0.0036157398585334177	0.0
('happy', 'unhappy')	0.003609843548624819	0.0
('androgynous', 'female')	0.0036037691172820067	0.0
('active', 'inactive')	0.0036004926305530337	0.0
('tidy', 'untidy')	0.003585850201650852	0.0
('appropriate', 'inappropriate')	0.0035611807594957134	0.0
('exact', 'inexact')	0.0035443702832380006	0.001
('fixed', 'unfixed')	0.0035415317355663306	0.0
('obligatory', 'optional')	0.0035334207036746453	0.0
('traveled', 'untraveled')	0.0035028284239514654	0.0
('decreased', 'increased')	0.0034971644123512266	0.0
('hopeful', 'hopeless')	0.003481171220818158	0.0
('spirited', 'spiritless')	0.0034684724575942683	0.0
('presidential', 'unpresidential')	0.00343827970045359	0.002
('experienced', 'inexperienced')	0.003426928120574298	0.0
('fashionable', 'unfashionable')	0.003426325238934099	0.0
('popular', 'unpopular')	0.0034170472896726863	0.0
('enterprising', 'unenterprising')	0.0034156973642912487	0.0
('seasoned', 'unseasoned')	0.0034054782845282967	0.0
('edible', 'inedible')	0.003391304356683905	0.0
('ignoble', 'noble')	0.003390263162570715	0.0
('social', 'unsocial')	0.0033891829031815757	0.003
('refined', 'unrefined')	0.003352434166466488	0.0
('competent', 'incompetent')	0.003343321818838804	0.0
('compatible', 'incompatible')	0.0033423408634514606	0.0
('absent', 'present')	0.0033413496598331573	0.0
('disrespectful', 'respectful')	0.003340339361807212	0.0
('convenient', 'inconvenient')	0.0033137085531370278	0.0
('guided', 'unguided')	0.0032479816818882096	0.0
('loud', 'soft')	0.003241204210415731	0.0
('extended', 'unextended')	0.003231477220351126	0.004
('disordered', 'ordered')	0.003218450932619762	0.0
('impermanent', 'permanent')	0.0032070542208072206	0.001
('congruent', 'incongruent')	0.0032032407943071916	0.0
('hard', 'soft')	0.0031937044185866223	0.0
('curly', 'straight')	0.003177883965917217	0.0
('ready', 'unready')	0.0031738747646260987	0.007
('fair', 'unfair')	0.0031650048018711354	0.0
('fit', 'unfit')	0.003162692616291235	0.0
('portable', 'unportable')	0.0031597263704947667	0.001
('scientific', 'unscientific')	0.0031586739412589795	0.0
('fancy', 'plain')	0.0031403313585128207	0.0
('arranged', 'disarranged')	0.0031027071217502276	0.004
('gracious', 'ungracious')	0.0031011984698601884	0.0
('brave', 'cowardly')	0.0031011351884418295	0.0
('dangerous', 'safe')	0.003092671759592377	0.0
('smart', 'stupid')	0.0030869267751367554	0.002
('insensitive', 'sensitive')	0.0030822417944959494	0.0
('enforceable', 'unenforceable')	0.003077590812086887	0.0
('unworthy', 'worthy')	0.003047110882413771	0.0
('progressive', 'regressive')	0.003041827319171136	0.0
('right', 'wrong')	0.0030324834522689453	0.0
('impractical', 'practical')	0.00302642650380517	0.0
('ambitious', 'unambitious')	0.0030070140539397456	0.0
('skilled', 'unskilled')	0.0030013613061597704	0.0
('androgynous', 'male')	0.0030007919033576136	0.0
('decisive', 'indecisive')	0.002998742519859524	0.0
('equitable', 'inequitable')	0.002995650194500341	0.0
('paved', 'unpaved')	0.0029773170965112627	0.0
('impossible', 'possible')	0.0029724586405951905	0.0
('declared', 'undeclared')	0.002964012458513946	0.0
('joyless', 'joyous')	0.0029595751000268105	0.0
('civil', 'uncivil')	0.002957906312933767	0.003
('distinct', 'indistinct')	0.0029538464433545245	0.0
('injured', 'uninjured')	0.0029453774910767616	0.0
('minus', 'plus')	0.0029378174968886298	0.0
('auspicious', 'inauspicious')	0.002905084808697991	0.0
