axis	diff_a_b	p
('savory', 'unsavory')	0.00889019723196885	0.0
('tender', 'tough')	0.005846821945355355	0.0
('boneless', 'bony')	0.005349938054386005	0.0
('cooked', 'raw')	0.004727954947178975	0.0
('current', 'noncurrent')	0.004334375974081598	0.0
('critical', 'noncritical')	0.004309959381012248	0.0
('oriented', 'unoriented')	0.004223920425415504	0.0
('nonprofessional', 'professional')	0.004143573943948417	0.0
('dedicated', 'undedicated')	0.00405205448017211	0.0
('skinless', 'skinned')	0.004021038830694495	0.0
('liquid', 'solid')	0.0038808867560647005	0.0
('enlightening', 'unenlightening')	0.003841643842648488	0.0
('confident', 'diffident')	0.003793282587889711	0.0
('sour', 'sweet')	0.00375634767144473	0.0
('functional', 'organic')	0.0036760539400685233	0.0
('lowborn', 'noble')	0.003668188633066685	0.0
('coarse', 'fine')	0.003646506714770386	0.0
('quiet', 'unquiet')	0.0036190320782270406	0.0
('handled', 'handleless')	0.003520473719701527	0.0
('dependable', 'undependable')	0.0035112845534561975	0.0
('nonrepresentative', 'representative')	0.003494037318215744	0.0
('nonsignificant', 'significant')	0.0034760667045995834	0.0
('styleless', 'stylish')	0.0034648864410493814	0.0
('earthly', 'heavenly')	0.0034608997745437277	0.0
('clear', 'opaque')	0.0034360244785319495	0.0
('sparkling', 'still')	0.0034242994760778495	0.0
('nonoperational', 'operational')	0.003391275522881085	0.0
('identifiable', 'unidentifiable')	0.0033283703864260307	0.0
('informative', 'uninformative')	0.003190708658912283	0.0
('dynamic', 'undynamic')	0.0031756612774509092	0.0
('geared', 'ungeared')	0.0031706615856905637	0.0
('influential', 'uninfluential')	0.0030730317954999267	0.0
('hard', 'soft')	0.003054417810995644	0.0
('obvious', 'unobvious')	0.003051898598387077	0.0
('forceful', 'forceless')	0.0030150592010327673	0.0
('competitive', 'noncompetitive')	0.003011855163214564	0.0
('seedless', 'seedy')	0.0030104582779753543	0.0
('intellectual', 'nonintellectual')	0.0029981875428073887	0.0
('provocative', 'unprovocative')	0.0029449805784448994	0.0
('poor', 'rich')	0.0029430304806272716	0.0
('financial', 'nonfinancial')	0.002939380306168044	0.0
('extraordinary', 'ordinary')	0.002939117183926287	0.0
('talented', 'untalented')	0.0029050248951669605	0.0
('functional', 'nonfunctional')	0.0028970831803275775	0.0
('anonymous', 'onymous')	0.002896953401370781	0.0
('integrated', 'nonintegrated')	0.002877656895404271	0.0
('impressive', 'unimpressive')	0.0027881300631838364	0.0
('extended', 'unextended')	0.002732068096064466	0.0
('endowed', 'unendowed')	0.0026972332371586836	0.0
('supportive', 'unsupportive')	0.0026918390085156375	0.0
('compassionate', 'uncompassionate')	0.002665664995220732	0.0
('considerable', 'inconsiderable')	0.0026558170730042324	0.0
('alternating', 'direct')	0.002650456276808129	0.0
('fewest', 'most')	0.002644320252697254	0.0
('proved', 'unproved')	0.0026237424094175746	0.0
('nonspeaking', 'speaking')	0.002589776591486674	0.0
('scholarly', 'unscholarly')	0.002587457266096334	0.0
('counterrevolutionary', 'revolutionary')	0.0025675253842991387	0.0
('perceptive', 'unperceptive')	0.0025561065897240828	0.0
('edifying', 'unedifying')	0.002536988121844941	0.0
('human', 'nonhuman')	0.002534203164565322	0.0
('nontechnical', 'technical')	0.002511023060468829	0.0
('active', 'stative')	0.0024944191754094	0.0
('rewarding', 'unrewarding')	0.0024733944361762517	0.0
('mechanical', 'nonmechanical')	0.002455761443820925	0.0
('thematic', 'unthematic')	0.002406416362067976	0.0
('evitable', 'inevitable')	0.0023935513286338847	0.0
('reflected', 'unreflected')	0.0023755869767361597	0.0
('full', 'thin')	0.002364375703947229	0.0
('melodious', 'unmelodious')	0.0023627909602014635	0.0
('social', 'unsocial')	0.0023527224435112085	0.0
('fruitful', 'unfruitful')	0.0023426156299390204	0.0
('antonymous', 'synonymous')	0.002322780779378938	0.0
('peaceful', 'unpeaceful')	0.0022921381518981702	0.0
('enthusiastic', 'unenthusiastic')	0.0022911593239258975	0.0
('continuous', 'discontinuous')	0.0022895345232190837	0.0
('topless', 'topped')	0.002286332306527635	0.0
('punctual', 'unpunctual')	0.0022684591991609486	0.0
('conscientious', 'unconscientious')	0.0022572362787765133	0.0
('fresh', 'preserved')	0.0022493766764310717	0.0
('concise', 'prolix')	0.0022485277153798423	0.0
('direct', 'indirect')	0.002231780014769971	0.0
('fatty', 'nonfat')	0.0022121326428219193	0.0
('courteous', 'discourteous')	0.0021973191174562614	0.0
('skilled', 'unskilled')	0.0021972291449453077	0.0
('nonrepetitive', 'repetitive')	0.0021950842324578897	0.0
('displeasing', 'pleasing')	0.0021905195096707727	0.0
('hollow', 'solid')	0.0021549845533891353	0.0
('destroyed', 'preserved')	0.0021374701787385923	0.0
('insincere', 'sincere')	0.0021260609860250055	0.0
('gaseous', 'solid')	0.0021165434542802838	0.0
('linguistic', 'nonlinguistic')	0.002106507297812501	0.0
('powerful', 'powerless')	0.0021036806949154673	0.0
('nonresidential', 'residential')	0.002090339905138733	0.0
('cautious', 'incautious')	0.0020804989836642925	0.0
('expedient', 'inexpedient')	0.002068414076454729	0.0
('cellular', 'noncellular')	0.002068240352460551	0.0
('unwooded', 'wooded')	0.002060445578511585	0.0
('aesthetic', 'inaesthetic')	0.002054546802865386	0.0
('dramatic', 'undramatic')	0.0020481440956797436	0.0
('gathered', 'ungathered')	0.0020471163052890456	0.0
('successful', 'unsuccessful')	0.002039335674624016	0.0
('felicitous', 'infelicitous')	0.0020325062174092468	0.0
('declared', 'undeclared')	0.0020277724251313283	0.0
('discerning', 'undiscerning')	0.0020151027996565644	0.0
('multidimensional', 'unidimensional')	0.0019969205635980668	0.0
('refined', 'unrefined')	0.001987828056739074	0.0
('nonspatial', 'spatial')	0.0019867688163012695	0.0
('gracious', 'ungracious')	0.00198641374104146	0.0
('industrial', 'nonindustrial')	0.0019768350244994924	0.0
('passionate', 'passionless')	0.0019692924704748337	0.0
('intense', 'mild')	0.0019673369758646444	0.0
('nonreflective', 'reflective')	0.001964803102248556	0.0
('obligated', 'unobligated')	0.0019463606764492242	0.0
('fragrant', 'malodorous')	0.0019451439399674059	0.0
('alike', 'unalike')	0.0019298075473378178	0.0
('appetizing', 'unappetizing')	0.0019279723656669741	0.0
('aggressive', 'unaggressive')	0.0019217059711309596	0.0
('intelligent', 'unintelligent')	0.001916315282437766	0.0
('evil', 'good')	0.0019136189806290699	0.0
('moving', 'nonmoving')	0.0019129412680256603	0.0
('thoughtful', 'thoughtless')	0.00191262464404212	0.0
('spirited', 'spiritless')	0.0019071979794926548	0.0
('tasteless', 'tasty')	0.0019032376491529123	0.0
('precedented', 'unprecedented')	0.001897527192040123	0.0
('truthful', 'untruthful')	0.0018886644201108905	0.0
('injured', 'uninjured')	0.0018754663557073725	0.0
('credible', 'incredible')	0.001874842431926418	0.0
('attentive', 'inattentive')	0.0018732982888042295	0.0
('enlightened', 'unenlightened')	0.0018729506928627012	0.0
('silenced', 'unsilenced')	0.0018660342676728309	0.0
('reproducible', 'unreproducible')	0.001857524269319684	0.0
('classical', 'nonclassical')	0.0018540636213161456	0.0
('trustworthy', 'untrustworthy')	0.0018469784845813655	0.0
('aboral', 'oral')	0.0018376615938173607	0.0
('exculpatory', 'inculpatory')	0.0018370789712026138	0.0
('bearing', 'nonbearing')	0.001825734979343848	0.0
('specialized', 'unspecialized')	0.0018096462930166143	0.0
('decreased', 'increased')	0.0018092933505284136	0.0
('explosive', 'nonexplosive')	0.0018084840569042929	0.001
('curly', 'straight')	0.0018082218761562713	0.0
('plural', 'singular')	0.001800692032908625	0.0
('seamed', 'seamless')	0.0017908218564150584	0.0
('profitable', 'unprofitable')	0.0017840967693304281	0.0
('improved', 'unimproved')	0.0017691048823406212	0.0
('guided', 'unguided')	0.0017650222604277677	0.0
('alcoholic', 'nonalcoholic')	0.0017632460327940604	0.0
('diversified', 'undiversified')	0.0017626161544833964	0.0
('disloyal', 'loyal')	0.0017610689208381464	0.0
('commensurate', 'incommensurate')	0.0017554518754007153	0.0
('impolite', 'polite')	0.0017554133410172396	0.0
('constant', 'inconstant')	0.0017493148063359634	0.0
('exciting', 'unexciting')	0.0017447326800389684	0.001
('adaptable', 'unadaptable')	0.0017387610382664422	0.0
('equipped', 'unequipped')	0.0017355572610304112	0.0
('essential', 'inessential')	0.0017296387018212907	0.001
('decent', 'indecent')	0.001726135429903155	0.0
('domestic', 'undomestic')	0.0017179107633547817	0.002
('military', 'unmilitary')	0.0017080181113323274	0.003
('fixed', 'unfixed')	0.001701065407851551	0.0
('descriptive', 'undescriptive')	0.0017002361771179999	0.001
('factory-made', 'homemade')	0.0016887032667013465	0.0
('delicate', 'rugged')	0.0016842582246598117	0.0
('enforced', 'unenforced')	0.0016815838657082693	0.0
('communicative', 'uncommunicative')	0.001681110120833747	0.0
('harmonious', 'inharmonious')	0.001680364824220305	0.001
('fictional', 'nonfictional')	0.0016594692708031232	0.0
('extrusive', 'intrusive')	0.0016434246507504458	0.0
('committed', 'uncommitted')	0.0016410968239117113	0.0
('unwoven', 'woven')	0.0016410876681061098	0.0
('impractical', 'practical')	0.0016402269797168335	0.0
('curious', 'incurious')	0.0016391524715739132	0.003
('designed', 'undesigned')	0.0016386029437207485	0.0
('stimulating', 'unstimulating')	0.0016266801229608985	0.001
('receptive', 'unreceptive')	0.0016199126813174671	0.0
('determined', 'undetermined')	0.001616098751926292	0.0
('aperiodic', 'periodic')	0.0016106000390014186	0.0
('corrupt', 'incorrupt')	0.001606460652217057	0.0
('articulate', 'inarticulate')	0.0016047944495558228	0.0
('ahistorical', 'historical')	0.0016033231071325496	0.003
('enterprising', 'unenterprising')	0.0016012555125110954	0.0
('harmonic', 'nonharmonic')	0.00160122094482169	0.0
('ambitious', 'unambitious')	0.0016004296739276	0.001
('articulated', 'unarticulated')	0.001588849843869651	0.0
('animated', 'unanimated')	0.001581216751263298	0.002
('active', 'dormant')	0.0015738227559703166	0.0
('deductible', 'nondeductible')	0.0015623740956991448	0.0
('concealed', 'unconcealed')	0.0015522607732697483	0.0
('irreligious', 'religious')	0.001549650912535375	0.0
('infectious', 'noninfectious')	0.0015419298211273285	0.0
('surprised', 'unsurprised')	0.0015376229640604797	0.021
('active', 'extinct')	0.0015338383055208855	0.0
('bad', 'good')	0.0015292052272858035	0.002
('high-tension', 'low-tension')	0.0015233549526881352	0.0
('deniable', 'undeniable')	0.001514027878587199	0.0
('productive', 'unproductive')	0.0015105913836900298	0.0
('tanned', 'untanned')	0.0015052172077296092	0.0
('imprudent', 'prudent')	0.0015038581283115821	0.0
('dispensable', 'indispensable')	0.0015004629492038138	0.0
('effortful', 'effortless')	0.0014905486282561688	0.0
('illegitimate', 'legitimate')	0.0014769622561057426	0.0
('comparable', 'incomparable')	0.0014708424969719549	0.0
('stressed', 'unstressed')	0.0014699521313126535	0.0
('cool', 'warm')	0.0014697998923458265	0.0
('clear', 'cloudy')	0.001464739890611983	0.0
('accommodating', 'unaccommodating')	0.001456547785357299	0.0
('nonsurgical', 'surgical')	0.0014552849178363844	0.0
('inferior', 'superior')	0.0014481051559497408	0.0
('exempt', 'nonexempt')	0.0014473117030519532	0.0
('scalable', 'unscalable')	0.0014444168134032636	0.0
('bottom', 'top')	0.0014420344039814967	0.0
('respectable', 'unrespectable')	0.0014358954814392994	0.0
('musical', 'unmusical')	0.0014335275391310805	0.005
('sized', 'unsized')	0.0014312456665875172	0.004
('apropos', 'malapropos')	0.001430796656885197	0.0
('owned', 'unowned')	0.001426891289570702	0.0
('inorganic', 'organic')	0.0014233842970411432	0.0
('irresolute', 'resolute')	0.001422583677203203	0.0
('caducous', 'persistent')	0.0014218927913834181	0.0
('decreasing', 'increasing')	0.001415792427669458	0.0
('good-natured', 'ill-natured')	0.001414260815673262	0.0
('groomed', 'ungroomed')	0.0014098693824732625	0.0
('moving', 'unmoving')	0.0014074457256224651	0.0
('approachable', 'unapproachable')	0.0014038137745629332	0.0
('proximate', 'ultimate')	0.0013998860715351991	0.0
('downstairs', 'upstairs')	0.001397978138509246	0.0
('selected', 'unselected')	0.0013946783702867855	0.001
('nonthermal', 'thermal')	0.0013928768050129343	0.0
('advisable', 'inadvisable')	0.0013925731031613087	0.001
('magnetic', 'nonmagnetic')	0.001391559738270324	0.0
('healthful', 'unhealthful')	0.0013828220403192659	0.0
('purposeful', 'purposeless')	0.0013811555213127085	0.0
('off-line', 'on-line')	0.001377492339657357	0.0
('nonprescription', 'prescription')	0.00137570066524461	0.0
('hierarchical', 'nonhierarchical')	0.0013728319023685112	0.0
('dissuasive', 'persuasive')	0.0013703270242460125	0.0
('nonracial', 'racial')	0.0013689524625912913	0.0
('bowed', 'plucked')	0.0013677994803960973	0.0
('favorable', 'unfavorable')	0.0013665440478570108	0.0
('insensible', 'sensible')	0.0013626683153268246	0.0
('crystalline', 'noncrystalline')	0.0013613541007509514	0.0
('framed', 'unframed')	0.0013598000541636401	0.0
('nonspecific', 'specific')	0.0013557989779299819	0.005
('sound', 'unsound')	0.0013528187189552066	0.0
('imprecise', 'precise')	0.0013412290070640136	0.0
('drained', 'undrained')	0.0013376996191685354	0.0
('surprising', 'unsurprising')	0.0013351639881331208	0.011
('abused', 'unabused')	0.0013328143625281688	0.01
('nonreciprocal', 'reciprocal')	0.0013315535121306392	0.0
('dominant', 'recessive')	0.0013261859330367214	0.0
('endocrine', 'exocrine')	0.0013212915503500325	0.0
('addressed', 'unaddressed')	0.0013150445613153688	0.0
('armored', 'unarmored')	0.0013093682675730973	0.0
('convincing', 'unconvincing')	0.0013055340209604353	0.002
('excited', 'unexcited')	0.0013021511542173902	0.021
('nasty', 'nice')	0.0013016894589909164	0.0
('certified', 'uncertified')	0.001301497370944425	0.0
('nonrigid', 'rigid')	0.0013001016146225609	0.0
('summery', 'vernal')	0.0012990918973620194	0.0
('loud', 'soft')	0.0012987907517412155	0.0
('clean', 'unclean')	0.0012943745014418664	0.0
('beneficent', 'maleficent')	0.0012937316889224983	0.0
('nonresident', 'resident')	0.0012932770540951977	0.0
('generous', 'ungenerous')	0.0012924506471283775	0.003
('direct', 'inverse')	0.0012908007343931834	0.0
('aware', 'unaware')	0.0012873058304248546	0.0
('packaged', 'unpackaged')	0.0012867257377293054	0.002
('annual', 'biennial')	0.0012780751016669058	0.0
('assigned', 'unassigned')	0.001274726935054607	0.001
('aligned', 'nonaligned')	0.0012718524100295142	0.001
('fresh', 'salty')	0.0012650253958108922	0.0
('full-term', 'premature')	0.0012597577328393224	0.0
('impure', 'pure')	0.0012592081485155449	0.0
('treated', 'untreated')	0.0012556657828778992	0.0
('glorious', 'inglorious')	0.001253783314920421	0.004
('commodious', 'incommodious')	0.0012529539574613266	0.0
('tipped', 'untipped')	0.0012489276871255617	0.005
('appealing', 'unappealing')	0.0012488315274729565	0.004
('false', 'true')	0.0012444863078254313	0.0
('androgynous', 'female')	0.0012420317011249179	0.0
('loving', 'unloving')	0.0012419691370085216	0.003
('portable', 'unportable')	0.0012411990731951202	0.005
('green', 'ripe')	0.0012381937816064587	0.0
('antimagnetic', 'magnetic')	0.0012346362449363046	0.0
('analogue', 'digital')	0.001234316885881305	0.0
('unwilling', 'willing')	0.0012336743716627428	0.001
