axis	diff_a_b	p
('pointed', 'pointless')	0.005020859825550681	0.0
('necessary', 'unnecessary')	0.004906252838425683	0.0
('greater', 'lesser')	0.0045489127303082865	0.0
('less', 'more')	0.004544085331553654	0.0
('impractical', 'practical')	0.004518185339702845	0.0
('inspiring', 'uninspiring')	0.0045089174087138	0.001
('democratic', 'undemocratic')	0.004341412775185922	0.0
('cheap', 'expensive')	0.004252230631505414	0.006
('constitutional', 'unconstitutional')	0.0037707998251090896	0.0
('immoral', 'moral')	0.0036340764896844015	0.0
('irresponsible', 'responsible')	0.003551245533274046	0.0
('original', 'unoriginal')	0.0035512168660811905	0.005
('continued', 'discontinued')	0.0035457576845748344	0.0
('ample', 'meager')	0.003509713832999155	0.0
('discouraging', 'encouraging')	0.0034431544371421145	0.002
('ethical', 'unethical')	0.0033626266191038702	0.0
('scholarly', 'unscholarly')	0.0033462018413597874	0.009
('scientific', 'unscientific')	0.0033321949820699203	0.0
('anticlimactic', 'climactic')	0.003325449083263296	0.0
('equal', 'unequal')	0.00329032717796994	0.0
('healthy', 'unhealthy')	0.003271705504393681	0.001
('little', 'much')	0.0032203080351619687	0.0
('inviting', 'uninviting')	0.003181018269915247	0.013
('forgettable', 'unforgettable')	0.0030765908790252317	0.006
('illogical', 'logical')	0.002974189215180091	0.002
('insincere', 'sincere')	0.0029473727512815944	0.005
('convincing', 'unconvincing')	0.002793940129648214	0.012
('sexy', 'unsexy')	0.002758191974678444	0.016
('creative', 'uncreative')	0.0026990006908856716	0.039
('professional', 'unprofessional')	0.002681004685991176	0.029
('tasteless', 'tasty')	0.0026155628419278036	0.017
('natural', 'unnatural')	0.002597903637936251	0.007
('bright', 'dull')	0.0025890892840949335	0.002
('acute', 'obtuse')	0.002573381059983194	0.0
('fair', 'unfair')	0.00256777409286116	0.003
('frivolous', 'serious')	0.0025533453217855932	0.0
('insufficient', 'sufficient')	0.002542161183518984	0.006
('consistent', 'inconsistent')	0.00250393880148681	0.031
('informed', 'uninformed')	0.002496740062162073	0.012
('matched', 'mismatched')	0.0024797344274323663	0.0
('progressive', 'regressive')	0.0024772300952456035	0.0
('immoderate', 'moderate')	0.0024765818852814144	0.017
('deep', 'shallow')	0.002464598379653689	0.0
('correct', 'incorrect')	0.0024613070185730487	0.005
('implausible', 'plausible')	0.002434612016062071	0.002
('awakened', 'unawakened')	0.0024285389786614046	0.008
('dull', 'sharp')	0.0024231268210164513	0.0
('collected', 'uncollected')	0.0024154805629357946	0.009
('productive', 'unproductive')	0.00231915739926598	0.018
('sanitary', 'unsanitary')	0.0023028944515397923	0.0
('realistic', 'unrealistic')	0.0022921505946099496	0.003
('dishonorable', 'honorable')	0.0022682017747802895	0.006
('effective', 'ineffective')	0.0022495079888924727	0.03
('irrelevant', 'relevant')	0.0022485883077600667	0.009
('congruent', 'incongruent')	0.0022393065787792363	0.0
('sympathetic', 'unsympathetic')	0.0022095265183319085	0.004
('androgynous', 'female')	0.0022041813866624967	0.004
('nominal', 'real')	0.0022030664055371213	0.003
('elastic', 'inelastic')	0.0021878490093877566	0.002
('changed', 'unchanged')	0.0021761164493731815	0.003
('dishonest', 'honest')	0.0021705859579260016	0.011
('high', 'low')	0.0021495144801727054	0.0
('closing', 'opening')	0.0020957848533140547	0.0
('impatient', 'patient')	0.002093177027543195	0.001
('expected', 'unexpected')	0.0020905169655537556	0.003
('framed', 'unframed')	0.002067206124159988	0.002
('breakable', 'unbreakable')	0.002048083712084464	0.0
('noisy', 'quiet')	0.0020168130206451446	0.002
('efficient', 'inefficient')	0.001989518951364134	0.038
('androgynous', 'male')	0.001987191001367832	0.003
('experienced', 'inexperienced')	0.0019808582007475022	0.009
('comparable', 'incomparable')	0.0019775185730114553	0.048
('misused', 'used')	0.0019559901056274698	0.027
('active', 'passive')	0.0019540512062187947	0.0
('fresh', 'stale')	0.001953220006971731	0.032
('nonunion', 'union')	0.0019489849244756392	0.008
('satisfactory', 'unsatisfactory')	0.001938811207451153	0.01
('finished', 'unfinished')	0.001935351407061683	0.0
('improper', 'proper')	0.0018487055617689707	0.013
('organized', 'unorganized')	0.0018007772993774637	0.025
('joint', 'separate')	0.0017928481981944848	0.029
('maximum', 'minimum')	0.0017905727937892546	0.0
('majuscule', 'minuscule')	0.0017846309903825847	0.009
('gradual', 'steep')	0.0017548816432927973	0.0
('flat', 'natural')	0.0017514168697908188	0.0
('diluted', 'undiluted')	0.0017188061505991016	0.0
('flowering', 'flowerless')	0.0017106224755168882	0.036
('enforceable', 'unenforceable')	0.0017082745331012195	0.001
('equitable', 'inequitable')	0.0017041353189536498	0.009
('foreign', 'native')	0.001676647334411598	0.0
('impolitic', 'politic')	0.001666560110416067	0.0
('patriotic', 'unpatriotic')	0.0016101351696214466	0.012
('blemished', 'unblemished')	0.001591962605722125	0.0
('future', 'present')	0.0015916928278129567	0.0
('enlightened', 'unenlightened')	0.001590430649637745	0.041
('insignificant', 'significant')	0.0015880962947775103	0.046
('supported', 'unsupported')	0.0015810508218181765	0.009
('full-time', 'part-time')	0.0015797942202897437	0.002
('principled', 'unprincipled')	0.0015736337661159203	0.003
('insensitive', 'sensitive')	0.001572802994873914	0.026
('lossless', 'lossy')	0.0015698760859052929	0.0
('fractional', 'whole')	0.001564930596001093	0.02
('cubic', 'planar')	0.0015513112671766268	0.0
('conventional', 'unconventional')	0.001550767372826502	0.002
('depressant', 'stimulative')	0.0015467482942002637	0.0
('first', 'second')	0.0015271384389257533	0.001
('recoverable', 'unrecoverable')	0.001521708479764768	0.0
('brave', 'cowardly')	0.001519064077377055	0.023
('registered', 'unregistered')	0.0014992024189676902	0.013
('least', 'most')	0.0014878050109668698	0.032
('adequate', 'inadequate')	0.0014870338323387366	0.04
('holy', 'unholy')	0.0014820143552350725	0.005
('horizontal', 'inclined')	0.0014769465854286307	0.013
('immature', 'mature')	0.0014502856736771505	0.02
('qualified', 'unqualified')	0.0014464781094401455	0.041
('overhead', 'surface')	0.0014243620976025443	0.0
('coated', 'uncoated')	0.0014161919789685935	0.017
('traceable', 'untraceable')	0.0014071401715638069	0.0
('crooked', 'straight')	0.0014059321242029816	0.006
('functioning', 'malfunctioning')	0.0014045990032398852	0.012
('annual', 'perennial')	0.0014025560148667408	0.002
('improvident', 'provident')	0.0013884841566550446	0.0
('harmful', 'harmless')	0.0013804186131525613	0.0
('humane', 'inhumane')	0.0013744530953600908	0.029
('decisive', 'indecisive')	0.001373935470249294	0.024
('detected', 'undetected')	0.0013694697037050074	0.0
('maximal', 'minimal')	0.0013687904185512873	0.014
('regulated', 'unregulated')	0.0013517525441849266	0.0
('overhand', 'underhand')	0.0013469764972961658	0.0
('counterfeit', 'genuine')	0.0013392900366776764	0.016
('burdened', 'unburdened')	0.0013246130247460347	0.04
('insolvent', 'solvent')	0.0013222595460508132	0.002
('profound', 'superficial')	0.0012922435512259575	0.003
('half', 'whole')	0.001281086148482118	0.014
('federal', 'unitary')	0.001278094888192304	0.006
('likely', 'unlikely')	0.0012749934674179241	0.032
('intemperate', 'temperate')	0.0012478224088244639	0.028
('thrifty', 'wasteful')	0.0012385773787854503	0.001
('leaded', 'unleaded')	0.0012301096277746257	0.002
('shaven', 'unshaven')	0.0012275522716064411	0.0
('abundant', 'scarce')	0.001221084841284228	0.004
('faced', 'faceless')	0.0012193872720255546	0.018
('publishable', 'unpublishable')	0.0012147119326560447	0.0
('maternal', 'paternal')	0.001210910326166735	0.002
('grammatical', 'ungrammatical')	0.001182983593162247	0.04
('fancy', 'plain')	0.0011784493530332838	0.009
('artificial', 'natural')	0.0011483588672814753	0.0
('nontaxable', 'taxable')	0.0011298131590084162	0.05
('antemortem', 'postmortem')	0.001121608904334685	0.021
('mown', 'unmown')	0.0011211102042807527	0.007
('distal', 'mesial')	0.001120661019638633	0.008
('impermissible', 'permissible')	0.0010999552092740865	0.021
('lax', 'tense')	0.0010967364050570678	0.005
('encumbered', 'unencumbered')	0.0010958405034581517	0.002
('narrow', 'wide')	0.0010836420786324557	0.006
('related', 'unrelated')	0.0010750969745961028	0.028
('malnourished', 'nourished')	0.0010626090897480137	0.006
('heterosexual', 'homosexual')	0.0010596721148051738	0.0
('objective', 'subjective')	0.0010556490435939814	0.006
('disorienting', 'orienting')	0.0010540535000049724	0.032
('inhabited', 'uninhabited')	0.0010431809747768216	0.0
('publicized', 'suppressed')	0.0010303369042897717	0.0
('centrifugal', 'centripetal')	0.0010190062613792189	0.002
('all', 'some')	0.001015609663153707	0.01
('tame', 'wild')	0.000981227076699254	0.032
('cardinal', 'ordinal')	0.0009806164225548385	0.004
('monoclinic', 'triclinic')	0.0009635101439704379	0.0
('deductive', 'inductive')	0.0009576385857034803	0.0
('conformist', 'nonconformist')	0.0009571496879536416	0.0
('finite', 'infinite')	0.0009448749256084918	0.02
('deflationary', 'inflationary')	0.0009398385473234142	0.0
('inoperable', 'operable')	0.0009220368120112545	0.014
('marked', 'unmarked')	0.0009178048306579742	0.012
('brotherly', 'sisterly')	0.0009109844587101125	0.0
('fastened', 'unfastened')	0.0009039125676880066	0.028
('inshore', 'offshore')	0.0009038243997198754	0.029
('bivalve', 'univalve')	0.0008803576088022161	0.001
('chaste', 'unchaste')	0.0008772963612414201	0.04
('domineering', 'submissive')	0.0008615692118286878	0.009
('local', 'national')	0.0008606910504491442	0.014
('lowered', 'raised')	0.0008459465083043276	0.008
('limited', 'unlimited')	0.0008446463497681061	0.016
('divisible', 'indivisible')	0.0008379952259394861	0.003
('necked', 'neckless')	0.0008224701171162621	0.007
('animate', 'inanimate')	0.0007975326798901	0.0
('equivocal', 'unequivocal')	0.0007883793123954173	0.016
('thick', 'thin')	0.0007875427301249085	0.002
('diploid', 'polyploid')	0.0007681721639008119	0.01
('allopathic', 'homeopathic')	0.0007619589425940346	0.006
('spineless', 'spinous')	0.000733175415160982	0.021
('orthodox', 'unorthodox')	0.0007302524441429063	0.016
('guilty', 'innocent')	0.0007254674618560834	0.013
('punitive', 'rehabilitative')	0.0007239448209411282	0.019
('cubic', 'linear')	0.0007223622456717337	0.003
('postprandial', 'preprandial')	0.0007207184167241365	0.013
('toothed', 'toothless')	0.0007102265965987713	0.012
('fallible', 'infallible')	0.000706400459319178	0.004
('compromising', 'uncompromising')	0.0006932212803789188	0.028
('alterable', 'unalterable')	0.0006802887960933456	0.001
('heavy', 'light')	0.0006739352343613759	0.028
('nonsuppurative', 'suppurative')	0.0006663658487111109	0.0
('accentual', 'syllabic')	0.0006623728819645522	0.0
('contestable', 'incontestable')	0.0006573547458522786	0.0
('inboard', 'outboard')	0.0006547379128348067	0.032
('left-handed', 'right-handed')	0.000641331343893417	0.001
('flat', 'sharp')	0.0006339696679221732	0.028
('conventional', 'nuclear')	0.0006331515280886485	0.009
('medical', 'surgical')	0.0006260901748533403	0.035
('collateral', 'lineal')	0.0006246877214665979	0.049
('desensitizing', 'sensitizing')	0.0006182722408062083	0.0
('consecrated', 'desecrated')	0.0006029328827414594	0.046
('translatable', 'untranslatable')	0.000597449116751041	0.05
