axis	diff_a_b	p
('best', 'worst')	0.007290480248849936	0.0
('better', 'worse')	0.0059103948748769515	0.0
('professional', 'unprofessional')	0.0057878901027315285	0.0
('popular', 'unpopular')	0.005185542472489209	0.0
('pointed', 'pointless')	0.005138286354125174	0.0
('available', 'unavailable')	0.004925006370020196	0.0
('appropriate', 'inappropriate')	0.0049228026627234234	0.0
('adequate', 'inadequate')	0.0049096205635261875	0.0
('insecure', 'secure')	0.0048832116347407965	0.0
('original', 'unoriginal')	0.004829413082446792	0.0
('necessary', 'unnecessary')	0.004777159241070689	0.0
('happy', 'unhappy')	0.004736430199396305	0.0
('cooperative', 'uncooperative')	0.004724216020284571	0.0
('right', 'wrong')	0.004629444449478123	0.0
('fair', 'unfair')	0.00447684347374441	0.0
('effective', 'ineffective')	0.004441697275036648	0.0
('disorganized', 'organized')	0.0044348336785615255	0.0
('interested', 'uninterested')	0.00434820333430859	0.0
('prepared', 'unprepared')	0.004263471471398144	0.0
('convenient', 'inconvenient')	0.004208453766165439	0.0
('consistent', 'inconsistent')	0.004181503093682985	0.0
('natural', 'unnatural')	0.004135060645381532	0.0
('smart', 'stupid')	0.0041166276635583865	0.0
('helpful', 'unhelpful')	0.004081974023806863	0.0
('open', 'shut')	0.0040546341873034745	0.0
('flexible', 'inflexible')	0.004046956185170245	0.0
('fortunate', 'unfortunate')	0.0040293520188250335	0.0
('irrelevant', 'relevant')	0.004026384780965517	0.0
('friendly', 'unfriendly')	0.003987308906307859	0.0
('lucky', 'unlucky')	0.003944051376858992	0.0
('fresh', 'stale')	0.0036870618778569696	0.0
('misused', 'used')	0.0036728542139030235	0.0
('acceptable', 'unacceptable')	0.0036519901476057886	0.0
('insensitive', 'sensitive')	0.003642849962595014	0.0
('irresponsible', 'responsible')	0.0036401338139285203	0.0
('competent', 'incompetent')	0.003623737374043045	0.0
('kind', 'unkind')	0.003567560754184568	0.0
('careful', 'careless')	0.0035635226742905916	0.0
('just', 'unjust')	0.0035194580187879534	0.0
('insufficient', 'sufficient')	0.003502228545451196	0.0
('satisfactory', 'unsatisfactory')	0.003490526752021857	0.0
('informed', 'uninformed')	0.003460543987043428	0.0
('attractive', 'unattractive')	0.0034373470749293443	0.0
('profane', 'sacred')	0.003436745688966906	0.0
('antagonistic', 'synergistic')	0.003430646428327135	0.0
('tasteless', 'tasty')	0.003346529323688792	0.001
('healthy', 'unhealthy')	0.003188336726718047	0.0
('characteristic', 'uncharacteristic')	0.0031183304281311667	0.0
('comfortable', 'uncomfortable')	0.0030563464982440863	0.0
('edible', 'inedible')	0.0030246245568968334	0.0
('glad', 'sad')	0.0029681211214098533	0.0
('unwelcome', 'welcome')	0.002968115465441774	0.0
('strong', 'weak')	0.002927452720225149	0.0
('playable', 'unplayable')	0.0029231330235226	0.0
('disordered', 'ordered')	0.002911930708248592	0.0
('useful', 'useless')	0.002863897655233944	0.0
