axis	diff_a_b	p
('abaxial', 'adaxial')	0.0004974604611238309	0.0
('abstract', 'concrete')	0.001368076313352048	0.0
('abundant', 'scarce')	0.0013826704234460568	0.0
('active', 'quiet')	0.005480286457414902	0.0
('aerobic', 'anaerobic')	0.0009755716972437299	0.0
('aft', 'fore')	0.0007985999078558093	0.0
('algorithmic', 'heuristic')	0.0003682909183324026	0.0
('alive', 'dead')	0.0009662551945062445	0.0
('amphibious', 'aquatic')	0.0008257652036221291	0.0
('amphibious', 'terrestrial')	0.0006151483223625302	0.0
('anodic', 'cathodic')	0.0004795144942264561	0.0
('aquatic', 'terrestrial')	0.0008090169338727899	0.0
('asymmetrical', 'symmetrical')	0.0005258941594778583	0.0
('asynchronous', 'synchronous')	0.0005533078122293639	0.0
('attached', 'detached')	0.002710334786078042	0.0
('attributive', 'predicative')	0.0003887839888552184	0.0
('autumnal', 'summery')	0.0013599278084392551	0.0
('awkward', 'graceful')	0.0024190460717076617	0.0
('backhand', 'forehand')	0.00036784693370969595	0.0
('beautiful', 'ugly')	0.0042465774403541556	0.0
('bidirectional', 'unidirectional')	0.00039707612180828276	0.0
('black', 'white')	0.0014171853366201402	0.0
('clean', 'dirty')	0.0018078624964336446	0.0
('coastal', 'inland')	0.0013586679813846246	0.0
('coldhearted', 'warmhearted')	0.0010167100718561787	0.0
('comfortable', 'uncomfortable')	0.0030571546963094037	0.0
('complex', 'simple')	0.001344839351675205	0.0
('concentrated', 'distributed')	0.0010050496065795072	0.0
('contaminated', 'uncontaminated')	0.001891888132284976	0.0
('cool', 'warm')	0.0024502106162894114	0.0
('cosmopolitan', 'endemic')	0.0026854702114596472	0.0
('cosmopolitan', 'provincial')	0.002111319307089155	0.0
('curved', 'straight')	0.002157062853082054	0.0
('dark', 'light')	0.0010357079888799617	0.0
('debilitating', 'invigorating')	0.0030344475121205066	0.0
('destructible', 'indestructible')	0.0008870279904420676	0.0
('disenchanted', 'enchanted')	0.001639453193219115	0.0
('dysgenic', 'eugenic')	0.0006445501865311783	0.0
('endergonic', 'exergonic')	0.00036822281991069454	0.0
('fat', 'thin')	0.0010369824317372186	0.0
('feminine', 'masculine')	0.0007573661723717993	0.0
('feminine', 'neuter')	0.0033299693650383246	0.0
('figurative', 'literal')	0.0017895588842024223	0.0
('fingered', 'fingerless')	0.0008928264729477719	0.0
('flat', 'sharp')	0.000716013495559855	0.0
('flattering', 'unflattering')	0.0016915853807821356	0.0
('forgiving', 'unforgiving')	0.0007935852056153376	0.0
('formal', 'informal')	0.0009511523925923079	0.0
('gabled', 'hipped')	0.0018051301536497694	0.0
('gaseous', 'liquid')	0.0015551056050151068	0.0
('geographic', 'magnetic')	0.0007435987765326045	0.0
('guilty', 'innocent')	0.0010168681526211351	0.0
('hardened', 'soft')	0.0015649538961842596	0.0
('hardhearted', 'softhearted')	0.0005814765217427046	0.0
('hateful', 'lovable')	0.0017156798576927592	0.0
('heavy', 'light')	0.0011742430614852138	0.0
('heavy-footed', 'light-footed')	0.0006310733442390949	0.0
('high-rise', 'low-rise')	0.0010006421627879085	0.0
('hurried', 'unhurried')	0.0030036004353884167	0.0
('immutable', 'mutable')	0.0006387788066986428	0.0
('imperishable', 'perishable')	0.001322258464593975	0.0
('incoming', 'outgoing')	0.0025626196067032826	0.0
('indoor', 'outdoor')	0.0012036057485371558	0.0
('induced', 'spontaneous')	0.0015886523410427126	0.0
('inhibited', 'uninhibited')	0.0014214752911362576	0.0
('innocuous', 'noxious')	0.0006498029725565046	0.0
('intolerant', 'tolerant')	0.0008096050991802913	0.0
('irreverent', 'reverent')	0.0012336505496738453	0.0
('irreversible', 'reversible')	0.0031741909594111663	0.0
('judgmental', 'nonjudgmental')	0.0011477324025706897	0.0
('lax', 'tense')	0.0014856653228126331	0.0
('leaded', 'unleaded')	0.001964390349262055	0.0
('leavened', 'unleavened')	0.0007203379133309184	0.0
('malnourished', 'nourished')	0.0013962324710134755	0.0
('masculine', 'neuter')	0.002494736969973041	0.0
('maxi', 'midi')	0.001508201690842247	0.0
('maximum', 'minimum')	0.00071650115799429	0.0
('midi', 'mini')	0.0012213952839831956	0.0
('monolingual', 'multilingual')	0.001350364760792931	0.0
('moonless', 'moonlit')	0.001725272690569356	0.0
('naive', 'sophisticated')	0.0022245877917031545	0.0
('negative', 'neutral')	0.001991555764553541	0.0
('neutral', 'positive')	0.0010106122400073388	0.0
('noisy', 'quiet')	0.0019572788844664443	0.0
('normal', 'paranormal')	0.0008565252985595299	0.0
('obstructed', 'unobstructed')	0.0018537659951957915	0.0
('off-street', 'on-street')	0.0014106141044759276	0.0
('one-piece', 'three-piece')	0.001123067056814977	0.0
('patterned', 'plain')	0.00218429009890386	0.0
('permissive', 'preventive')	0.0012975441127903832	0.0
('pleasant', 'unpleasant')	0.0037543443040281843	0.0
('pretentious', 'unpretentious')	0.0019088515962617514	0.0
('private', 'public')	0.0023797025101060763	0.0
('relaxed', 'tense')	0.0029141844086822064	0.0
('restful', 'restless')	0.003963848559619445	0.0
('round', 'square')	0.001763858855243836	0.0
('rural', 'urban')	0.0025043570600190085	0.0
('sheathed', 'unsheathed')	0.0010088924849971474	0.0
('short', 'tall')	0.0014211147376800605	0.0
('smokeless', 'smoky')	0.001185693504940237	0.0
('subscript', 'superscript')	0.00043028573902080276	0.0
('summery', 'vernal')	0.002239782536044097	0.0
('tasteful', 'tasteless')	0.005319700787192931	0.0
('three-piece', 'two-piece')	0.001004281806560411	0.0
('touched', 'untouched')	0.0010870845181047998	0.0
('vernal', 'wintry')	0.0007581619285665473	0.0
('wired', 'wireless')	0.0010416343099903247	0.0
('acute', 'chronic')	0.0005528518828793183	0.001
('ample', 'meager')	0.001356291698641078	0.001
('colorful', 'colorless')	0.0014285653937094345	0.001
('compound', 'simple')	0.0010175523903685046	0.001
('connotative', 'denotative')	0.0003978740709701255	0.001
('counterfeit', 'genuine')	0.0012036792946110882	0.001
('eastern', 'western')	0.0005326264508678626	0.001
('elegant', 'inelegant')	0.0022898576745413787	0.001
('herbivorous', 'omnivorous')	0.0003502991738224986	0.001
('large', 'small')	0.0008540853263718602	0.001
('maxi', 'mini')	0.001074224429151548	0.001
('out', 'safe')	0.0016656181480270722	0.001
