axis	diff_a_b	p
('acceptable', 'unacceptable')	0.00332540383293755	0.0
('adequate', 'inadequate')	0.0035660963171913838	0.0
('admissible', 'inadmissible')	0.0009706207524136745	0.0
('agreeable', 'disagreeable')	0.0019782791899600532	0.0
('antagonistic', 'synergistic')	0.0020295556934428055	0.0
('appropriate', 'inappropriate')	0.005079936324567654	0.0
('authorized', 'unauthorized')	0.0009842279656125975	0.0
('available', 'unavailable')	0.00224239828921388	0.0
('away', 'home')	0.0019072291544450504	0.0
('best', 'worst')	0.007142774658170016	0.0
('better', 'worse')	0.005100129935526495	0.0
('breathing', 'breathless')	0.001276681172835704	0.0
('bright', 'dull')	0.0019220122567518948	0.0
('broad-minded', 'narrow-minded')	0.0018056474325918283	0.0
('center', 'left')	0.003142614766844699	0.0
('characteristic', 'uncharacteristic')	0.0026264006649692542	0.0
('cheerful', 'depressing')	0.0024388496218509526	0.0
('competent', 'incompetent')	0.0030689778133216623	0.0
('compromising', 'uncompromising')	0.0008807951047230551	0.0
('consecrated', 'desecrated')	0.00132548018108168	0.0
('contemptible', 'estimable')	0.00270488387211377	0.0
('convenient', 'inconvenient')	0.003430423205146674	0.0
('cooperative', 'uncooperative')	0.0022623253983192013	0.0
('correct', 'incorrect')	0.002259344612092283	0.0
('credulous', 'incredulous')	0.0010539685232434318	0.0
('dangerous', 'safe')	0.0023450374985830493	0.0
('defensive', 'offensive')	0.0011197525200659615	0.0
('desirable', 'undesirable')	0.002969145827077607	0.0
('disabling', 'enabling')	0.001515011432594992	0.0
('disingenuous', 'ingenuous')	0.002424652104006931	0.0
('disproportionate', 'proportionate')	0.0018506894170710305	0.0
('dull', 'lively')	0.002802627478835395	0.0
('ethical', 'unethical')	0.001747193243302773	0.0
('excusable', 'inexcusable')	0.0013603820684625206	0.0
('fair', 'unfair')	0.004308074486562712	0.0
('falling', 'rising')	0.0010035639118088592	0.0
('far', 'near')	0.0029069815745623034	0.0
('foolish', 'wise')	0.002899401841880136	0.0
('fortunate', 'unfortunate')	0.004686511573048341	0.0
('found', 'lost')	0.0017685899586043332	0.0
('general', 'local')	0.0015528859115850136	0.0
('glad', 'sad')	0.002722983140474135	0.0
('haploid', 'polyploid')	0.0007030684502527702	0.0
('hateful', 'lovable')	0.0024832844679452274	0.0
('healthy', 'unhealthy')	0.002625227054343421	0.0
('heedful', 'heedless')	0.0009962818974899815	0.0
('hopeful', 'hopeless')	0.002529288110000051	0.0
('ill-advised', 'well-advised')	0.0019642302452148605	0.0
('immature', 'mature')	0.001907904351866949	0.0
('immortal', 'mortal')	0.0005025853695845672	0.0
('impatient', 'patient')	0.0017622804467559618	0.0
('informed', 'uninformed')	0.002172758226638597	0.0
('insecure', 'secure')	0.004575537059931795	0.0
('intemperate', 'temperate')	0.0018218117966226138	0.0
('intended', 'unintended')	0.00227315270886999	0.0
('intolerable', 'tolerable')	0.001178315940056597	0.0
('intractable', 'tractable')	0.0016761232414948613	0.0
('irrelevant', 'relevant')	0.0038886891160786977	0.0
('irresponsible', 'responsible')	0.0027018969701170462	0.0
('judgmental', 'nonjudgmental')	0.001481128725034829	0.0
('just', 'unjust')	0.002187746294664051	0.0
('lost', 'won')	0.0009902455430738357	0.0
('lucky', 'unlucky')	0.0027404882513724846	0.0
('moved', 'unmoved')	0.0027974532903179052	0.0
('multilateral', 'unilateral')	0.0004837996871678526	0.0
('naive', 'sophisticated')	0.00260048268091022	0.0
('necessary', 'unnecessary')	0.006037662075728641	0.0
('nonpartisan', 'partisan')	0.0023451091933537936	0.0
('nonsectarian', 'sectarian')	0.0013326405388756069	0.0
('oblique', 'perpendicular')	0.0007302530188688047	0.0
('off', 'on')	0.0015629059255863175	0.0
('open', 'shut')	0.0033601531262663544	0.0
('original', 'unoriginal')	0.003918810181397992	0.0
('overhand', 'underhand')	0.0006109176455391246	0.0
('pardonable', 'unpardonable')	0.0006962581674865016	0.0
('past', 'present')	0.0021035812884091717	0.0
('pleasant', 'unpleasant')	0.003299831286618581	0.0
('pointed', 'pointless')	0.0035153983905224454	0.0
('popular', 'unpopular')	0.0029473658141765113	0.0
('precocious', 'retarded')	0.0018384231900702586	0.0
('prejudiced', 'unprejudiced')	0.002336470124294567	0.0
('prepared', 'unprepared')	0.002812828043118675	0.0
('pretentious', 'unpretentious')	0.0037470002767588766	0.0
('private', 'public')	0.0008941356122809446	0.0
('punitive', 'rehabilitative')	0.0011735757980516869	0.0
('qualified', 'unqualified')	0.002408028552977868	0.0
