axis	diff_a_b	p
('absorbent', 'nonabsorbent')	0.0009531365703141451	0.0
('addictive', 'nonaddictive')	0.0025780063263894457	0.0
('adjusted', 'unadjusted')	0.0014366929759312506	0.0
('adventurous', 'unadventurous')	0.002393063240212259	0.0
('alienable', 'inalienable')	0.000815196734515725	0.0
('allogeneic', 'xenogeneic')	0.0005205233526084652	0.0
('ambidextrous', 'left-handed')	0.0006541518393340592	0.0
('ambidextrous', 'right-handed')	0.0006408452827729007	0.0
('anestrous', 'estrous')	0.0009259115485598761	0.0
('antecedent', 'subsequent')	0.0018988351395788413	0.0
('antemeridian', 'postmeridian')	0.00017639532249460262	0.0
('antemortem', 'postmortem')	0.0007720753024929375	0.0
('anterograde', 'retrograde')	0.000982739208303762	0.0
('ascending', 'descending')	0.0003404193432307674	0.0
('assertive', 'unassertive')	0.0016125346085755724	0.0
('assigned', 'unassigned')	0.0024984275869075704	0.0
('atypical', 'typical')	0.001329030391243968	0.0
('awed', 'unawed')	0.0013785945756569374	0.0
('back', 'front')	0.0020233280916424207	0.0
('backward', 'forward')	0.0012912185470142223	0.0
('biennial', 'perennial')	0.00113611128334169	0.0
('bimodal', 'unimodal')	0.00032870436948561786	0.0
('binaural', 'monaural')	0.00031962417789405334	0.0
('blond', 'brunet')	0.0017457020823449625	0.0
('bound', 'unbound')	0.0015905385915692162	0.0
('calculable', 'incalculable')	0.0006956911481154964	0.0
('careful', 'careless')	0.0012777216178540985	0.0
('carnivorous', 'herbivorous')	0.0005497491569740791	0.0
('carnivorous', 'insectivorous')	0.0008642956631932869	0.0
('carved', 'uncarved')	0.0013261151229507738	0.0
('center', 'left')	0.0009397712051912588	0.0
('center', 'right')	0.0015366177378524793	0.0
('cerebral', 'emotional')	0.0007905696171602427	0.0
('certain', 'uncertain')	0.0008038722191349504	0.0
('cleared', 'uncleared')	0.0026661133997148596	0.0
('clement', 'inclement')	0.0011522463805817285	0.0
('coiled', 'uncoiled')	0.0015647536949263009	0.0
('colored', 'uncolored')	0.0013439830030123699	0.0
('combined', 'uncombined')	0.0018543729484244032	0.0
('conditional', 'unconditional')	0.0009560378939267224	0.0
('confident', 'diffident')	0.0022228966790610455	0.0
('consummated', 'unconsummated')	0.0007766977036105741	0.0
('contested', 'uncontested')	0.0004969014873216276	0.0
('continent', 'incontinent')	0.0008436019299581342	0.0
('continental', 'intercontinental')	0.0006104667408576145	0.0
('contralateral', 'ipsilateral')	0.0002851833175439582	0.0
('convinced', 'unconvinced')	0.0031624607358255105	0.0
('corrected', 'uncorrected')	0.001157205747768503	0.0
('corrigible', 'incorrigible')	0.0012723358117064393	0.0
('crooked', 'straight')	0.000908326592471918	0.0
('cross-eyed', 'walleyed')	0.0007150504835142573	0.0
('crowned', 'uncrowned')	0.0014838288264530392	0.0
('cultivated', 'uncultivated')	0.0008945875521911353	0.0
('curious', 'incurious')	0.002408404215867164	0.0
('curtained', 'curtainless')	0.001235399129567421	0.0
('cut', 'uncut')	0.002083866084085303	0.0
('deaf', 'hearing')	0.0009181061956724645	0.0
('dejected', 'elated')	0.0008022504606926516	0.0
('deniable', 'undeniable')	0.0012936584093348486	0.0
('disliked', 'liked')	0.0015388548802159827	0.0
('disposable', 'nondisposable')	0.002610266924639809	0.0
('dissuasive', 'persuasive')	0.0012453571784423485	0.0
('dominant', 'recessive')	0.0009493616564215327	0.0
('down', 'up')	0.0008046477277083054	0.0
('downstage', 'upstage')	0.0008813745364454825	0.0
('downtown', 'uptown')	0.0017173081284489397	0.0
('dramatic', 'lyric')	0.0011545800895954705	0.0
('dry', 'phlegmy')	0.002958872169560905	0.0
('dying', 'nascent')	0.0017131586992452756	0.0
('east', 'west')	0.000581122602817067	0.0
('effervescent', 'noneffervescent')	0.0008444168772905698	0.0
('endergonic', 'exergonic')	0.000260562452541854	0.0
('eradicable', 'ineradicable')	0.0003211565973187244	0.0
('erect', 'unerect')	0.0021844404402619807	0.0
('evitable', 'inevitable')	0.0036511911072138886	0.0
('exact', 'inexact')	0.002824563615681286	0.0
('excited', 'unexcited')	0.0039213479094674306	0.0
('exhausted', 'unexhausted')	0.0018616762210728298	0.0
('exhaustible', 'inexhaustible')	0.000763380866036235	0.0
('explicable', 'inexplicable')	0.00134735606252453	0.0
('explosive', 'nonexplosive')	0.0025385616109657866	0.0
('expressible', 'inexpressible')	0.0006031118607862339	0.0
('extramural', 'intramural')	0.0005608304763446512	0.0
('extrasensory', 'sensory')	0.0009190749431281361	0.0
('extraterritorial', 'territorial')	0.0009930681654311815	0.0
('faceted', 'unfaceted')	0.0008790932980581251	0.0
('facultative', 'obligate')	0.0008599370868241666	0.0
('far', 'near')	0.0018594877018076744	0.0
('fathomable', 'unfathomable')	0.0018033946298558227	0.0
('feathered', 'unfeathered')	0.0013309999778421903	0.0
('female', 'male')	0.00038540680361937116	0.0
('fictional', 'nonfictional')	0.002166204074359003	0.0
('filled', 'unfilled')	0.0019084596789557193	0.0
('finished', 'unfinished')	0.0009354826109332984	0.0
('fledged', 'unfledged')	0.0011751639446884645	0.0
('forward', 'reverse')	0.0016094423619819479	0.0
('found', 'lost')	0.0011265696733262793	0.0
('fraternal', 'identical')	0.0011836261632685273	0.0
('glorious', 'inglorious')	0.0023836173396094684	0.0
('gloved', 'gloveless')	0.0016482796304820753	0.0
('go', 'no-go')	0.005542574207074682	0.0
('handed', 'handless')	0.003096701454229949	0.0
('headed', 'headless')	0.0016058184896116292	0.0
('headed', 'unheaded')	0.0029404320384031728	0.0
('heedful', 'heedless')	0.0004793992757613991	0.0
('horned', 'hornless')	0.0009980433063204956	0.0
('humorless', 'humorous')	0.000880992022337445	0.0
('idiographic', 'nomothetic')	0.00023202891893274414	0.0
('illicit', 'licit')	0.00114348371703762	0.0
('indulgent', 'nonindulgent')	0.001983065564632699	0.0
('insurmountable', 'surmountable')	0.0021004278842363285	0.0
('inviolable', 'violable')	0.001047273587420139	0.0
('ironed', 'unironed')	0.0028347047513544773	0.0
('irreparable', 'reparable')	0.0012408502937229192	0.0
('irresistible', 'resistible')	0.0030463802388810118	0.0
('labeled', 'unlabeled')	0.0012587272457627707	0.0
('landed', 'landless')	0.0019595844058753285	0.0
('leeward', 'windward')	0.0003872454790511447	0.0
('like', 'unlike')	0.002227046802781676	0.0
('lined', 'unlined')	0.0014859683793905232	0.0
('listed', 'unlisted')	0.001486213583962866	0.0
('loved', 'unloved')	0.0023689627583161517	0.0
('loving', 'unloving')	0.0017656760917099928	0.0
('married', 'unmarried')	0.0008216073589368926	0.0
('melted', 'unmelted')	0.0022271407193404247	0.0
('merited', 'unmerited')	0.0006790688314768922	0.0
('migratory', 'nonmigratory')	0.0014462370662326057	0.0
('mindful', 'unmindful')	0.0017255716207320946	0.0
('moved', 'unmoved')	0.0033869793126588	0.0
('nonpregnant', 'pregnant')	0.0021019159300812995	0.0
('nonradioactive', 'radioactive')	0.0016229160315486806	0.0
('nonrandom', 'random')	0.0027417253109004343	0.0
('nonreflective', 'reflective')	0.0017303735835583096	0.0
('nonreturnable', 'returnable')	0.0004970410211848474	0.0
('nonreversible', 'reversible')	0.0016249439549093948	0.0
('nonsignificant', 'significant')	0.0029943401243550417	0.0
('nontraditional', 'traditional')	0.0018384144505117408	0.0
('normal', 'paranormal')	0.0007647309752491982	0.0
('nosed', 'noseless')	0.0007854053124297647	0.0
('noticed', 'unnoticed')	0.00109798959001778	0.0
('off', 'on')	0.0007656151987960524	0.0
('offstage', 'onstage')	0.0009549926425298071	0.0
('opposed', 'unopposed')	0.0015835886951738477	0.0
('packaged', 'unpackaged')	0.002258593186364753	0.0
('past', 'present')	0.0012119887140492266	0.0
('planted', 'unplanted')	0.0020034045042789835	0.0
('postwar', 'prewar')	0.000412352918157602	0.0
('potted', 'unpotted')	0.0019961801069073703	0.0
('precedented', 'unprecedented')	0.0018535113433236945	0.0
('processed', 'unprocessed')	0.0013185959451720627	0.0
