axis	diff_a_b	p
('absent', 'present')	0.0033413496598331573	0.0
('acceptable', 'unacceptable')	0.0017122908594394458	0.0
('accessible', 'inaccessible')	0.0025970205008341626	0.0
('accurate', 'inaccurate')	0.0036879371917830986	0.0
('acidic', 'alkaline')	0.0014897212499088083	0.0
('active', 'dormant')	0.0017077171895624327	0.0
('active', 'inactive')	0.0036004926305530337	0.0
('active', 'passive')	0.0019043431293678604	0.0
('acute', 'obtuse')	0.0017222288498749093	0.0
('adaptive', 'maladaptive')	0.0021627417649497053	0.0
('addressed', 'unaddressed')	0.0025396251934097468	0.0
('adequate', 'inadequate')	0.004644130009778062	0.0
('admissible', 'inadmissible')	0.0012522486874830831	0.0
('adorned', 'unadorned')	0.0016387554660125007	0.0
('adventurous', 'unadventurous')	0.0039987649509770195	0.0
('aerobic', 'anaerobic')	0.0006828980121569698	0.0
('agreeable', 'disagreeable')	0.0025948868571694277	0.0
('ahistorical', 'historical')	0.0037854324992836162	0.0
('alternating', 'direct')	0.0023299679399996463	0.0
('ambitious', 'unambitious')	0.0030070140539397456	0.0
('ample', 'meager')	0.0025379356483179894	0.0
('analogue', 'digital')	0.001830981836144113	0.0
('androgynous', 'female')	0.0036037691172820067	0.0
('androgynous', 'male')	0.0030007919033576136	0.0
('animate', 'inanimate')	0.0010636952872646746	0.0
('anticholinergic', 'cholinergic')	0.00033774700212028507	0.0
('anticlimactic', 'climactic')	0.002282543348339358	0.0
('appealing', 'unappealing')	0.010728424984323321	0.0
('appropriate', 'inappropriate')	0.0035611807594957134	0.0
('articulate', 'inarticulate')	0.0037724924695132656	0.0
('articulated', 'unarticulated')	0.0021547568554175223	0.0
('artificial', 'natural')	0.0008729722670687149	0.0
('attractive', 'repulsive')	0.005343778320649525	0.0
('attractive', 'unattractive')	0.008777673748564174	0.0
('auspicious', 'inauspicious')	0.002905084808697991	0.0
('authorized', 'unauthorized')	0.0017929023531776701	0.0
('autogenous', 'heterogenous')	0.0003902067888162451	0.0
('autologous', 'homologous')	0.00046895642654813923	0.0
('available', 'unavailable')	0.004463982863793991	0.0
('backward', 'forward')	0.0016602218614316464	0.0
('best', 'worst')	0.007979238025387256	0.0
('better', 'worse')	0.00502398241798141	0.0
('blemished', 'unblemished')	0.0008475062189742168	0.0
('boneless', 'bony')	0.006214340205825125	0.0
('bottom-up', 'top-down')	0.0009187063219944606	0.0
('brave', 'cowardly')	0.0031011351884418295	0.0
('bridgeable', 'unbridgeable')	0.00038165560170971185	0.0
('bright', 'dull')	0.005765495380631031	0.0
('broad-minded', 'narrow-minded')	0.0016350692107060805	0.0
('capable', 'incapable')	0.002421529448213354	0.0
('catadromous', 'diadromous')	0.00047588440474505386	0.0
('cenobitic', 'eremitic')	0.0004699482736816999	0.0
('chartered', 'unchartered')	0.0020732989293109905	0.0
('clear', 'cloudy')	0.0037430916741086895	0.0
