axis	diff_a_b	p
('aboral', 'oral')	0.0018376615938173607	0.0
('absolute', 'relative')	0.001074088081784651	0.0
('abundant', 'scarce')	0.0006607397606917869	0.0
('accessible', 'inaccessible')	0.0008879574859993276	0.0
('accommodating', 'unaccommodating')	0.001456547785357299	0.0
('accusatorial', 'inquisitorial')	0.0006403215415961639	0.0
('achromatic', 'chromatic')	0.0007362405090213841	0.0
('acidic', 'alkaline')	0.000557899677110299	0.0
('acknowledged', 'unacknowledged')	0.0009190977683077462	0.0
('active', 'dormant')	0.0015738227559703166	0.0
('active', 'extinct')	0.0015338383055208855	0.0
('active', 'stative')	0.0024944191754094	0.0
('adaptable', 'unadaptable')	0.0017387610382664422	0.0
('adaptive', 'maladaptive')	0.000836100752677438	0.0
('addressed', 'unaddressed')	0.0013150445613153688	0.0
('adroit', 'maladroit')	0.0009988278347145439	0.0
('adulterating', 'purifying')	0.000760934378711383	0.0
('aesthetic', 'inaesthetic')	0.002054546802865386	0.0
('aggressive', 'unaggressive')	0.0019217059711309596	0.0
('agnostic', 'gnostic')	0.0008816962931016952	0.0
('air-to-air', 'air-to-surface')	0.0008603061453643247	0.0
('air-to-surface', 'surface-to-air')	0.0002899444827509281	0.0
('alcoholic', 'nonalcoholic')	0.0017632460327940604	0.0
('alike', 'unalike')	0.0019298075473378178	0.0
('allochthonous', 'autochthonous')	0.0005215869180813714	0.0
('alternating', 'direct')	0.002650456276808129	0.0
('anadromous', 'catadromous')	0.0006360651273684508	0.0
('anadromous', 'diadromous')	0.0004055459500129331	0.0
('analogous', 'heterologous')	0.0006660482098879671	0.0
('analogous', 'homologous')	0.0006213608827834527	0.0
('analogue', 'digital')	0.001234316885881305	0.0
('androgynous', 'female')	0.0012420317011249179	0.0
('androgynous', 'male')	0.0010991769048790921	0.0
('annual', 'biennial')	0.0012780751016669058	0.0
('anodic', 'cathodic')	0.00042171653678205754	0.0
('anonymous', 'onymous')	0.002896953401370781	0.0
('anticholinergic', 'cholinergic')	0.00018032107585886606	0.0
('antimagnetic', 'magnetic')	0.0012346362449363046	0.0
('antiseptic', 'septic')	0.0008178428322036398	0.0
('antonymous', 'synonymous')	0.002322780779378938	0.0
('aperiodic', 'periodic')	0.0016106000390014186	0.0
('appetizing', 'unappetizing')	0.0019279723656669741	0.0
('appointive', 'elective')	0.0007224424952028251	0.0
('approachable', 'unapproachable')	0.0014038137745629332	0.0
('apropos', 'malapropos')	0.001430796656885197	0.0
('armored', 'unarmored')	0.0013093682675730973	0.0
('artful', 'artless')	0.0006855002010987361	0.0
('articulate', 'inarticulate')	0.0016047944495558228	0.0
('articulated', 'unarticulated')	0.001588849843869651	0.0
('artificial', 'natural')	0.0009075501583425275	0.0
('asexual', 'sexual')	0.0011634558642251332	0.0
('atonal', 'tonal')	0.0006580558340878832	0.0
('atonic', 'tonic')	0.0009910094625354034	0.0
('attentive', 'inattentive')	0.0018732982888042295	0.0
('autogenous', 'heterogenous')	0.00028577615716814846	0.0
('autologous', 'homologous')	0.0002583981390620834	0.0
('autumnal', 'wintry')	0.0009092227181541463	0.0
('avascular', 'vascular')	0.0010635405425508003	0.0
('avenged', 'unavenged')	0.0010863611770730204	0.0
('aware', 'unaware')	0.0012873058304248546	0.0
('awed', 'unawed')	0.0010609502995818868	0.0
('bearing', 'nonbearing')	0.001825734979343848	0.0
('beneficent', 'maleficent')	0.0012937316889224983	0.0
('bidirectional', 'unidirectional')	0.00033017789643605567	0.0
('biped', 'quadruped')	0.00024385272647956284	0.0
