axis	diff_a_b	p
('accentual', 'syllabic')	0.0006623728819645522	0.0
('active', 'passive')	0.0019540512062187947	0.0
('acute', 'obtuse')	0.002573381059983194	0.0
('ample', 'meager')	0.003509713832999155	0.0
('animate', 'inanimate')	0.0007975326798901	0.0
('antemeridian', 'postmeridian')	0.0004711052966497101	0.0
('anticlimactic', 'climactic')	0.003325449083263296	0.0
('artificial', 'natural')	0.0011483588672814753	0.0
('blemished', 'unblemished')	0.001591962605722125	0.0
('breakable', 'unbreakable')	0.002048083712084464	0.0
('brotherly', 'sisterly')	0.0009109844587101125	0.0
('closing', 'opening')	0.0020957848533140547	0.0
('conformist', 'nonconformist')	0.0009571496879536416	0.0
('congruent', 'incongruent')	0.0022393065787792363	0.0
('constitutional', 'unconstitutional')	0.0037707998251090896	0.0
('contestable', 'incontestable')	0.0006573547458522786	0.0
('continued', 'discontinued')	0.0035457576845748344	0.0
('cubic', 'planar')	0.0015513112671766268	0.0
('deductive', 'inductive')	0.0009576385857034803	0.0
('deep', 'shallow')	0.002464598379653689	0.0
('deflationary', 'inflationary')	0.0009398385473234142	0.0
('democratic', 'undemocratic')	0.004341412775185922	0.0
('depressant', 'stimulative')	0.0015467482942002637	0.0
('desensitizing', 'sensitizing')	0.0006182722408062083	0.0
('detected', 'undetected')	0.0013694697037050074	0.0
('diluted', 'undiluted')	0.0017188061505991016	0.0
('dull', 'sharp')	0.0024231268210164513	0.0
('ectomorphic', 'endomorphic')	0.00045517616364486183	0.0
('equal', 'unequal')	0.00329032717796994	0.0
('ethical', 'unethical')	0.0033626266191038702	0.0
('external', 'internal')	0.0005872665667648828	0.0
('finished', 'unfinished')	0.001935351407061683	0.0
('flat', 'natural')	0.0017514168697908188	0.0
('foreign', 'native')	0.001676647334411598	0.0
('frivolous', 'serious')	0.0025533453217855932	0.0
('future', 'present')	0.0015916928278129567	0.0
('gradual', 'steep')	0.0017548816432927973	0.0
('greater', 'lesser')	0.0045489127303082865	0.0
('harmful', 'harmless')	0.0013804186131525613	0.0
('heterosexual', 'homosexual')	0.0010596721148051738	0.0
('high', 'low')	0.0021495144801727054	0.0
('immoral', 'moral')	0.0036340764896844015	0.0
('impolitic', 'politic')	0.001666560110416067	0.0
('impractical', 'practical')	0.004518185339702845	0.0
('improvident', 'provident')	0.0013884841566550446	0.0
('inhabited', 'uninhabited')	0.0010431809747768216	0.0
('irresponsible', 'responsible')	0.003551245533274046	0.0
('less', 'more')	0.004544085331553654	0.0
('little', 'much')	0.0032203080351619687	0.0
('lossless', 'lossy')	0.0015698760859052929	0.0
('matched', 'mismatched')	0.0024797344274323663	0.0
('maximum', 'minimum')	0.0017905727937892546	0.0
('monoclinic', 'triclinic')	0.0009635101439704379	0.0
('necessary', 'unnecessary')	0.004906252838425683	0.0
('nonsuppurative', 'suppurative')	0.0006663658487111109	0.0
('overhand', 'underhand')	0.0013469764972961658	0.0
('overhead', 'surface')	0.0014243620976025443	0.0
('oviparous', 'viviparous')	0.0005516713802747883	0.0
('pointed', 'pointless')	0.005020859825550681	0.0
('progressive', 'regressive')	0.0024772300952456035	0.0
('publicized', 'suppressed')	0.0010303369042897717	0.0
('publishable', 'unpublishable')	0.0012147119326560447	0.0
('recoverable', 'unrecoverable')	0.001521708479764768	0.0
('regulated', 'unregulated')	0.0013517525441849266	0.0
('sanitary', 'unsanitary')	0.0023028944515397923	0.0
