axis	diff_a_b	p
('absent', 'present')	0.002283152418369922	0.0
('acceptable', 'unacceptable')	0.0036519901476057886	0.0
('accurate', 'inaccurate')	0.002708302709355761	0.0
('active', 'passive')	0.0016182741917800236	0.0
('acute', 'obtuse')	0.0018686243464378378	0.0
('adequate', 'inadequate')	0.0049096205635261875	0.0
('adjective', 'substantive')	0.0012326014070299192	0.0
('admissible', 'inadmissible')	0.000825742659590126	0.0
('agreeable', 'disagreeable')	0.0019511938747847814	0.0
('alterable', 'unalterable')	0.0005585947582557142	0.0
('analytic', 'synthetic')	0.0007744953206023459	0.0
('animate', 'inanimate')	0.0009739119905171276	0.0
('antagonistic', 'synergistic')	0.003430646428327135	0.0
('appropriate', 'inappropriate')	0.0049228026627234234	0.0
('attractive', 'unattractive')	0.0034373470749293443	0.0
('authorized', 'unauthorized')	0.0016983048231167	0.0
('autologous', 'heterologous')	0.000509891646397213	0.0
('available', 'unavailable')	0.004925006370020196	0.0
('balanced', 'unbalanced')	0.0024820274943371454	0.0
('best', 'worst')	0.007290480248849936	0.0
('better', 'worse')	0.0059103948748769515	0.0
('bettering', 'worsening')	0.0012290864425603494	0.0
('bold', 'timid')	0.0016040784439101162	0.0
('brave', 'cowardly')	0.0016854126342207808	0.0
('bright', 'dull')	0.0023504407512186746	0.0
('broad-minded', 'narrow-minded')	0.001056462643680301	0.0
('careful', 'careless')	0.0035635226742905916	0.0
('catadromous', 'diadromous')	0.00040915948936586107	0.0
('characteristic', 'uncharacteristic')	0.0031183304281311667	0.0
('charitable', 'uncharitable')	0.0025141943663975035	0.0
('cheerful', 'depressing')	0.0026549733286715706	0.0
('civil', 'uncivil')	0.0028487460063868607	0.0
('closed', 'open')	0.0019075834687809195	0.0
('coherent', 'incoherent')	0.002576966205994829	0.0
('cold-blooded', 'warm-blooded')	0.0008740147249663732	0.0
('comfortable', 'uncomfortable')	0.0030563464982440863	0.0
('common', 'individual')	0.0008545032369773123	0.0
('compatible', 'incompatible')	0.0026016373699016757	0.0
('competent', 'incompetent')	0.003623737374043045	0.0
('complete', 'incomplete')	0.0028596522692493423	0.0
('compliant', 'defiant')	0.0015461771555224796	0.0
('comprehensible', 'incomprehensible')	0.0016482378995313646	0.0
('congruent', 'incongruent')	0.002092101417523992	0.0
('conscious', 'unconscious')	0.0016558998412451462	0.0
('consecrated', 'desecrated')	0.001544396537456924	0.0
('consistent', 'inconsistent')	0.004181503093682985	0.0
('contemptible', 'estimable')	0.0022613229209162023	0.0
('contracted', 'expanded')	0.0013809795239131794	0.0
('controlled', 'uncontrolled')	0.0012268369159190058	0.0
('convenient', 'inconvenient')	0.004208453766165439	0.0
('cooperative', 'uncooperative')	0.004724216020284571	0.0
('credulous', 'incredulous')	0.0016357535192657651	0.0
('crooked', 'straight')	0.001470021107437141	0.0
('dangerous', 'safe')	0.002607067417813526	0.0
('defeated', 'undefeated')	0.001281359963830487	0.0
('defensive', 'offensive')	0.0008652608613729231	0.0
('desirable', 'undesirable')	0.002363958521052343	0.0
('difficult', 'easy')	0.0020011266901186053	0.0
('disabling', 'enabling')	0.0018178737957967681	0.0
('disliked', 'liked')	0.0026007661770049966	0.0
('disordered', 'ordered')	0.002911930708248592	0.0
('disorganized', 'organized')	0.0044348336785615255	0.0
('disorienting', 'orienting')	0.002287607492236339	0.0
('disproportionate', 'proportionate')	0.0020296617222700843	0.0
('disrespectful', 'respectful')	0.002654137342799595	0.0
('dominant', 'subordinate')	0.0011366319770321253	0.0
('down', 'up')	0.0011292529643565554	0.0
('dull', 'lively')	0.00209798580764633	0.0
('edible', 'inedible')	0.0030246245568968334	0.0
('educated', 'uneducated')	0.002838267118408745	0.0
('effective', 'ineffective')	0.004441697275036648	0.0
('eligible', 'ineligible')	0.0026044171176632294	0.0
('employable', 'unemployable')	0.0014470429552887586	0.0
('enforceable', 'unenforceable')	0.0013779538800080151	0.0
('equal', 'unequal')	0.002373156234647582	0.0
('ethical', 'unethical')	0.00256634173634973	0.0
('excusable', 'inexcusable')	0.0020119172770923276	0.0
('existent', 'nonexistent')	0.0011681295635874297	0.0
('fair', 'foul')	0.0018321589813356685	0.0
('fair', 'unfair')	0.00447684347374441	0.0
('fit', 'unfit')	0.0025240016618657546	0.0
('flexible', 'inflexible')	0.004046956185170245	0.0
('foolish', 'wise')	0.0023877943253540253	0.0
('former', 'latter')	0.001071829635860758	0.0
('fortunate', 'unfortunate')	0.0040293520188250335	0.0
('fresh', 'stale')	0.0036870618778569696	0.0
('friendly', 'unfriendly')	0.003987308906307859	0.0
('future', 'past')	0.002356180926523569	0.0
('glad', 'sad')	0.0029681211214098533	0.0
('greater', 'lesser')	0.0013487871576973558	0.0
('gross', 'net')	0.0015388341514918713	0.0
('half', 'whole')	0.0016383327027775525	0.0
('happy', 'unhappy')	0.004736430199396305	0.0
('harmful', 'harmless')	0.0010961170629474474	0.0
('healthy', 'unhealthy')	0.003188336726718047	0.0
('heedful', 'heedless')	0.0008177899618091308	0.0
('helpful', 'unhelpful')	0.004081974023806863	0.0
('heterosexual', 'homosexual')	0.0007399497819712488	0.0
('hopeful', 'hopeless')	0.002435722337805971	0.0
('humane', 'inhumane')	0.0019717783924692476	0.0
('hurried', 'unhurried')	0.0023559321220621605	0.0
('hydric', 'mesic')	0.0008314454270733147	0.0
('ill-advised', 'well-advised')	0.0017805229615435172	0.0
('illogical', 'logical')	0.002620345189891805	0.0
('immature', 'mature')	0.00218291001536836	0.0
('impolitic', 'politic')	0.0013903048662817774	0.0
('impossible', 'possible')	0.0017473647475106466	0.0
('impotent', 'potent')	0.001620052511785654	0.0
('improper', 'proper')	0.0025429881874273613	0.0
