axis	diff_a_b	p
('abaxial', 'adaxial')	0.000249819697498837	0.0
('abundant', 'scarce')	0.0008643765251690914	0.0
('acceptive', 'rejective')	0.0005484454422505431	0.0
('acute', 'chronic')	0.0008705312487682021	0.0
('adoptive', 'biological')	0.0010830833147673583	0.0
('affected', 'unaffected')	0.0020690149487641862	0.0
('alive', 'dead')	0.0008637829181236392	0.0
('amicable', 'hostile')	0.001021058879989008	0.0
('analytic', 'synthetic')	0.0010199791687779073	0.0
('antagonistic', 'conciliatory')	0.0009435043332233868	0.0
('anti-American', 'pro-American')	0.0016950145317850196	0.0
('antipyretic', 'pyretic')	0.00042366927740527215	0.0
('approachable', 'unapproachable')	0.0035103706570295927	0.0
('asleep', 'awake')	0.0006322678101009752	0.0
('assisted', 'unassisted')	0.000908502460755618	0.0
('attached', 'detached')	0.001633524789675593	0.0
('attentive', 'inattentive')	0.00629956691444593	0.0
('automatic', 'manual')	0.000771549382702367	0.0
('bad', 'good')	0.004412607124206512	0.0
('benign', 'malignant')	0.0012483565534560054	0.0
('bicameral', 'unicameral')	0.0004113536067376464	0.0
('blessed', 'cursed')	0.0019577620969106063	0.0
('bold', 'timid')	0.0021186164386041498	0.0
('bottle-fed', 'breast-fed')	0.00032114496951645213	0.0
('broad-minded', 'narrow-minded')	0.0012755773668994032	0.0
('calm', 'stormy')	0.002543113250446042	0.0
('capitalistic', 'socialistic')	0.0005287120418579752	0.0
('cared-for', 'uncared-for')	0.0017339683461109947	0.0
('cheerful', 'depressing')	0.007801377812127081	0.0
('civilian', 'military')	0.0018034754480791733	0.0
('clean', 'dirty')	0.002344708437959659	0.0
('coldhearted', 'warmhearted')	0.0026368026288996274	0.0
('comfortable', 'uncomfortable')	0.0035559410287932247	0.0
('common', 'individual')	0.0007848872086754872	0.0
('common', 'uncommon')	0.0011946216521043426	0.0
('comprehensible', 'incomprehensible')	0.002929758295344566	0.0
('compromising', 'uncompromising')	0.0008320554069462614	0.0
('conjunctive', 'disjunctive')	0.00043604578652067447	0.0
